ticker,Name,sector,source_universe,in_prefilter,in_scored_universe,in_main_target,in_concentrated_target,main_target_weight,concentrated_target_weight,main_preview_target_weight,concentrated_preview_target_weight,has_actionable_order,has_blocked_delta,main_order_status,concentrated_order_status,prefilter_drop_reason,first_scored_date,first_onset_signal_date,first_target_date,first_broker_buy_date,first_broker_exit_date,missed_return_after_onset,best_historical_forward_return,historical_candidate_months,price_cache_exists,price_cache_last_date,price_cache_stale_days,failed_min_price,failed_dollar_vol,failed_mktcap,failed_vol_252,failed_dd_1y,failed_rank_size,px,dollar_vol_20d,mktcap,dd_1y,portfolio_sleeve_label,portfolio_candidate_gate_label,portfolio_defensive_rotation_action,portfolio_monster_early_score,portfolio_stale_mega_leader_score,portfolio_risk_entry_block_score,rs_acceleration_score,oneil_leadership_score,industry_group_strength_score,relative_strength_composite,period_forward_return,score_total_rank,score_total,score_rank,score,portfolio_future_winner_engine_score_rank,portfolio_future_winner_engine_score,drop_reason
OKE,ONEOK INC,Energy,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2019-05-31,2022-03-31,2022-03-31,2022-04-01,2022-05-02,-0.0844518919358575,0.1511675385381514,64,True,2026-05-15,2.0,False,False,False,False,False,False,92.31999969482422,370518544.42474365,58164632704.36923,0.421659749051394,future_winner,future_relaxed,,,,,0.7529744799509696,0.2866959159111847,1.317259012832324,1.0989554380298705,,65.0,2.637704549473677,63.0,2.653120540198905,32.0,0.779491499061619,rank_or_cap_not_selected
PDD,PDD Holdings (Pinduoduo / Temu),Internet,adr_whitelist,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2019-07-31,2019-08-30,2019-09-06,2020-07-01,2020-09-01,-0.0128519577637843,0.6166966078308802,49,True,2026-05-15,2.0,False,False,False,False,False,False,95.83000183105467,649854183.5865021,136404090880.0,0.5287447077237065,unassigned,rejected,,,,,0.8142355751332793,-0.0103351266617511,-0.0416218334562208,-0.7489778167237353,,137.0,1.8768032793916252,136.0,1.914566885121048,33.0,0.7316598837690923,candidate_gate_rejected
AMAT,Applied Materials,Information Technology,strategic_global_hardware,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,,,,,,,,0,True,2026-05-15,2.0,False,False,False,False,False,False,436.6199951171875,3027932953.0415344,354535436035.15625,0.3796199146439546,core_compounder,core_strict,,,,,-2.390548590114293,0.48,3.034717446028911,3.056853399431169,,25.0,4.03416662175934,24.0,4.069210878932708,34.0,0.7248772551720258,rank_or_cap_not_selected
NTES,NetEase,Internet,adr_whitelist,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2019-05-31,2019-05-31,,,,0.0553331351262835,0.312717687392773,83,True,2026-05-15,2.0,False,False,False,False,False,False,113.37999725341795,89168952.63507843,72350965760.0,0.3046236426835944,core_compounder,core_strict,,,,,-0.046402093966786,0.0198729188948166,-0.0019062165777496,-0.3707523081556191,,133.0,1.940125895721996,123.0,2.021624075407937,35.0,0.7061963358176023,rank_or_cap_not_selected
NXT,Nextracker,Industrials,cycle_play_whitelist,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2024-02-29,2025-01-31,2025-01-31,2025-02-03,2025-03-03,-0.1082367461768949,0.3425489009196327,21,True,2026-05-15,2.0,False,False,False,False,False,False,144.2899932861328,283366627.70118713,21015582273.12712,0.2326537687327428,future_winner,future_relaxed,,,,,-2.6107495792682736,0.7841396307402279,1.6603490768505695,2.062556260294815,,258.0,0.9181109231858626,257.0,0.9305899593263248,36.0,0.705532054338672,rank_or_cap_not_selected
TXN,TEXAS INSTRUMENT INC,Information Technology,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2019-07-31,,2019-07-31,2019-08-01,2019-09-03,-0.0061305801692679,-0.0061305801692679,2,True,2026-05-15,2.0,False,False,False,False,False,False,302.7300109863281,2498189440.646744,275512400618.00806,0.2957435913943029,core_compounder,core_strict,,,,,0.9385772433255232,0.7356862745098038,3.034717446028911,2.68115919123823,,26.0,4.0179414013653725,26.0,4.046861935769924,38.0,0.6951216030352909,rank_or_cap_not_selected
NUE,NUCOR CORP,Materials,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2020-02-28,2022-02-28,2021-03-26,2022-03-01,2022-04-01,0.1401343992149828,0.2911427976309999,5,True,2026-05-15,2.0,False,False,False,False,False,False,227.0200042724609,359998093.8386536,51701751442.01431,0.4512597874717071,future_winner,future_relaxed,,,,,-0.6582749052427608,0.971544439974496,1.3192407332908267,1.6941752558901797,,93.0,2.233583837856806,98.0,2.21585042214926,39.0,0.6934155807146976,rank_or_cap_not_selected
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2019-05-31,2019-05-31,2021-07-30,2025-12-01,2026-01-02,0.0760374904581497,0.154500769685304,83,True,2026-05-15,2.0,False,False,False,False,False,False,150.8800048828125,758279037.3897934,21935757556.769897,0.4503585196882602,future_winner,future_relaxed,,,,,0.1296846143773371,-0.1527721859211387,-0.9547379396620232,2.318785869841204,,78.0,2.4615953356379574,76.0,2.480951940322184,40.0,0.6833213731515022,rank_or_cap_not_selected
TRGP,TARGA RESOURCES CORP,Energy,current_constituents_proxy,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2022-04-29,2023-08-31,2024-06-28,2024-07-01,2024-08-01,-0.0499543184243042,0.2252096720985255,48,True,2026-05-15,2.0,False,False,False,False,False,False,271.989990234375,309307133.1391144,58380993080.838135,0.3161158954719256,unassigned,rejected,,,,,0.126831262437461,0.8894924570577784,1.317259012832324,2.017644679978321,,108.0,2.1679586553445755,104.0,2.1867368398483147,41.0,0.6782556406761547,candidate_gate_rejected
SU,Suncor Energy,Energy,adr_whitelist,True,True,False,False,0.0,0.0,0.0,0.0,False,False,,,available_for_scoring,2025-05-30,2025-08-29,,,,0.0111461162778605,0.2016274637995165,11,True,2026-05-15,2.0,False,False,False,False,False,False,68.29000091552734,210798019.32178497,80633094144.0,0.1356297026735443,future_winner,adr_global_alpha_fallback,,,,,-0.5982683419467616,0.6469036051329297,1.317259012832324,2.012937512565252,,90.0,2.2683170530473373,88.0,2.309373774271417,42.0,0.6776268573488738,rank_or_cap_not_selected
