rank,ticker,target_weight,regime_state,row_type
1,GOOG,0.17527639920761293,neutral,equity
2,GEV,0.131681195349928,neutral,equity
3,AMZN,0.11945266185271544,neutral,equity
4,PLTR,0.08311323102774754,neutral,equity
5,VRT,0.08311323102774754,neutral,equity
6,GLW,0.07108785664877319,neutral,equity
7,LRCX,0.06569442545694472,neutral,equity
8,RKLB,0.05919575795071224,neutral,equity
9,FTI,0.051385241477818325,neutral,equity
10,ON,0.04,neutral,equity
11,NXPI,0.04,neutral,equity
12,AKAM,0.04,neutral,equity
13,MLI,0.04,neutral,equity
14,CASH,1.1102230246251565e-16,neutral,cash
