rebalance_date,ticker,weight,defended_weight,period_forward_return,bench_return,risk_adjusted_return,action,reason,cum_return_before,peak_return_before,benchmark_cum_return_before,relative_return_before
2019-04-30,GDDY,0.15,0.0,-0.1078216164314549,-0.0613189316386945,-0.08,risk_exit_proxy,hard_stop,0.0,0.0,0.0,0.0
2019-04-30,NOW,0.15,0.15,-0.0507028931635488,-0.0613189316386945,-0.0507028931635488,hold,hold,0.0,0.0,0.0,0.0
2019-04-30,SBUX,0.1294104618693386,0.1294104618693386,-0.0221358062272817,-0.0613189316386945,-0.0221358062272817,hold,hold,0.0,0.0,0.0,0.0
2019-04-30,SHOP,0.0984211153307051,0.0984211153307051,0.1256331321500048,-0.0613189316386945,0.1256331321500048,hold,hold,0.0,0.0,0.0,0.0
2019-04-30,PAYC,0.0862375509221868,0.0,0.0169290280582419,-0.0613189316386945,0.0169290280582419,risk_exit_proxy,distribution_risk_decay,0.0,0.0,0.0,0.0
2019-04-30,CPRT,0.0739271174863708,0.0739271174863708,0.0538130359332365,-0.0613189316386945,0.0538130359332365,hold,hold,0.0,0.0,0.0,0.0
2019-04-30,MELI,0.0576851310716123,0.0576851310716123,0.1615072347706942,-0.0613189316386945,0.1615072347706942,hold,hold,0.0,0.0,0.0,0.0
2019-04-30,ALGN,0.0511843558419985,0.0,-0.1456680915583611,-0.0613189316386945,-0.08,risk_exit_proxy,hard_stop,0.0,0.0,0.0,0.0
2019-04-30,CDNS,0.0394426886812143,0.0,-0.0883620380174052,-0.0613189316386945,-0.08,risk_exit_proxy,hard_stop,0.0,0.0,0.0,0.0
2019-04-30,UI,0.0303594171428398,0.0,-0.2859318287303972,-0.0613189316386945,-0.08,risk_exit_proxy,hard_stop,0.0,0.0,0.0,0.0
2019-04-30,HD,0.0299865086048096,0.0299865086048096,-0.0667324247688285,-0.0613189316386945,-0.0667324247688285,hold,hold,0.0,0.0,0.0,0.0
2019-05-31,HEI,0.15,0.15,0.0960680762353514,0.0801180564411814,0.0960680762353514,hold,hold,0.0,0.0,0.0,0.0
2019-05-31,MA,0.15,0.15,0.0598883715883438,0.0801180564411814,0.0598883715883438,hold,hold,0.0,0.0,0.0,0.0
2019-05-31,SBUX,0.0822722570959834,0.0822722570959834,0.1132424391736921,0.0801180564411814,0.1132424391736921,hold,hold,-0.02213580622728173,0.0,-0.06131893163869451,0.041742745999785
2019-05-31,HD,0.0571535971419533,0.0571535971419533,0.1171102670468386,0.0801180564411814,0.1171102670468386,hold,hold,-0.06673242476882846,0.0,-0.06131893163869451,-0.005767127209228229
2019-05-31,SHOP,0.0493793516294484,0.0493793516294484,0.1134242423125566,0.0801180564411814,0.1134242423125566,hold,hold,0.12563313215000482,0.12563313215000482,-0.06131893163869451,0.1991646258670896
2019-05-31,NOW,0.0420611303136797,0.0420611303136797,0.0813358224960263,0.0801180564411814,0.0813358224960263,hold,hold,-0.05070289316354881,0.0,-0.06131893163869451,0.011309526561219085
2019-05-31,MELI,0.041044867246584,0.041044867246584,0.085290387170348,0.0801180564411814,0.085290387170348,hold,hold,0.16150723477069429,0.16150723477069429,-0.06131893163869451,0.23738218860468296
2019-05-31,TSCO,0.0203930801610489,0.0203930801610489,0.0996924460525461,0.0801180564411814,0.0996924460525461,hold,hold,0.0,0.0,0.0,0.0
2019-06-28,HEI,0.15,0.15,0.0312222006333788,-0.0036331987329345,0.0312222006333788,hold,hold,0.09606807623535141,0.09606807623535141,0.08011805644118142,0.014766922651698655
2019-06-28,MA,0.1263585945458639,0.1263585945458639,0.0334022761940184,-0.0036331987329345,0.0334022761940184,hold,hold,0.059888371588343814,0.059888371588343814,0.08011805644118142,-0.018729142367540086
2019-06-28,PAYC,0.084629268986131,0.0,0.0566735041883608,-0.0036331987329345,0.0566735041883608,risk_exit_proxy,distribution_risk_decay,0.0,0.0,0.0,0.0
2019-06-28,SHOP,0.0758518374833343,0.0758518374833343,0.0256318354898856,-0.0036331987329345,0.0256318354898856,hold,hold,0.2533072172860291,0.2533072172860291,0.01388637117654512,0.23614169488406533
2019-06-28,SBUX,0.0702858021429509,0.0702858021429509,0.142165275076654,-0.0036331987329345,0.142165275076654,hold,hold,0.08859992025615693,0.08859992025615693,0.01388637117654512,0.0736902587939039
2019-06-28,PODD,0.0687170840049275,0.0687170840049275,0.0358056595995892,-0.0036331987329345,0.0358056595995892,hold,hold,0.0,0.0,0.0,0.0
2019-06-28,MELI,0.0507190955293621,0.0507190955293621,0.0154817869144261,-0.0036331987329345,0.0154817869144261,hold,hold,0.26057263652544727,0.26057263652544727,0.01388637117654512,0.24330760562708798
2019-06-28,NOW,0.039326146456861,0.039326146456861,-0.0009929387042298,-0.0036331987329345,-0.0009929387042298,hold,hold,0.026508967814092177,0.026508967814092177,0.01388637117654512,0.01244971527026184
