variant_id,status,portfolio_kind,trigger_mode,caution_multiplier,crisis_multiplier,cagr,max_dd,sharpe,trade_count,avg_cash_weight,total_fees_usd,target_distance,reason,valid_for_production
ma50_200_caution_0p90_crisis_0p70,completed,concentrated,ma50_200,0.9,0.7,0.1443800438868026,-0.17555333190342903,0.8225843148067277,649,0.3858187071295826,42746.33085924387,0.3556199561131974,,True
trend60_caution_0p90_crisis_0p70,completed,concentrated,trend60,0.9,0.7,0.1355601842333345,-0.1714331253418374,0.7736860957938334,587,0.39126892086104653,39360.015856480604,0.3644398157666655,,True
ma50_caution_0p90_crisis_0p70,completed,concentrated,ma50,0.9,0.7,0.13439900992121112,-0.161832801052056,0.7702296366874004,559,0.39289555329488224,37627.74740751743,0.3656009900787889,,True
ma50_caution_0p80_crisis_0p50,completed,concentrated,ma50,0.8,0.5,0.11610220393682891,-0.16918985363823436,0.6968727721373353,557,0.4320419770251372,37367.571469080445,0.3838977960631711,,True
ma50_200_caution_0p80_crisis_0p50,completed,concentrated,ma50_200,0.8,0.5,0.13105916313274202,-0.2001405255848514,0.7865348830263854,649,0.42236539251377375,45228.766249675755,0.3890813624521094,,True
ma50_caution_0p70_crisis_0p40,completed,concentrated,ma50,0.7,0.4,0.10453875279459912,-0.17439288254281504,0.639084963050252,557,0.45603914778839444,36977.401550388335,0.3954612472054009,,True
trend60_caution_0p80_crisis_0p50,completed,concentrated,trend60,0.8,0.5,0.11844532863860313,-0.19443331015100718,0.7066133002445644,585,0.4282306691695455,39648.677517166136,0.39598798151240405,,True
ma50_200_caution_0p70_crisis_0p40,completed,concentrated,ma50_200,0.7,0.4,0.12057650301451917,-0.2074352000770966,0.7444025063684672,649,0.4479479677585568,45594.74706497669,0.40685869706257743,,True
trend60_caution_0p70_crisis_0p40,completed,concentrated,trend60,0.7,0.4,0.10911937904700553,-0.2033587032828208,0.6624378656162717,584,0.4489424311528493,39110.239637115,0.4142393242358153,,True
ma50_caution_0p60_crisis_0p25,completed,concentrated,ma50,0.6,0.25,0.08956775316672072,-0.18461514803913837,0.5511077925774116,557,0.487699282864561,36641.58499880314,0.41504739487241765,,True
ma50_200_caution_0p60_crisis_0p25,completed,concentrated,ma50_200,0.6,0.25,0.10869754741219162,-0.22396733856938922,0.6878318578336445,648,0.4789639500548601,46868.395909109124,0.4352697911571976,,True
trend60_caution_0p60_crisis_0p25,completed,concentrated,trend60,0.6,0.25,0.0958104067543244,-0.2229433237586007,0.5872298633196272,586,0.4775732339178027,38877.14088169813,0.4471329170042763,,True
