date,base_equity_usd,overlay_equity_usd,base_cash_weight,overlay_cash_weight,crisis_state,policy_cash_floor,equity_drawdown_cash_floor,target_cash_weight_next,cash_action,turnover_from_cash_action,cash_action_cost_usd,base_equity_usd_peak,overlay_equity_usd_peak,base_drawdown,overlay_drawdown
2019-06-03,99958.73333330156,99958.73333330156,0.8348651875735297,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,INIT,0.0,0.0,99958.73333330156,99958.73333330156,0.0,0.0
2019-06-04,100469.52941865922,100469.52941865922,0.8306206581915223,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,HOLD_CASH,0.0,0.0,100469.52941865922,100469.52941865922,0.0,0.0
2019-06-05,101200.84331483842,101182.51709343113,0.8246182928960158,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,HOLD_CASH,0.0,0.0,101200.84331483842,101182.51709343113,0.0,0.0
2019-06-06,101260.53746004106,101238.71335555917,0.8241321717934855,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,HOLD_CASH,0.0,0.0,101260.53746004106,101238.71335555917,0.0,0.0
2019-06-07,101609.29810304644,101566.11894966052,0.8213034457662216,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,HOLD_CASH,0.0,0.0,101609.29810304644,101566.11894966052,0.0,0.0
2019-06-10,101630.4163167,101585.62615451618,0.8211327836527451,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,HOLD_CASH,0.0,0.0,101630.4163167,101585.62615451618,0.0,0.0
2019-06-11,101611.93994874955,101568.57581430917,0.8212820923998726,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,HOLD_CASH,0.0,0.0,101630.4163167,101585.62615451618,-0.00018179958933617346,-0.00016784205455488976
2019-06-12,101875.9681965828,101812.43301264981,0.8191536054203452,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,HOLD_CASH,0.0,0.0,101875.9681965828,101812.43301264981,0.0,0.0
2019-06-13,101825.23962373736,101766.14052773637,0.8195617016202436,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,HOLD_CASH,0.0,0.0,101875.9681965828,101812.43301264981,-0.0004979444489553453,-0.0004546840061045998
2019-06-14,101600.9977871895,101561.03639098395,0.8213705423318333,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,HOLD_CASH,0.0,0.0,101875.9681965828,101812.43301264981,-0.0026990703917799674,-0.0024692133782385772
2019-06-17,101708.51483507158,101660.39192001763,0.8205022636427577,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,HOLD_CASH,0.0,0.0,101875.9681965828,101812.43301264981,-0.0016436983566929797,-0.0014933450476847243
2019-06-18,101751.57997865678,101699.99236152248,0.8201549958381381,0.8348651875735297,GREEN,0.03,0.0,0.8348651875735297,HOLD_CASH,0.0,0.0,101875.9681965828,101812.43301264981,-0.0012209770383335705,-0.001104390179079151
