portfolio,ticker,sector,theme,subindustry,entry_signal_stack_count_max,candidate_rank_percentile_max,rs_3m_max,rs_6m_max,audit_forward_63d_excess_spy_max,audit_forward_126d_excess_spy_max,audit_forward_126d_excess_max,name_contribution_return_on_start,name_contribution_status,used_forward_return_in_ranking,policy_mutation_allowed,production_mutation_allowed,live_trading_enabled,evidence_sources,pit_signal_sources,outcome_selected_sources,source_dates,independent_source_count,pit_signal_source_count,outcome_selected_source_count,has_outcome_selected_source,fusion_review_score,fusion_review_candidate,policy_eligible,review_status
concentrated,AMD,Information Technology,,,7.0,0.9826989619377162,0.4957644826863447,0.6111915564876582,0.2884495856185725,0.5925874376751143,,1.397149874197808,,False,False,False,False,drop_counterfactual_high_signal;drop_still_pit_signal;positive_name_contribution;right_tail_entry_skill,drop_counterfactual_high_signal;drop_still_pit_signal;right_tail_entry_skill,positive_name_contribution,drop_counterfactual_high_signal:2020-01-31;drop_counterfactual_high_signal:2024-03-28;drop_counterfactual_high_signal:2025-08-29;drop_still_pit_signal:2020-01-31;drop_still_pit_signal:2022-01-31;drop_still_pit_signal:2024-03-28;drop_still_pit_signal:2025-08-29;right_tail_entry_skill:2019-12-31,4,3,1,True,4.75,True,False,ready_for_manual_fusion_review
main,MRVL,Information Technology,,,8.0,0.9952076677316294,0.5507459494500522,0.5933884190133916,-0.3991118420598312,-0.38067912058395,,0.2636797700660796,,False,False,False,False,drop_counterfactual_high_signal;drop_still_pit_signal;positive_name_contribution;right_tail_entry_skill,drop_counterfactual_high_signal;drop_still_pit_signal;right_tail_entry_skill,positive_name_contribution,drop_counterfactual_high_signal:2025-01-31;drop_still_pit_signal:2023-08-31;drop_still_pit_signal:2025-01-31;right_tail_entry_skill:2023-07-31,4,3,1,True,4.75,True,False,ready_for_manual_fusion_review
main,MU,Information Technology,,,7.0,0.9936170212765958,0.4578643554980441,0.5483958573432888,-0.2110542191220085,-0.308991925122103,,0.0892188446933962,,False,False,False,False,drop_counterfactual_high_signal;drop_still_pit_signal;positive_name_contribution;right_tail_entry_skill,drop_counterfactual_high_signal;drop_still_pit_signal;right_tail_entry_skill,positive_name_contribution,drop_counterfactual_high_signal:2021-03-31;drop_counterfactual_high_signal:2024-06-28;drop_still_pit_signal:2021-03-31;drop_still_pit_signal:2024-06-28;right_tail_entry_skill:2020-12-31,4,3,1,True,4.75,True,False,ready_for_manual_fusion_review
concentrated,MU,Information Technology,,,7.0,0.9936170212765958,0.4578643554980441,1.2862497516909122,-0.0581264604193019,-0.2054072992466006,,4.093817533493288,,False,False,False,False,drop_counterfactual_high_signal;drop_still_pit_signal;positive_name_contribution;right_tail_entry_skill,drop_counterfactual_high_signal;drop_still_pit_signal;right_tail_entry_skill,positive_name_contribution,drop_counterfactual_high_signal:2021-01-29;drop_counterfactual_high_signal:2021-03-31;drop_counterfactual_high_signal:2024-04-30;drop_counterfactual_high_signal:2026-04-30;drop_still_pit_signal:2021-01-29;drop_still_pit_signal:2021-03-31;drop_still_pit_signal:2024-04-30;drop_still_pit_signal:2026-04-30;right_tail_entry_skill:2020-12-31,4,3,1,True,4.75,True,False,ready_for_manual_fusion_review
main,CIEN,Information Technology,,,6.0,0.8339100346020761,0.3797709695893552,0.2338175134991449,,,,0.3183880866509049,,False,False,False,False,drop_still_pit_signal;positive_name_contribution;right_tail_entry_skill,drop_still_pit_signal;right_tail_entry_skill,positive_name_contribution,drop_still_pit_signal:2022-01-31;drop_still_pit_signal:2025-01-31;right_tail_entry_skill:2021-12-31,3,2,1,True,3.5,True,False,ready_for_manual_fusion_review
concentrated,AIZ,,,,0.0,0.8265486725663717,0.0663145821213,0.2810782002080301,-0.0087393762924452,-0.200888312097674,,8.129644824163138e-05,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2023-12-29,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
main,ALB,,,,0.0,0.8514056224899599,0.1001054666239495,0.6265179371560463,0.013469415311095,0.3913761656149004,,0.0055925960652922,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2021-02-26,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
main,AMAT,,,,0.0,0.990909090909091,0.1227130718705999,0.6923525810854756,-0.0051521146988707,-0.0073532073020241,,0.003329316099298,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2021-07-30;drop_counterfactual_high_signal:2023-06-30;drop_counterfactual_high_signal:2026-04-30,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
concentrated,AMAT,,,,0.0,0.993975903614458,0.3791973812513272,1.048281274120234,0.0501553984267775,-0.0423375450882643,,0.0438019761800149,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2021-02-26;drop_counterfactual_high_signal:2021-04-30,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
main,AMD,,,,0.0,0.9981549815498156,0.2759873496457357,0.6111915564876582,0.4765393403713183,0.5473492321873192,,0.2604287317756494,,False,False,False,False,drop_counterfactual_high_signal;positive_name_contribution,drop_counterfactual_high_signal,positive_name_contribution,drop_counterfactual_high_signal:2020-06-30;drop_counterfactual_high_signal:2021-08-31;drop_counterfactual_high_signal:2024-03-28;drop_counterfactual_high_signal:2025-09-30,2,1,1,True,2.25,True,False,ready_for_manual_fusion_review
