portfolio,subset,group_field,group_value,observations,completed_63d_count,completed_126d_count,avg_63d_excess_spy,avg_126d_excess_spy,positive_126d_count,positive_rate_126d_excess_spy,max_126d_excess_spy,min_126d_excess_spy,used_forward_return_in_ranking,segment_review_candidate,policy_eligible
concentrated,high_signal,candidate_sector,Industrials,20,19,19,0.0049480364847039,0.1170513801852349,12,0.631578947368421,0.9185444687953686,-0.2205851116228985,False,True,False
main,high_signal,candidate_regime_state,bear,11,11,11,0.0206081420954173,0.0693924527928217,7,0.6363636363636364,0.3452809681054916,-0.2070404451303094,False,True,False
concentrated,high_signal,candidate_industry_group,Other,8,8,7,0.0041250590151387,0.1374332897917558,6,0.8571428571428571,0.3470282254721457,-0.4921563872254161,False,True,False
main,high_signal,candidate_industry_group,Capital Goods - Machinery,5,5,5,-0.0007715208674824,0.2014920987109922,4,0.8,0.95141401665431,-0.3702319538698294,False,True,False
main,high_signal,candidate_sector,Utilities,5,5,5,0.1748138220658188,0.1995147694440615,4,0.8,0.472556747924189,-0.0013896056535041,False,True,False
main,high_signal,candidate_industry_group,Utilities,5,5,5,0.1748138220658188,0.1995147694440615,4,0.8,0.472556747924189,-0.0013896056535041,False,True,False
main,high_signal,candidate_sector,Energy,5,5,5,0.0889432096614086,0.1742420171917278,3,0.6,0.5265607384851585,-0.2070404451303094,False,True,False
main,high_signal,candidate_industry_group,Oil Gas & Consumable Fuels,5,5,5,0.0889432096614086,0.1742420171917278,3,0.6,0.5265607384851585,-0.2070404451303094,False,True,False
concentrated,high_signal,candidate_industry_group,Capital Goods - Machinery,4,3,3,-0.1217221359576038,0.1956913204882361,3,1.0,0.3767388930480126,0.0385517628286733,False,True,False
concentrated,high_signal,candidate_industry_group,Construction & Engineering,3,3,3,-0.0029864914572738,0.134158520539076,3,1.0,0.2005660827653816,0.0560305330582437,False,True,False
concentrated,high_signal,candidate_industry_group,Specialty Retail,3,3,3,-0.165344981750129,0.1237234092779236,2,0.6666666666666666,0.2362365642382636,-0.0380892748466741,False,True,False
main,all_drops,candidate_regime_state,neutral,276,268,257,0.0004148717567629,-0.0161766153770305,115,0.4474708171206226,1.1161656976515453,-0.7422685768708168,False,False,False
main,skill_signal,candidate_regime_state,neutral,227,221,211,-0.0125183533301777,-0.0229976124336359,91,0.4312796208530806,1.1161656976515453,-0.7422685768708168,False,False,False
main,all_drops,candidate_portfolio_sleeve_label,unassigned,219,216,212,0.0198126119387004,0.0187348551118288,105,0.4952830188679245,1.221042060667889,-0.7394668651727438,False,False,False
main,all_drops,candidate_market_style_regime_label,quality_compounder,217,217,210,0.0060987105167025,0.0079739290412632,101,0.4809523809523809,1.0856891351711224,-0.7422685768708168,False,False,False
main,all_drops,candidate_market_style_regime_label,balanced,215,215,211,-0.0038732652877383,-0.0067162538862171,96,0.4549763033175355,1.221042060667889,-0.7394668651727438,False,False,False
main,skill_signal,candidate_market_style_regime_label,balanced,180,180,177,-0.0056321971668078,0.0016786046492653,81,0.4576271186440678,1.221042060667889,-0.6457466435586163,False,False,False
main,skill_signal,candidate_market_style_regime_label,quality_compounder,169,169,162,-0.0045485930722285,-0.0078841621982467,72,0.4444444444444444,1.0856891351711224,-0.7422685768708168,False,False,False
main,skill_signal,candidate_portfolio_sleeve_label,unassigned,156,154,151,0.0066658597717948,0.0069199683729572,67,0.4437086092715231,1.221042060667889,-0.6457466435586163,False,False,False
main,all_drops,candidate_regime_state,bull,152,147,147,-0.0086638024724726,-0.01069177595694,62,0.4217687074829932,1.221042060667889,-0.7394668651727438,False,False,False
concentrated,all_drops,candidate_regime_state,neutral,145,141,133,0.0099999877771708,-0.0006157418959845,56,0.4210526315789473,1.2650247339003775,-0.6549573388079496,False,False,False
main,skill_signal,candidate_regime_state,bull,134,129,129,0.0011361735893649,-0.0005819246962291,54,0.4186046511627907,1.221042060667889,-0.6237765510719779,False,False,False
concentrated,skill_signal,candidate_regime_state,neutral,130,126,118,0.0198392439738821,0.017061938733303,50,0.423728813559322,1.2650247339003775,-0.6549573388079496,False,False,False
main,all_drops,candidate_sector,Information Technology,130,125,120,-0.0160293043813056,-0.0144705566037563,58,0.4833333333333333,1.0856891351711224,-0.6088774612256853,False,False,False
main,all_drops,candidate_portfolio_sleeve_label,early_scout,127,127,123,-7.507484608537585e-05,0.0244607564584639,60,0.4878048780487805,1.1161656976515453,-0.6237765510719779,False,False,False
main,all_drops,candidate_portfolio_sleeve_label,future_winner,126,119,118,-0.0062430158631441,-0.0329655581596137,53,0.4491525423728814,0.6566022084074208,-0.7422685768708168,False,False,False
concentrated,all_drops,candidate_market_style_regime_label,balanced,117,117,115,-0.0217060550498405,0.0038777905371274,51,0.4434782608695652,1.768607889158493,-0.7778869842893781,False,False,False
main,skill_signal,candidate_sector,Information Technology,112,107,103,-0.0206052469577507,-0.0156553336790123,47,0.4563106796116505,1.0856891351711224,-0.6088774612256853,False,False,False
main,skill_signal,candidate_portfolio_sleeve_label,early_scout,111,111,107,-0.0061558028452675,0.028416268412691,53,0.4953271028037383,1.1161656976515453,-0.6237765510719779,False,False,False
main,skill_signal,candidate_portfolio_sleeve_label,future_winner,108,102,102,-0.0205324840117129,-0.04569912169815,44,0.4313725490196078,0.6566022084074208,-0.7422685768708168,False,False,False
concentrated,all_drops,candidate_market_style_regime_label,quality_compounder,106,106,100,0.0142483594128197,0.0205683465087079,49,0.49,1.2650247339003775,-0.6549573388079496,False,False,False
concentrated,skill_signal,candidate_market_style_regime_label,balanced,105,105,103,-0.0169737441524171,0.0109215961338491,46,0.4466019417475728,1.768607889158493,-0.7778869842893781,False,False,False
concentrated,all_drops,candidate_portfolio_sleeve_label,unassigned,97,96,92,0.0321319018364368,0.0403736448274685,46,0.5,0.9185444687953686,-0.6116622565558748,False,False,False
main,all_drops,candidate_sector,Industrials,96,92,90,0.0419650805418342,0.0640376827314367,51,0.5666666666666667,1.1161656976515453,-0.7394668651727438,False,False,False
main,high_signal,candidate_regime_state,neutral,95,93,89,-0.0277669606247828,-0.0491723222198922,35,0.3932584269662921,0.8095912897989002,-0.7422685768708168,False,False,False
