rebalance_date,policy,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,baseline_recommendation_count,carried_count
2019-04-30,lifecycle_review_main,0.0028268763423455953,0.002475,0.495,0.0003518763423455951,0.010000000000000009,3,"NOW,CDNS,SHOP",18,0
2019-05-31,lifecycle_review_main,0.08051328992576345,0.0013434913687353034,0.2686982737470607,0.07916979855702815,0.28,6,"NOW,CDNS,SHOP,HEI,PYPL,AMT",18,1
2019-06-28,lifecycle_review_main,0.030639403289623737,0.0011850054153386908,0.23700108306773815,0.029454397874285047,0.0,9,"NOW,CDNS,SHOP,HEI,PYPL,AMT,ADBE,MKTX,V",26,1
2019-07-31,lifecycle_review_main,0.008263333567598308,0.0009559936818755871,0.19119873637511742,0.007307339885722721,0.0,11,"NOW,CDNS,SHOP,HEI,PYPL,ADBE,MKTX,V,CTAS,XYZ,HD",18,3
2019-08-30,lifecycle_review_main,-0.055460324442674055,0.0006780792944299602,0.13561585888599204,-0.05613840373710401,0.0,12,"NOW,CDNS,SHOP,HEI,ADBE,MKTX,V,CTAS,XYZ,HD,MA,DG",18,5
2019-09-30,lifecycle_review_main,0.00849665917547605,0.0029344071119556422,0.5868814223911284,0.005562252063520408,1.1102230246251565e-16,10,"SHOP,HEI,ADBE,MKTX,CTAS,MA,DG,LHX,MLM,NEE",18,5
2019-10-31,lifecycle_review_main,-0.02341616729252545,0.0038197216859739416,0.7639443371947883,-0.027235888978499392,1.1102230246251565e-16,8,"ADBE,CTAS,DG,MLM,NEE,AAPL,BKNG,COST",31,2
2019-11-29,lifecycle_review_main,0.06914332031406137,0.001977487278503995,0.39549745570079897,0.06716583303555737,0.0,11,"ADBE,CTAS,DG,MLM,NEE,AAPL,BKNG,COST,UNH,BAC,NVDA",40,2
2019-12-31,lifecycle_review_main,0.03564990802198606,0.0008326946974213795,0.1665389394842759,0.03481721332456468,0.0,12,"ADBE,CTAS,MLM,AAPL,BKNG,COST,UNH,BAC,NVDA,AMD,TSLA,BABA",18,5
2020-01-31,lifecycle_review_main,-0.0030578739334732007,0.0006481490036610814,0.12962980073221628,-0.0037060229371342823,0.0,12,"ADBE,CTAS,AAPL,BKNG,COST,UNH,BAC,NVDA,AMD,TSLA,BABA,SHOP",18,5
