rebalance_date,net_return,drawdown,regime_state
2022-03-31,-0.12949342684788373,-0.2016541848183141,
2022-05-31,-0.10509962142315869,-0.2844240934942087,
2025-10-31,-0.07529308937983252,-0.07529308937983248,
2022-08-31,-0.07345408464281761,-0.3208501005829486,
2021-12-31,-0.07181970919593599,-0.07181970919593594,
2025-03-31,-0.07144083943116382,-0.14584739603375296,
2023-03-31,-0.07080019278477448,-0.2738378167773954,
2020-02-28,-0.06681554547780377,-0.10832829447070047,
2019-08-30,-0.06154052222944931,-0.06154052222944928,
2024-11-29,-0.057987097271569164,-0.057987097271569144,
