rank,ticker,target_weight,regime_state,row_type
1,GOOGL,0.11700000000000002,neutral,equity
2,AMAT,0.03984384527335589,neutral,equity
3,GLW,0.03984384527335589,neutral,equity
4,VRT,0.03984384527335589,neutral,equity
5,LRCX,0.038431317186862886,neutral,equity
6,FIX,0.037311177045260484,neutral,equity
7,PWR,0.03671816998425756,neutral,equity
8,FTI,0.03661149471646967,neutral,equity
9,UMC,0.03641063450922521,neutral,equity
10,NXPI,0.03609830701335194,neutral,equity
11,ETR,0.03588736372450463,neutral,equity
12,AKAM,0.03419220768038833,neutral,equity
13,WDC,0.02746786980597643,neutral,equity
14,MLI,0.026000000000000006,neutral,equity
15,ON,0.026000000000000006,neutral,equity
16,PR,0.026000000000000006,neutral,equity
17,STM,0.026000000000000006,neutral,equity
18,TKR,0.026000000000000006,neutral,equity
19,MU,0.022948529028652326,neutral,equity
20,SNDK,0.015391393484982922,neutral,equity
21,CASH,0.2759999999999999,neutral,cash
