as_of_date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd
2026-07-02,AVT,1319.0,82.18000030517578,108395.42040252686,0.08588879373528037,73.51982728276114,11422.768216564902,1832.7575032684701
2026-07-02,CIEN,116.0,422.4599914550781,49005.35900878906,0.03883015681104485,257.3990186645045,19147.072843706537,44451.45411521681
2026-07-02,LRCX,291.0,351.4100036621094,102260.31106567383,0.08102754463066342,268.4559732877849,24139.622838928422,7352.137881005074
2026-07-02,MRVL,349.0,245.2899932861328,85606.20765686035,0.06783140731034296,164.9499969482422,28038.658721923828,9114.410106048585
2026-07-02,MU,131.0,975.5599975585938,127798.35968017578,0.10126301382029523,346.21439763554406,82444.27358991951,56188.22256568581
2026-07-02,ONTO,10.0,307.5799865722656,3075.7998657226562,0.0024371577623578085,232.36395391311936,752.1603265914628,3195.5100620498933
2026-07-02,RVMD,814.0,189.24000549316406,154041.36447143555,0.12205706597803695,104.6535108551737,68853.40663532415,17461.94617809137
2026-07-02,SNDK,77.0,1745.0,134365.0,0.10646619319695837,629.7711408061366,85872.62215792749,35218.18753933815
2026-07-02,STM,1207.0,68.3499984741211,82498.44815826416,0.06536892583684,55.68721008300781,15283.98558807373,-2336.202315654755
2026-07-02,TER,73.0,369.0899963378906,26943.569732666016,0.021349155662365497,150.0723263731375,15988.289907426977,62182.57596629129
2026-07-02,UMC,3676.0,24.540000915527344,90209.04336547852,0.07147853562357631,22.889999389648438,6065.405609130859,0.0
2026-07-02,WDC,248.0,539.0,133672.0,0.10591708389107148,84.69655462841092,112667.2544521541,52430.955912645404
