ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
AMD,16786.50043487549,0.1340480313754633,6533.039821624756,0.0705300673942356,-10253.460613250732
PENN,7939.399673461914,0.0633998075214931,664.4399971961975,0.0071732300829629,-7274.959676265717
NOW,14237.255744934082,0.1136911241387982,7232.159996032715,0.078077701323306,-7005.095748901367
STM,7081.421073913574,0.0565484484381675,1043.3908710479736,0.0112643471435693,-6038.030202865601
UI,5677.069854736328,0.0453340492832767,0.0,0.0,-5677.069854736328
PCTY,6588.119812011719,0.0526092078984543,1097.459991455078,0.0118480721491383,-5490.659820556641
FTNT,6556.00004196167,0.0523527165612548,1270.2319917678833,0.0137133019898571,-5285.768050193787
PAYC,6326.1993408203125,0.0505176508358996,1312.8206481933594,0.0141730850142887,-5013.378692626953
QRVO,6150.159873962402,0.0491118936283006,1387.3799362182615,0.0149780198919021,-4762.779937744141
SHOP,7387.6558837890625,0.0589938761532357,2896.7378845214844,0.0312729026298702,-4490.917999267578
TSLA,7584.005065917969,0.060561815905102,3106.4919776916504,0.0335373875758428,-4477.513088226318
DXCM,7875.359802246094,0.0628884192962151,3918.780075073242,0.042306771479217,-3956.5797271728516
SE,7065.6001052856445,0.0564221106283748,4405.799903869629,0.0475645905474001,-2659.8002014160156
RNG,7686.964553833008,0.0613839954129739,5578.555603027344,0.0602255478899189,-2108.408950805664
