as_of_date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd
2026-06-18,AMAT,43.0,617.1099853515625,26535.729370117188,0.04235719473205409,350.7776298373173,11452.291287112543,5284.730677838018
2026-06-18,AVT,200.0,91.47000122070312,18294.000244140625,0.02920147850324144,69.90092784881591,4313.814674377443,-66.14592516899108
2026-06-18,CIEN,68.0,428.2200012207031,29118.960083007812,0.04648063165807848,348.414307098319,5426.78720032212,16346.42491897109
2026-06-18,LITE,28.0,850.0,23800.0,0.03799033448683515,506.40747182868984,9620.590788796684,22144.859925963145
2026-06-18,LRCX,60.0,389.0400085449219,23342.400512695312,0.037259899294242324,202.33559562149364,11202.264775405694,9772.450975045393
2026-06-18,MRVL,199.0,310.5799865722656,61805.41732788086,0.0986558183775055,164.9499969482422,28980.367935180664,0.0
2026-06-18,MU,61.0,1133.989990234375,69173.38940429688,0.11041681517047634,447.76837684565635,41859.51841671184,17531.97509549901
2026-06-18,ON,223.0,121.62000274658203,27121.260612487793,0.0432918387551697,103.02999877929688,4145.57088470459,-3655.0890448760983
2026-06-18,ONTO,93.0,333.760009765625,31039.680908203125,0.04954654874232218,266.64871708039317,6241.350219726559,1185.8954743576048
2026-06-18,PR,1154.0,18.43000030517578,21268.22035217285,0.03394902542515805,21.116418312905772,-3100.12638092041,0.0
2026-06-18,RVMD,169.0,162.99000549316406,27545.310928344727,0.04396872166855848,97.84621157601799,11009.301171997686,6045.651941901548
2026-06-18,SEB,3.0,4795.0,14385.0,0.022961805108954774,4624.4344482421875,511.6966552734375,1090.83609375
2026-06-18,SNDK,42.0,2184.75,91759.5,0.14646949988843488,767.8209649948847,59511.019470214844,547.635908203125
2026-06-18,STM,480.0,78.38999938964844,37627.19970703125,0.06006176061651524,55.75,10867.19970703125,-2523.8954943180083
2026-06-18,TER,36.0,437.9200134277344,15765.120483398438,0.02516479833569592,182.52064702102174,9194.377190641655,24666.760695281733
2026-06-18,TPL,31.0,355.1099853515625,11008.409545898438,0.0175719815469223,527.1397813366306,-5332.923675537109,4613.092297058106
2026-06-18,UI,26.0,589.4600219726562,15325.960571289062,0.024463796993080614,1018.4410400390625,-11153.506469726562,-874.4274670410157
2026-06-18,WDC,105.0,746.22998046875,78354.14794921875,0.1250714407152012,264.8834071085339,50541.39020282269,31855.20606049061
