portfolio,as_of_date,order_batch_id,client_order_id,ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,preview_status,lifecycle_status,source_orders_preview
main,2026-05-08,931d326991a97b6af1712c2f0fd677cc210d90f4855298cdaa7c2dd1793924e2,r1k-M-20260508-S-AMAT-3a650d400efd,AMAT,SELL,74.0,435.4400024414063,434.3514024353028,32222.560180664062,80.55640045166015,32142.0037802124,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-08,931d326991a97b6af1712c2f0fd677cc210d90f4855298cdaa7c2dd1793924e2,r1k-M-20260508-S-MU-e1cb37b0cb44,MU,SELL,43.0,746.8099975585938,744.9429725646974,32112.82989501953,80.28207473754883,32032.547820281983,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-08,931d326991a97b6af1712c2f0fd677cc210d90f4855298cdaa7c2dd1793924e2,r1k-M-20260508-S-GOOGL-aa60ba73b14b,GOOGL,SELL,44.0,400.7999877929688,399.7979878234863,17635.199462890625,44.08799865722656,17591.1114642334,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-08,931d326991a97b6af1712c2f0fd677cc210d90f4855298cdaa7c2dd1793924e2,r1k-M-20260508-S-ETR-1ef6f46824d1,ETR,SELL,150.0,111.58999633789062,111.31102134704592,16738.499450683594,41.84624862670898,16696.653202056885,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-08,931d326991a97b6af1712c2f0fd677cc210d90f4855298cdaa7c2dd1793924e2,r1k-M-20260508-S-VZ-14da7c40b371,VZ,SELL,281.0,47.220001220703125,47.10195121765137,13268.820343017578,33.172050857543944,13235.648292160036,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-08,931d326991a97b6af1712c2f0fd677cc210d90f4855298cdaa7c2dd1793924e2,r1k-M-20260508-S-KO-3d41f61827bf,KO,SELL,145.0,78.41999816894531,78.22394817352296,11370.89973449707,28.42724933624268,11342.472485160828,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-08,931d326991a97b6af1712c2f0fd677cc210d90f4855298cdaa7c2dd1793924e2,r1k-M-20260508-S-SCCO-db1038e11aa5,SCCO,SELL,60.0,185.2899932861328,184.8267683029175,11117.399597167969,27.79349899291992,11089.606098175049,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-08,931d326991a97b6af1712c2f0fd677cc210d90f4855298cdaa7c2dd1793924e2,r1k-M-20260508-S-APH-174b9f4016a1,APH,SELL,86.0,128.02999877929688,127.70992378234864,11010.579895019531,27.52644973754883,10983.053445281985,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-08,931d326991a97b6af1712c2f0fd677cc210d90f4855298cdaa7c2dd1793924e2,r1k-M-20260508-S-ADI-f45d6d5f5dee,ADI,SELL,26.0,416.5199890136719,415.4786890411377,10829.519714355469,27.073799285888672,10802.44591506958,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-08,931d326991a97b6af1712c2f0fd677cc210d90f4855298cdaa7c2dd1793924e2,r1k-M-20260508-S-COST-13827f136117,COST,SELL,10.0,1008.7899780273438,1006.2680030822754,10087.899780273438,25.219749450683597,10062.680030822754,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
main,2026-05-08,931d326991a97b6af1712c2f0fd677cc210d90f4855298cdaa7c2dd1793924e2,r1k-M-20260508-S-BKNG-86754871ac2a,BKNG,SELL,54.0,165.92999267578125,165.51516769409182,8960.219604492188,22.40054901123047,8937.819055480957,ready,planned,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/account_ledger_preview/main/orders_preview.csv
