signal,ic_all,n_all,ic_deep_bear,n_deep_bear,ic_bear,n_bear,ic_neutral,n_neutral,ic_bull,n_bull,ic_strong_bull,n_strong_bull
rs_acceleration_score,0.038741827605941116,772,,6,0.08666339599728869,114,-0.037126779897347424,283,0.08207451985912348,151,,6
h1_oversold_value_score,0.00858570183663883,772,,6,0.007154780826023869,114,0.01969388601297284,283,,151,,6
h6_dynamic_leader_score,-0.04100794871336191,772,,6,-0.04447459059535532,114,-0.003815313993947698,283,-0.014306173641156904,151,,6
stage2_overext_penalty,,772,,6,,114,,283,,151,,6
theme_phase_multiplier_primary,-0.06590337847623803,772,,6,-0.005971248183053954,114,-0.067613645530876,283,0.08629398954481404,151,,6
theme_phase_multiplier_max,-0.06331344007850678,772,,6,0.009917888313272264,114,-0.08936364891028234,283,0.13415778789199448,151,,6
explosion_entry_score,,772,,6,,114,,283,,151,,6
explosion_exit_score,,772,,6,,114,,283,,151,,6
explosion_net_score,,772,,6,,114,,283,,151,,6
portfolio_monster_early_score,0.07169616995362645,772,,6,,114,,283,,151,,6
entry_quality_score,-0.0438655900978793,772,,6,0.01100701109813208,114,0.00831526857741915,283,0.00649910682787365,151,,6
breakout_setup_quality_score,,772,,6,,114,,283,,151,,6
selection_confirmation_score,-0.03841428595331183,772,,6,-0.04147108457761943,114,0.1135358730664749,283,-0.011579952988721963,151,,6
portfolio_risk_entry_block_score,0.06679751856740167,772,,6,,114,,283,,151,,6
portfolio_hold_policy_exit_risk,,772,,6,,114,,283,,151,,6
broken_momentum_penalty,,772,,6,,114,,283,,151,,6
relative_strength_composite,,772,,6,,114,,283,,151,,6
