horizon,status,start_date,end_date,period_return,cagr,max_dd,sharpe,realized_volatility,start_equity_usd,end_equity_usd,avg_cash_weight,end_cash_weight,series,series_type
1M,completed,2026-05-15,2026-06-15,0.1488630405585336,4.129749660158894,-0.12765904345518397,3.213256206140571,0.6029197880193873,718828.937997544,825835.99934932,0.16735996297853106,0.1420016103211184,main,portfolio
3M,completed,2026-03-16,2026-06-15,0.39491955276837576,2.803489423379439,-0.12765904345518397,3.042153310321188,0.4763237307929383,592031.2735672498,825835.99934932,0.3061157316094555,0.1420016103211184,main,portfolio
6M,completed,2025-12-15,2026-06-15,0.7756094741049535,2.165245925680502,-0.12829527064521884,2.9393168860699626,0.42935288795880255,465100.0185531259,825835.99934932,0.25894997583594465,0.1420016103211184,main,portfolio
YTD,completed,2026-01-02,2026-06-15,0.7290397229046488,2.385505867063122,-0.12829527064521884,2.9737065744750057,0.44940819331004656,477626.96739088296,825835.99934932,0.2254204753780169,0.1420016103211184,main,portfolio
1Y,completed,2025-06-16,2026-06-15,1.494067011471488,1.5019067955289334,-0.12829527064521884,2.6832631836084837,0.3694207463481024,331120.2127091527,825835.99934932,0.18577496819338601,0.1420016103211184,main,portfolio
2Y,completed,2024-06-17,2026-06-15,1.8993641575509552,0.7058670162102165,-0.23733633002469756,1.8584463904162793,0.31661255360286955,284833.485713947,825835.99934932,0.22115099218663015,0.1420016103211184,main,portfolio
FULL,completed,2019-06-03,2026-06-15,7.268113125846989,0.3503088757447341,-0.260506696589315,1.2912352207008027,0.2594501799056462,99882.03920041562,825835.99934932,0.26665424595335424,0.1420016103211184,main,portfolio
1M,completed,2026-05-15,2026-06-15,0.1329384855305784,3.351840477999642,-0.15030547374096292,2.7152634995667784,0.6620686497360945,1204502.6125994562,1364627.3657360529,0.0664193567977801,0.0001347940262161,concentrated,portfolio
3M,completed,2026-03-16,2026-06-15,0.2688447031674228,1.6004848632527175,-0.15030547374096292,2.2484148998409426,0.4745006460155708,1075488.089542816,1364627.3657360529,0.4350952844097418,0.0001347940262161,concentrated,portfolio
6M,completed,2025-12-15,2026-06-15,1.1218962661136724,3.5257679407528784,-0.15030547374096292,3.444709737116598,0.47819872053877294,643116.9079888226,1364627.3657360529,0.3081437410432524,0.0001347940262161,concentrated,portfolio
YTD,completed,2026-01-02,2026-06-15,0.9028720812560187,3.1906621364936436,-0.15030547374096292,3.25236965053719,0.48192729339194246,717140.8836033321,1364627.3657360529,0.3275094928371852,0.0001347940262161,concentrated,portfolio
1Y,completed,2025-06-16,2026-06-15,2.8696781000046263,2.8877018727545023,-0.15030547374096292,3.2472483165764072,0.4526164035317786,352646.2228820587,1364627.3657360529,0.20815455167629732,0.0001347940262161,concentrated,portfolio
2Y,completed,2024-06-17,2026-06-15,3.922151901910305,1.2246718481462118,-0.23138861173999115,2.3845375478980793,0.3660535054303439,277242.0260346772,1364627.3657360529,0.2989522993540797,0.0001347940262161,concentrated,portfolio
FULL,completed,2019-06-03,2026-06-15,12.651907344238321,0.45009743233113975,-0.2581903349486949,1.4112903215687642,0.29847964360667617,99958.73333494188,1364627.3657360529,0.4228938877524496,0.0001347940262161,concentrated,portfolio
1M,completed,2026-05-12,2026-06-12,0.004836228778401397,0.05849104335036048,-0.044946501730241395,0.4566235122692955,0.14383775340279917,738.1799926757812,741.75,,,SPY,benchmark
3M,completed,2026-03-12,2026-06-12,0.11667981407708616,0.549822679875303,-0.055299084239559315,2.9756895039406923,0.14993142004372537,664.2459106445312,741.75,,,SPY,benchmark
6M,completed,2025-12-12,2026-06-12,0.09418779540125044,0.19798731846504447,-0.08884972579331007,1.422221479212873,0.13508367707249117,677.9000854492188,741.75,,,SPY,benchmark
YTD,completed,2026-01-02,2026-06-12,0.0887125296929776,0.21266982617490515,-0.08884972579331007,1.4540781091163213,0.1394421147260691,681.309326171875,741.75,,,SPY,benchmark
1Y,completed,2025-06-12,2026-06-12,0.24265541945542868,0.24284034251649955,-0.08884972579331007,1.8370368452298083,0.12289870871304046,596.9072265625,741.75,,,SPY,benchmark
2Y,completed,2024-06-12,2026-06-12,0.40350582192148643,0.18483404600294673,-0.18755238717833633,1.0967494351933353,0.16834563713963518,528.4979858398438,741.75,,,SPY,benchmark
FULL,completed,2011-06-16,2026-06-12,6.604508767003497,0.14492834997109783,-0.3371726149351547,0.8752044054475838,0.1719697972237183,97.54081726074219,741.75,,,SPY,benchmark
1M,completed,2026-05-15,2026-06-15,0.0494689287892176,0.7663186861979194,-0.07032000186501774,2.3623456635686124,0.27382918083330565,708.9299926757812,744.0,,,QQQ,benchmark
3M,completed,2026-03-16,2026-06-15,0.24077775803069912,1.3771851282798973,-0.07347138925605412,3.9282020499044314,0.2266042757277899,599.6239013671875,744.0,,,QQQ,benchmark
6M,completed,2025-12-15,2026-06-15,0.22170193638071556,0.4946097579890185,-0.11723572714706232,2.156244649984327,0.19798135627784955,608.9865112304688,744.0,,,QQQ,benchmark
YTD,completed,2026-01-02,2026-06-15,0.2149955924163247,0.5429761308753989,-0.11723572714706232,2.257780867665917,0.20341069272370246,612.347900390625,744.0,,,QQQ,benchmark
1Y,completed,2025-06-16,2026-06-15,0.39924255355392946,0.4008576643397821,-0.11964367111609375,2.0357750259341305,0.17388426543728966,531.7162475585938,744.0,,,QQQ,benchmark
2Y,completed,2024-06-17,2026-06-15,0.5506760270129667,0.2461997718263249,-0.22768310492842747,1.1218408684840293,0.21878152254680266,479.7907409667969,744.0,,,QQQ,benchmark
FULL,completed,2011-06-16,2026-06-15,14.682257194949615,0.20144754908644136,-0.35118715832787806,0.9865828184393172,0.20866888790474605,47.4421501159668,744.0,,,QQQ,benchmark
