as_of_date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd
2026-05-14,ADI,30.0,426.6300048828125,12798.900146484375,0.04304639898313615,343.7974599598512,2484.9763476888384,-6.91645900170451
2026-05-14,AMAT,55.0,445.8500061035156,24521.75033569336,0.08247373107329506,352.32495855796174,5143.8776150054655,1848.5492197494798
2026-05-14,APH,72.0,126.48999786376953,9107.279846191406,0.030630413349846716,132.1424630020604,-406.977489956942,3106.611388596621
2026-05-14,ATI,67.0,164.41000366210938,11015.470245361328,0.03704820896652873,161.73984948912664,178.90032958984375,-176.49296236038202
2026-05-14,BE,32.0,303.4700012207031,9711.0400390625,0.03266103331367253,165.5827378057084,4412.392429279831,1486.2725196032254
2026-05-14,ETR,122.0,112.06999969482422,13672.539962768555,0.04598470209269299,108.38243821800732,449.8825001716614,822.4790131950396
2026-05-14,FTI,233.0,72.94000244140625,16995.020568847656,0.05715916428445391,68.56862945468573,1018.5299059058798,73.11678621753052
2026-05-14,GOOGL,60.0,400.5899963378906,24035.399780273438,0.08083799364158875,315.76166748442773,5089.699731207773,5183.458374470782
2026-05-14,INTC,21.0,116.82009887695312,2453.2220764160156,0.008250894614928969,90.61956355882728,550.2112416806426,993.8088186678683
2026-05-14,KO,273.0,80.73500061035156,22040.655166625977,0.07412909119483309,78.58763374577629,586.2311540290502,-364.05913822857246
2026-05-14,LRCX,92.0,300.489990234375,27645.0791015625,0.09297838808853395,200.7139007731,9179.400230437299,12070.153576396911
2026-05-14,LUV,188.0,39.82500076293945,7487.100143432617,0.02518128091572183,44.144076164359156,-811.9861754669037,-17.36598889696088
2026-05-14,MU,48.0,794.0999755859375,38116.798828125,0.1281978069628194,376.1179055951956,20063.13935955561,18607.648678660025
2026-05-14,PR,537.0,20.270000457763672,10884.990245819092,0.03660936703047712,19.44563394004957,442.6848200124714,468.1646330815348
2026-05-14,RGLD,39.0,242.42999267578125,9454.769714355469,0.03179912217141654,274.96214666122046,-1268.754005432129,-223.003656539917
2026-05-14,SCCO,74.0,187.6699981689453,13887.579864501953,0.046707943410413004,195.02800684950085,-544.4926423611105,-198.24135422092013
2026-05-14,SNDK,7.0,1406.239990234375,9843.679931640625,0.03310713959402871,1089.4190562855113,2217.746537642046,-4175.261664595168
2026-05-14,THC,56.0,198.75,11130.0,0.0374334056207093,217.6851760319301,-1060.369857788086,2214.7047201919563
2026-05-14,VRT,33.0,373.9800109863281,12341.340362548828,0.04150749323400915,258.09511227077905,3824.201657613119,306.69624318758724
2026-05-14,VZ,215.0,47.19499969482422,10146.924934387207,0.034127040150207136,48.441370376074346,-267.96969646877733,165.3845646519138
