rebalance_date,equity,equity_value_usd,benchmark_equity,benchmark_value_usd,net_return,bench_return,drawdown_before_month,drawdown_after_month,equity_peak,drawdown_circuit_breaker_active,drawdown_circuit_breaker_event,drawdown_circuit_breaker_cash_target,dd_breaker_level,dd_trigger_equity,dd_breaker_multilevel_active,vol_target_active,vol_cash_floor_p6c,recent_returns_len,raw_gross_return,position_risk_return_delta,position_risk_exit_count,position_risk_enabled,position_risk_hard_stop,position_risk_trailing_stop
2019-04-30,0.9919971391539841,99199.71391539842,0.9386810683613055,93868.10683613055,-0.00800286084601583,-0.06131893163869451,0.0,-0.008002860846015869,1.0,False,,0.0,0,1.0,1,0,0.0,1,-0.018356847468200523,0.012853986622184692,5,True,-0.08,-0.15
2019-05-31,1.0374607652749446,103746.07652749446,1.0138863711765451,101388.6371176545,0.04583040043818441,0.08011805644118142,-0.008002860846015869,0.0,1.0374607652749446,False,,0.0,0,1.0,1,0,0.0,2,0.048180845851679074,0.0,1,True,-0.08,-0.15
2019-06-28,1.0416959768201783,104169.59768201783,1.0102027204974469,101020.27204974469,0.004082285988050169,-0.0036331987329345505,0.0,0.0,1.0416959768201783,False,,0.0,0,1.0,1,0,0.0,3,0.006929801980670279,0.0,1,True,-0.08,-0.15
2019-07-31,1.0526668281024052,105266.68281024051,0.9940281763363923,99402.81763363924,0.01053172089203593,-0.01601118650035893,0.0,0.0,1.0526668281024052,False,,0.0,0,1.0,1,0,0.0,4,0.013073990030582494,0.0,0,True,-0.08,-0.15
2019-08-30,1.0439453085508543,104394.53085508544,1.0056503165476978,100565.03165476977,-0.008285166131123086,0.011691962549935209,0.0,-0.00828516613112314,1.0526668281024052,False,,0.0,0,1.0,1,0,0.0,5,-0.02234604435545298,0.01660477322068047,2,True,-0.08,-0.15
2019-09-30,1.0573641172874886,105736.41172874886,1.0489716902723578,104897.16902723578,0.01285393844555089,0.043077969560411544,-0.00828516613112314,0.0,1.0573641172874886,False,,0.0,0,1.0,1,0,0.0,6,0.015353901092827998,0.0,0,True,-0.08,-0.15
2019-10-31,1.0543230032872848,105432.30032872848,1.0650333649139971,106503.3364913997,-0.0028761274857760353,0.01531182851795454,0.0,-0.0028761274857759703,1.0573641172874886,False,,0.0,0,1.0,1,0,0.0,7,-0.00012612748577603498,0.0,1,True,-0.08,-0.15
2019-11-29,1.0851936441563823,108519.36441563824,1.114278678263725,111427.8678263725,0.029280060069680362,0.046238282266118924,-0.0028761274857759703,0.0,1.0851936441563823,False,,0.0,0,1.0,1,0,0.0,8,0.03206329093091591,0.0,2,True,-0.08,-0.15
2019-12-31,1.1525778385099874,115257.78385099873,1.1112243606625787,111122.43606625787,0.06209416606562316,-0.0027410715656029927,0.0,0.0,1.1525778385099874,False,,0.0,0,1.0,1,0,0.0,9,0.06419003835059191,0.0,0,True,-0.08,-0.15
2020-01-31,1.137727730947705,113772.7730947705,1.0569478029777035,105694.78029777035,-0.012884255679842246,-0.048843923519200194,0.0,-0.012884255679842107,1.1525778385099874,False,,0.0,0,1.0,1,0,0.0,10,-0.02467108855607319,0.013734826691359999,5,True,-0.08,-0.15
2020-02-28,1.0733862741589686,107338.62741589686,0.8449822658042982,84498.22658042982,-0.05655259605489372,-0.20054494325665084,-0.012884255679842107,-0.06870821362780576,1.1525778385099874,False,,0.0,0,1.0,1,0,0.0,11,-0.11834420835099875,0.06346043415344102,13,True,-0.08,-0.15
2020-03-31,1.1916692933202735,119166.92933202734,0.9681844766787635,96818.44766787635,0.11019613536048162,0.1458044930176079,-0.06870821362780576,0.0,1.1916692933202735,False,,0.0,0,1.0,1,0,0.0,12,0.11238932359923648,0.0,0,True,-0.08,-0.15
2020-04-30,1.366147035541535,136614.7035541535,1.0451478077661074,104514.78077661074,0.14641456585251533,0.07949242416213598,0.0,0.0,1.366147035541535,False,,0.0,0,1.0,1,0,0.0,12,0.1495674535252284,0.0,0,True,-0.08,-0.15
2020-05-29,1.4217083999639109,142170.8399963911,1.065714002318956,106571.40023189559,0.040670120402048496,0.019677785668236414,0.0,0.0,1.4217083999639109,False,,0.0,0,1.0,1,0,0.0,12,0.04265487714713985,0.0,0,True,-0.08,-0.15
2020-06-30,1.5389591657683335,153895.91657683335,1.1268516586688926,112685.16586688926,0.08247174020171721,0.0573677893101745,0.0,0.0,1.5389591657683335,False,,0.0,0,1.0,1,0,0.0,12,0.08498616360394602,0.0,0,True,-0.08,-0.15
2020-07-31,1.678248243041609,167824.8243041609,1.2062160322601614,120621.60322601614,0.09050862451164177,0.07043018748804863,0.0,0.0,1.678248243041609,False,,0.0,0,1.0,1,0,0.0,12,0.09115470741855808,0.0013719769031877438,1,True,-0.08,-0.15
2020-08-31,1.6349347148074882,163493.47148074882,1.1563311249670802,115633.11249670802,-0.025808773173878443,-0.04135652814994395,0.0,-0.02580877317387839,1.678248243041609,False,,0.0,0,1.0,1,0,0.0,12,-0.0250986716665721,0.001985338496187282,4,True,-0.08,-0.15
2020-09-30,1.6355267424122366,163552.67424122366,1.1321975695430155,113219.75695430156,0.000362110853348703,-0.02087079981069584,-0.02580877317387839,-0.025456007957407534,1.678248243041609,False,,0.0,0,1.0,1,0,0.0,12,0.00014752183770308557,0.0025896370609608836,3,True,-0.08,-0.15
2020-10-30,1.7392724257035115,173927.24257035114,1.2526635496437772,125266.35496437772,0.06343258144361524,0.10640014017110544,-0.025456007957407534,0.0,1.7392724257035115,False,,0.0,0,1.0,1,0,0.0,12,0.06205832484466884,0.004124256598946406,3,True,-0.08,-0.15
2020-11-30,1.8198187185137937,181981.87185137937,1.2657290515882111,126572.90515882112,0.046310337368628496,0.010430176521181167,0.0,0.0,1.8198187185137937,False,,0.0,0,1.0,1,0,0.0,12,0.04940734566453263,0.0,0,True,-0.08,-0.15
2020-12-31,1.8033423721405752,180334.23721405753,1.2907689834560647,129076.89834560647,-0.009053839377294915,0.019783011092645797,0.0,-0.009053839377294877,1.8198187185137937,False,,0.0,0,1.0,1,0,0.0,12,-0.012861128847398763,0.006599715380155469,5,True,-0.08,-0.15
2021-01-29,1.8779978794456784,187799.78794456786,1.3345349946814515,133453.49946814516,0.04139841022893892,0.03390692818493535,-0.009053839377294877,0.0,1.8779978794456784,False,,0.0,0,1.0,1,0,0.0,12,0.03960236673566501,0.004381566543395721,1,True,-0.08,-0.15
2021-02-26,1.8727697215279835,187276.97215279835,1.3749115000359131,137491.15000359132,-0.0027838997982458764,0.03025511171709616,0.0,-0.0027838997982458356,1.8779978794456784,False,,0.0,0,1.0,1,0,0.0,12,-0.007634745893862863,0.007293563662613158,5,True,-0.08,-0.15
2021-03-31,1.9441592046665106,194415.92046665106,1.4340106644594406,143401.06644594404,0.03811973373868982,0.04298397709378654,-0.0027838997982458356,0.0,1.9441592046665106,False,,0.0,0,1.0,1,0,0.0,12,0.0406260176622597,0.0010179880386672335,2,True,-0.08,-0.15
2021-04-30,1.937130875434337,193713.0875434337,1.437218895041608,143721.8895041608,-0.0036150996355153605,0.0022372431821326977,0.0,-0.003615099635515269,1.9441592046665106,False,,0.0,0,1.0,1,0,0.0,12,-0.0024649656156242516,0.001709864959041612,4,True,-0.08,-0.15
2021-05-28,2.056257038064987,205625.70380649873,1.4775440960690627,147754.40960690627,0.06149618703689276,0.02805780049690143,-0.003615099635515269,0.0,2.056257038064987,False,,0.0,0,1.0,1,0,0.0,12,0.06425420041512038,0.0,1,True,-0.08,-0.15
2021-06-30,2.2028882102063405,220288.82102063406,1.500535275145106,150053.52751451058,0.0713097484540837,0.015560401301869975,0.0,0.0,2.2028882102063405,False,,0.0,0,1.0,1,0,0.0,12,0.07294799619855416,0.0006067138271383249,3,True,-0.08,-0.15
2021-07-30,2.3588199104891023,235881.99104891025,1.5473692851255079,154736.92851255077,0.0707851172657354,0.031211535480812236,0.0,0.0,2.3588199104891023,False,,0.0,0,1.0,1,0,0.0,12,0.0720749408953809,0.0014828367275819127,2,True,-0.08,-0.15
2021-08-31,2.2384179869590555,223841.79869590554,1.4902333662821126,149023.33662821125,-0.05104328778752819,-0.03692455278299067,0.0,-0.051043287787528244,2.3588199104891023,False,,0.0,0,1.0,1,0,0.0,12,-0.052815527219804106,0.0042586597698651835,4,True,-0.08,-0.15
2021-09-30,2.4365934294999407,243659.34294999408,1.5780082292140523,157800.82292140523,0.08853370715185849,0.058900078952683455,-0.051043287787528244,0.0,2.4365934294999407,False,,0.0,0,1.0,1,0,0.0,12,0.09107355743332635,0.0,0,True,-0.08,-0.15
2021-10-29,2.4564754771903616,245647.54771903617,1.54358986636933,154358.986636933,0.008159772348438647,-0.0218112695533057,0.0,0.0,2.4564754771903616,False,,0.0,0,1.0,1,0,0.0,12,-0.010666412535441807,0.02181835497517278,5,True,-0.08,-0.15
