date,equity_usd,cash_usd,cash_weight,stock_value_usd,position_count,fill_mode
2019-05-01,99788.2577687335,15091.365262134073,0.15123387861034115,84696.89250659943,5,next_close
2019-05-02,98804.575567348,15091.365262134073,0.15273953838147272,83713.21030521393,5,next_close
2019-05-03,100082.06278620481,15091.365262134073,0.1507899102196987,84990.69752407074,5,next_close
2019-05-06,100160.64900122404,15091.365262134073,0.15067160020049036,85069.28373908997,5,next_close
2019-05-07,98526.92336664915,15091.365262134073,0.15316996356391274,83435.55810451508,5,next_close
2019-05-08,98470.69418726682,15091.365262134073,0.15325742736650197,83379.32892513275,5,next_close
2019-05-09,99250.82380400419,15091.365262134073,0.15205279597412497,84159.45854187012,5,next_close
2019-05-10,100270.66279612303,15091.365262134073,0.1505062880936455,85179.29753398895,5,next_close
2019-05-13,97003.80818377256,15091.365262134073,0.15557497736113268,81912.44292163849,5,next_close
2019-05-14,99126.56123362303,15091.365262134073,0.15224340554461996,84035.19597148895,5,next_close
2019-05-15,99326.14581595182,15091.365262134073,0.1519374897531803,84234.78055381775,5,next_close
2019-05-16,100418.5008326602,15091.365262134073,0.15028470985921893,85327.13557052612,5,next_close
2019-05-17,99434.0875273776,15091.365262134073,0.1517725524255342,84342.72226524353,5,next_close
2019-05-20,97836.25345526457,15091.365262134073,0.1542512589061331,82744.8881931305,5,next_close
2019-05-21,99417.95094786405,15091.365262134073,0.15179718670774217,84326.58568572998,5,next_close
2019-05-22,99630.95029936552,15091.365262134073,0.1514726620270948,84539.58503723145,5,next_close
2019-05-23,98036.04578600645,15091.365262134073,0.15393690291299159,82944.68052387238,5,next_close
2019-05-24,98792.54765234709,15091.365262134073,0.15275813430017904,83701.18239021301,5,next_close
2019-05-28,98016.3400488925,15091.365262134073,0.15396785122364495,82924.97478675842,5,next_close
2019-05-29,97382.94935808897,15091.365262134073,0.15496927708197958,82291.5840959549,5,next_close
2019-05-30,97412.78403864622,15091.365262134073,0.15492181453459877,82321.41877651215,5,next_close
2019-05-31,97063.63541136503,15091.365262134073,0.15547908542859964,81972.27014923096,5,next_close
2019-06-03,94690.26780409574,23006.151097247595,0.24296215050151632,71684.11670684814,8,next_close
2019-06-04,95986.45900435209,23006.151097247595,0.23968121478681156,72980.30790710449,8,next_close
2019-06-05,97224.05053515195,23006.151097247595,0.23663024704910418,74217.89943790436,8,next_close
2019-06-06,97999.73406882047,23006.151097247595,0.23475728088294084,74993.58297157288,8,next_close
2019-06-07,98721.22100062131,23006.151097247595,0.23304159798735474,75715.06990337372,8,next_close
2019-06-10,98954.83366865873,23006.151097247595,0.23249143315506549,75948.68257141113,8,next_close
2019-06-11,98678.98732657194,23006.151097247595,0.2331413375890267,75672.83622932434,8,next_close
2019-06-12,99069.74773688077,23006.151097247595,0.23222175914235296,76063.59663963318,8,next_close
2019-06-13,98878.42141337156,23006.151097247595,0.23267110020970075,75872.27031612396,8,next_close
2019-06-14,98487.7358130908,23006.151097247595,0.23359407044252167,75481.5847158432,8,next_close
2019-06-17,98113.3980597949,23006.151097247595,0.2344853154838911,75107.2469625473,8,next_close
2019-06-18,98551.89058966398,23006.151097247595,0.23344200663828216,75545.73949241638,8,next_close
2019-06-19,98854.2763385272,23006.151097247595,0.23272792993256924,75848.1252412796,8,next_close
2019-06-20,99569.33325953245,23006.151097247595,0.23105659487827354,76563.18216228485,8,next_close
2019-06-21,99106.92622465848,23006.151097247595,0.23213464460694277,76100.77512741089,8,next_close
2019-06-24,98855.33198160886,23006.151097247595,0.23272544470871517,75849.18088436127,8,next_close
2019-06-25,97681.05790228605,23006.151097247595,0.23552315660075562,74674.90680503845,8,next_close
2019-06-26,97671.71349520444,23006.151097247595,0.23554568947310592,74665.56239795685,8,next_close
2019-06-27,97910.05807966947,23006.151097247595,0.2349722954768087,74903.90698242188,8,next_close
2019-06-28,98560.8783091998,23006.151097247595,0.23342071917291518,75554.72721195221,8,next_close
2019-07-01,99266.24077738523,0.8876251101441994,8.941862844738829e-06,99265.35315227509,9,next_close
2019-07-02,100339.54514826536,0.8876251101441994,8.846214210285807e-06,100338.65752315521,9,next_close
2019-07-03,100924.73422945738,0.8876251101441994,8.794921452318515e-06,100923.84660434723,9,next_close
2019-07-05,100558.60342921018,0.8876251101441994,8.826943492399008e-06,100557.71580410004,9,next_close
2019-07-08,99990.18437231779,0.8876251101441994,8.877122446730259e-06,99989.29674720764,9,next_close
2019-07-09,100485.03090227842,0.8876251101441994,8.833406350916227e-06,100484.14327716827,9,next_close
2019-07-10,100863.86347235441,0.8876251101441994,8.800229136448724e-06,100862.97584724426,9,next_close
2019-07-11,101601.35784090757,0.8876251101441994,8.736350861905672e-06,101600.47021579742,9,next_close
2019-07-12,102489.2818311572,0.8876251101441994,8.660662796003292e-06,102488.39420604706,9,next_close
2019-07-15,102433.02573527097,0.8876251101441994,8.665419221708704e-06,102432.13811016083,9,next_close
2019-07-16,101356.76727713346,0.8876251101441994,8.7574331146259e-06,101355.87965202332,9,next_close
2019-07-17,100873.60121668577,0.8876251101441994,8.799379614072656e-06,100872.71359157562,9,next_close
2019-07-18,101587.67200793028,0.8876251101441994,8.737527818089074e-06,101586.78438282013,9,next_close
2019-07-19,100741.72267760038,0.8876251101441994,8.81089866792163e-06,100740.83505249023,9,next_close
2019-07-22,101301.68630064726,0.8876251101441994,8.76219481193896e-06,101300.79867553711,9,next_close
2019-07-23,101028.02694453001,0.8876251101441994,8.785929380087318e-06,101027.13931941986,9,next_close
2019-07-24,101472.14362944364,0.8876251101441994,8.747475695257136e-06,101471.2560043335,9,next_close
2019-07-25,100806.44640387296,0.8876251101441994,8.805241547628814e-06,100805.55877876282,9,next_close
2019-07-26,101558.04340494871,0.8876251101441994,8.74007690956507e-06,101557.15577983856,9,next_close
2019-07-29,101371.92470015287,0.8876251101441994,8.75612367792856e-06,101371.03707504272,9,next_close
2019-07-30,100307.37218703031,0.8876251101441994,8.849051578075025e-06,100306.48456192017,9,next_close
2019-07-31,99049.63401163816,0.8876251101441994,8.96141736414599e-06,99048.74638652802,9,next_close
2019-08-01,98981.9484986329,6.270916845795,6.335414629548953e-05,98975.67758178711,9,next_close
2019-08-02,97646.10037698984,6.270916845795,6.42208631126526e-05,97639.82946014404,9,next_close
2019-08-05,93649.14261522531,6.270916845795,6.696181802283244e-05,93642.87169837952,9,next_close
2019-08-06,95959.37226190805,6.270916845795,6.534970683925886e-05,95953.10134506226,9,next_close
2019-08-07,97157.13392343759,6.270916845795,6.454406992631802e-05,97150.8630065918,9,next_close
2019-08-08,99716.60571184396,6.270916845795,6.288738772272675e-05,99710.33479499817,9,next_close
2019-08-09,99016.72387972116,6.270916845795,6.333189586652541e-05,99010.45296287537,9,next_close
2019-08-12,97175.44116106271,6.270916845795,6.4531910232353e-05,97169.17024421692,9,next_close
2019-08-13,98618.91797914743,6.270916845795,6.358736208321572e-05,98612.64706230164,9,next_close
2019-08-14,95954.19802942514,6.270916845795,6.535323075569839e-05,95947.92711257935,9,next_close
2019-08-15,97220.54952326059,6.270916845795,6.450196873547445e-05,97214.2786064148,9,next_close
2019-08-16,98201.32981577158,6.270916845795,6.385775892810631e-05,98195.05889892578,9,next_close
2019-08-19,99216.14445772409,6.270916845795,6.32046012276463e-05,99209.8735408783,9,next_close
2019-08-20,98931.98849001169,6.270916845795,6.338613972596053e-05,98925.7175731659,9,next_close
2019-08-21,100277.86571970224,6.270916845795,6.253540400753576e-05,100271.59480285645,9,next_close
2019-08-22,99965.15913286447,6.270916845795,6.273102449084561e-05,99958.88821601868,9,next_close
2019-08-23,97046.00906267404,6.270916845795,6.461797766196784e-05,97039.73814582825,9,next_close
2019-08-26,98593.37054910898,6.270916845795,6.360383878621413e-05,98587.09963226318,9,next_close
2019-08-27,98756.87135210275,6.270916845795,6.349853696191925e-05,98750.60043525696,9,next_close
2019-08-28,99452.34514513254,6.270916845795,6.305448943052818e-05,99446.07422828674,9,next_close
2019-08-29,100782.88244333505,6.270916845795,6.222204300736098e-05,100776.61152648926,9,next_close
2019-08-30,100353.47178735971,6.270916845795,6.248828998245849e-05,100347.20087051392,9,next_close
2019-09-03,99478.72761206864,290.12838416337854,0.0029164866814016276,99188.59922790527,10,next_close
2019-09-04,100871.14740805863,290.12838416337854,0.002876227658933124,100581.01902389526,10,next_close
2019-09-05,102098.44982199906,290.12838416337854,0.002841653175627989,101808.3214378357,10,next_close
2019-09-06,102232.51541571855,290.12838416337854,0.0028379266907754327,101942.38703155518,10,next_close
2019-09-09,101230.23052649735,290.12838416337854,0.0028660251256410647,100940.10214233398,10,next_close
2019-09-10,100376.1443944478,290.12838416337854,0.002890411719972646,100086.01601028442,10,next_close
2019-09-11,100385.05128722428,290.12838416337854,0.0028901552615962288,100094.92290306091,10,next_close
2019-09-12,100865.43326621293,290.12838416337854,0.0028763906005107435,100575.30488204956,10,next_close
2019-09-13,100351.45147567033,290.12838416337854,0.0028911229473718037,100061.32309150696,10,next_close
2019-09-16,99919.64861159562,290.12838416337854,0.00290361693815754,99629.52022743225,10,next_close
2019-09-17,100666.81286864518,290.12838416337854,0.0028820658556256446,100376.68448448181,10,next_close
2019-09-18,100333.17941336869,290.12838416337854,0.0028916494609232024,100043.05102920532,10,next_close
2019-09-19,100568.05863051652,290.12838416337854,0.0028848959412580482,100277.93024635315,10,next_close
2019-09-20,100168.8405976796,290.12838416337854,0.002896393553446992,99878.71221351624,10,next_close
2019-09-23,100481.97507720231,290.12838416337854,0.002887367450136874,100191.84669303894,10,next_close
2019-09-24,100230.41213279008,290.12838416337854,0.002894614299091203,99940.28374862671,10,next_close
2019-09-25,100603.27764563798,290.12838416337854,0.0028838860020576887,100313.14926147461,10,next_close
2019-09-26,100800.72858100175,290.12838416337854,0.002878236975541663,100510.60019683838,10,next_close
2019-09-27,99396.62785773515,290.12838416337854,0.0029188956448163894,99106.49947357178,10,next_close
2019-09-30,99264.19389205216,290.12838416337854,0.002922789908301551,98974.0655078888,10,next_close
2019-10-01,99858.7017928052,56.53519925355798,0.0005661519550981317,99802.16659355164,10,next_close
2019-10-02,97888.25638303041,56.53519925355798,0.0005775483325838332,97831.72118377686,10,next_close
2019-10-03,98814.75181493044,56.53519925355798,0.000572133190795666,98758.21661567688,10,next_close
2019-10-04,100398.91208562136,56.53519925355798,0.0005631056958599721,100342.3768863678,10,next_close
2019-10-07,99724.03003606081,56.53519925355798,0.0005669165118288392,99667.49483680725,10,next_close
2019-10-08,98393.81704816103,56.53519925355798,0.0005745808115756458,98337.28184890747,10,next_close
2019-10-09,99661.53345402956,56.53519925355798,0.000567272018542999,99604.998254776,10,next_close
2019-10-10,99902.00559338808,56.53519925355798,0.0005659065493005449,99845.47039413452,10,next_close
2019-10-11,100828.48127087831,56.53519925355798,0.0005607066430136413,100771.94607162476,10,next_close
2019-10-14,100849.36704549074,56.53519925355798,0.0005605905213867758,100792.83184623718,10,next_close
2019-10-15,101803.19925412416,56.53519925355798,0.0005553381393489721,101746.6640548706,10,next_close
2019-10-16,101397.61361035585,56.53519925355798,0.0005575594655590984,101341.0784111023,10,next_close
2019-10-17,101535.1470309186,56.53519925355798,0.0005568042289468727,101478.61183166504,10,next_close
2019-10-18,100723.44639500856,56.53519925355798,0.0005612913504949293,100666.911195755,10,next_close
2019-10-21,101247.55717190981,56.53519925355798,0.0005583858103121044,101191.02197265625,10,next_close
2019-10-22,99565.72429761171,56.53519925355798,0.000567817887655482,99509.18909835815,10,next_close
2019-10-23,99542.4491339612,56.53519925355798,0.0005679506556793135,99485.91393470764,10,next_close
2019-10-24,103483.7447501111,56.53519925355798,0.0005463196117426672,103427.20955085754,10,next_close
2019-10-25,104120.77706822634,56.53519925355798,0.0005429771160516084,104064.24186897278,10,next_close
2019-10-28,104979.29042348146,56.53519925355798,0.0005385366868598337,104922.7552242279,10,next_close
2019-10-29,103884.77378377199,56.53519925355798,0.0005442106402544762,103828.23858451843,10,next_close
2019-10-30,104731.9964991498,56.53519925355798,0.0005398082834601259,104675.46129989624,10,next_close
2019-10-31,104353.36680135012,56.53519925355798,0.000541766892496913,104296.83160209656,10,next_close
2019-11-01,105059.37507931948,17.020133183001235,0.0001620048964706966,105042.35494613647,10,next_close
2019-11-04,104335.99158208132,17.020133183001235,0.00016312811068279793,104318.97144889832,10,next_close
2019-11-05,103631.24986378908,17.020133183001235,0.00016423745931243877,103614.22973060608,10,next_close
2019-11-06,103856.66616360903,17.020133183001235,0.000163880989172027,103839.64603042603,10,next_close
2019-11-07,102986.47595517397,17.020133183001235,0.00016526571110569353,102969.45582199097,10,next_close
2019-11-08,103076.42254559755,17.020133183001235,0.00016512149687259565,103059.40241241455,10,next_close
2019-11-11,103086.99357526064,17.020133183001235,0.00016510456453049395,103069.97344207764,10,next_close
2019-11-12,102983.63918797731,17.020133183001235,0.00016527026348267006,102966.61905479431,10,next_close
2019-11-13,103232.56789128542,17.020133183001235,0.00016487174087275632,103215.54775810242,10,next_close
2019-11-14,103450.94880597353,17.020133183001235,0.00016452370306359576,103433.92867279053,10,next_close
2019-11-15,103919.14912335634,17.020133183001235,0.00016378245324928162,103902.12899017334,10,next_close
2019-11-18,103986.70000760317,17.020133183001235,0.00016367605839743716,103969.67987442017,10,next_close
2019-11-19,104477.6693431592,17.020133183001235,0.0001629068995317864,104460.6492099762,10,next_close
2019-11-20,104014.447867558,17.020133183001235,0.0001636323946522606,103997.427734375,10,next_close
2019-11-21,103160.5313731885,17.020133183001235,0.00016498687004073325,103143.5112400055,10,next_close
