ticker,Name,sector,industry,mktcap,leader_composite,mom_12m,mom_6m,rs_industry_12m,score,portfolio_sleeve_label,in_portfolio
FTI,TECHNIPFMC PLC,Energy,Oil & Gas Equipment & Services,28639215073.69171,1.3447160803174463,1.2056414785772254,0.8670003749542499,0.0,2.444202735734865,future_winner,True
PR,PERMIAN RESOURCES CORP CLASS A,Energy,Oil & Gas E&P,14870745762.029284,1.2517570909227063,0.5519002476368384,0.7397453231468456,0.3485091406317613,2.722900027445025,early_scout,True
MTDR,MATADOR RESOURCES,Energy,Oil & Gas E&P,7951827520.720871,1.2375706155149266,0.2559577563584336,0.4922891656217345,0.0525666493533565,1.6191546482696348,early_scout,False
CTRA,COTERRA ENERGY INC,Energy,Oil & Gas E&P,30960308364.868164,1.1950111892915873,0.2369029235703927,0.5213464400057883,0.0335118165653156,3.2718216530536277,future_winner,False
LNG,CHENIERE ENERGY INC,Energy,Oil & Gas Midstream,59708126350.19684,1.152294541887,0.2222956229203394,0.2319884845426494,0.015594603020643,5.619899459197047,core_compounder,True
TRGP,TARGA RESOURCES CORP,Energy,Oil & Gas Midstream,53493681299.52512,1.1248391330356635,0.2221492932162057,0.5279140180252824,0.0154482733165092,2.8327159540413147,core_compounder,False
DINO,HF SINCLAIR CORP,Energy,Oil & Gas Refining & Marketing,13657272648.124697,1.0543299794754164,0.9008626789484576,0.2027988862952443,0.0,0.9528713478241724,early_scout,False
CHRD,CHORD ENERGY CORP,Energy,Oil & Gas E&P,8541495636.657715,1.0216743947518965,0.3182208744998971,0.4945030059856692,0.1148297674948199,-0.1685540673506652,early_scout,False
LITE,LUMENTUM HOLDINGS INC,Information Technology,Communication Equipment,55140794091.79688,1.0090659011197778,10.55761797102634,3.549514163751841,7.430973038584398,2.9379635219078586,future_winner,False
OKE,ONEOK INC,Energy,Oil & Gas Midstream,51605291020.5,0.9850595319417991,-0.0691157111568997,0.2572493962697648,-0.2758167310565962,2.973706414441175,unassigned,False
ETR,ENTERGY CORP,Utilities,Utilities - Regulated Electric,5330369235.801697,0.9409367171681416,0.3591005108080614,0.2407081881894386,0.2014712770787463,3.9430787057972574,early_scout,True
CVX,CHEVRON CORP,Energy,Oil & Gas Integrated,371002723442.14105,0.8715992977759619,0.2483274840133487,0.3239097024250754,0.0,5.12621021008715,core_compounder,False
CIEN,CIENA CORP,Information Technology,Communication Equipment,61237739815.11231,0.8562581970214448,5.677841271986571,1.8446220316278523,2.5511963395446275,2.840853065654392,future_winner,False
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Oil & Gas E&P,68032368073.833244,0.8418744366834211,0.3039442755844945,0.4385360573901817,0.1005531685794174,3.2372518120832336,unassigned,False
FANG,DIAMONDBACK ENERGY INC,Energy,Oil & Gas E&P,56529462923.21777,0.824480474407176,0.2358127411118635,0.3742403951591238,0.0324216341067864,3.257426033877558,future_winner,False
RGLD,ROYAL GOLD INC,Materials,Gold,22099814198.03253,0.7895022753231005,0.6016633227889892,0.3173937568136256,0.0,2.6783345154238,future_winner,False
UI,UBIQUITI INC,Information Technology,Communication Equipment,50820626957.22839,0.7888441680412089,1.5998791718141103,0.2426207317803093,-1.5267657606278329,0.9604166162306078,future_winner,False
DVN,DEVON ENERGY CORP,Energy,Oil & Gas E&P,32917951011.657715,0.7686216029704379,0.3432449653534248,0.4635966123098669,0.1398538583483477,1.8815279743693063,early_scout,False
EIX,EDISON INTERNATIONAL,Utilities,Utilities - Regulated Electric,32003413980.7522,0.7644745798355662,0.3053361106630188,0.3914312677741083,0.1477068769337038,1.7949884766756294,unassigned,False
WDC,WESTERN DIGITAL CORP,Information Technology,Computer Hardware,103410997924.80469,0.7509867049747752,6.311221768783337,1.3201298719438608,2.647772966296916,2.473188164203259,unassigned,False
ATO,ATMOS ENERGY CORP,Utilities,Utilities - Regulated Gas,29159163300.400085,0.6954165413410248,0.23695253592879,0.1248914596261796,0.0,2.549237030125622,future_winner,False
XOM,EXXON MOBIL CORP,Energy,Oil & Gas Integrated,711149588745.1172,0.6722558070528089,0.4239762334936621,0.4906763600072845,0.0,3.635071511277812,core_compounder,False
NI,NISOURCE INC,Utilities,Utilities - Regulated Gas,22147431043.32312,0.6715826916534707,0.1919172609067583,0.1086066856938725,0.0,3.031828707180258,future_winner,False
ED,CONSOLIDATED EDISON INC,Utilities,Utilities - Regulated Electric,40686550216.674805,0.6659178719302998,0.0808175445402539,0.1928760135406086,-0.076811689189061,2.097329123568134,unassigned,False
AM,ANTERO MIDSTREAM CORP,Energy,Oil & Gas Midstream,10713756180.83954,0.6626241428717402,0.2885768831947033,0.2037358664841559,0.0818758632950068,2.27779891029811,early_scout,False
SLB,SLB NV,Energy,Oil & Gas Equipment & Services,71036058258.05664,0.6565241259588855,0.2159671108601437,0.4795997203512072,0.0,2.372802210272712,unassigned,False
JNJ,JOHNSON & JOHNSON,Health Care,Drug Manufacturers - General,580241063769.3787,0.638098820432302,0.5942577199631485,0.3108352221853587,0.0,4.615152350820377,core_compounder,True
SNDK,SANDISK CORP,Information Technology,Computer Hardware,107245240722.65623,0.6292673269591623,14.200965653799283,4.837200003589146,10.537516851312864,2.278452032972336,unassigned,False
OGE,OGE ENERGY CORP,Utilities,Utilities - Regulated Electric,10026251185.310516,0.6135640489276771,0.0987509345723076,0.099911681273668,-0.0588782991570073,1.766653668267459,unassigned,False
GEV,GE VERNOVA INC,Industrials,Specialty Industrial Machinery,241864955866.8545,0.6091457178110019,1.7207234415101715,0.4828337938966012,1.4781977351735056,4.737323016934387,future_winner,True
