ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
DDOG,-44256.071578979485,-0.4374872286074369
BLD,-23060.939666748047,-0.22796570558424503
TMUS,-16423.486785888672,-0.16235209004501927
MA,-15132.496948242188,-0.14959018990156897
FANG,-14834.998741149902,-0.14664931283108124
ORLY,-14611.442329406738,-0.14443937707489013
MLI,-11807.731678009033,-0.11672368612143162
XPO,-11100.67052078247,-0.10973413157909082
AMD,-9004.860061645508,-0.08901628933188581
NVDA,-8677.491262435913,-0.08578013068542394
STLD,-8472.412582397461,-0.08375285397116834
LOPE,-6702.820098876953,-0.06625979406415998
NET,-6506.238357543945,-0.06431651265344727
BILL,-3963.0500793456995,-0.0391761793170304
JBL,-3898.3610687255878,-0.038536705116817116
ON,-3756.4794921875,-0.03713415456283653
RKLB,-2886.7198486328125,-0.028536266805576478
WCC,-2878.123748779297,-0.02845129125832222
DXCM,-2775.125,-0.027433111479914347
ONTO,-2447.899444580078,-0.024198368849974578
TSLA,-1486.2396240234375,-0.014692014699049934
MSI,-878.759033203125,-0.008686849969584463
TXRH,-788.3488693237341,-0.007793112893012901
PLNT,-774.4801025390589,-0.007656015131545245
BRKR,-730.1629028320317,-0.007217923629346063
CTAS,-718.0121078491211,-0.0070978086387291466
DAL,-594.0164260864258,-0.005872066605190476
RGLD,-477.0072097778325,-0.004715388302349684
CHE,-371.5734863281232,-0.0036731379211458345
CW,-205.83187866210938,-0.002034722354293176
LOW,-162.41348266601608,-0.0016055158509321044
DPZ,-140.72555541992188,-0.0013911228683059617
AFG,-59.670684814453125,-0.0005898662397541462
RRX,-40.21105957031244,-0.00039750082605931553
CARR,63.902923583984375,0.0006317034463571519
FTNT,215.0493621826172,0.0021258405031990323
FDS,271.638671875,0.0026852462385668213
ANET,1250.9399681091309,0.012365992739000329
MOS,2283.827808380127,0.02257646155334282
INTU,3294.4124755859366,0.032566455458247684
CPRT,4479.640232086185,0.04428285928624105
BKR,5292.256307601929,0.05231586226448308
CHRW,9957.244964599611,0.09843095757729001
AVGO,11763.993244171143,0.11629131592858204
LPX,13996.59774017334,0.13836141656526912
SQM,15736.191947937012,0.15555793269747725
BLDR,18216.799697875977,0.18007963494224646
LRCX,27058.66360473633,0.26748464849916054
ACLS,32205.02069091797,0.31835824434103
