ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,current_shares,current_weight,target_weight,target_value_usd,current_value_usd,trade_value_delta_usd,order_type,time_in_force,reason,status,estimated_cash_after_usd,client_order_id,idempotency_key,auto_trade_allowed,paper_only,approval_required,crisis_state,paper_action_types,approval_status
ALAB,SELL,29.0,406.4200134277344,405.4039633941651,11786.180389404297,29.46545097351074,11756.714938430789,119.0,0.0644238588138091,0.0482211401789317,36200.35153410795,48363.98159790039,-12163.630063792443,limit,day,target_rebalance,ready,94540.43228001028,r1k-M-20260702-S-ALAB-4ac75ca5ae9d,4ac75ca5ae9d8d9943e6c816d82772a594e87d34f32b893283fd5911435279c9,False,True,True,GREEN,no_op,pending_user_approval
RVMD,SELL,53.0,189.2400054931641,188.7669054794312,10029.720291137695,25.07430072784424,10004.645990409852,304.0,0.076632187464255,0.0630953376034442,47366.640293707416,57528.96166992188,-10162.32137621446,limit,day,target_rebalance,ready,104545.07827042013,r1k-M-20260702-S-RVMD-e55a3b8fe077,e55a3b8fe077ff9d6c5faa61372dd412853822baa03c7472ccb6992765d889bd,False,True,True,GREEN,no_op,pending_user_approval
MRVL,SELL,26.0,245.2899932861328,244.67676830291748,6377.539825439453,15.943849563598633,6361.595975875855,174.0,0.0568530497912316,0.0482211401789317,36200.35153410795,42680.45883178711,-6480.107297679162,limit,day,target_rebalance,ready,110906.67424629597,r1k-M-20260702-S-MRVL-06e8b0fc77fc,06e8b0fc77fca9bfc85ebea563a4aa84e35444cdfd82cb2d299e8c20accd84bc,False,True,True,GREEN,no_op,pending_user_approval
UMC,SELL,188.0,24.540000915527344,24.47865091323853,4613.520172119141,11.533800430297852,4601.986371688843,1664.0,0.0543941987279216,0.0482211401789317,36200.35153410795,40834.5615234375,-4634.209989329553,limit,day,target_rebalance,ready,115508.6606179848,r1k-M-20260702-S-UMC-cf90b03cd1fc,cf90b03cd1fcd1bbea58da63aab5d9d1f8f6393905a6d5c273a6d81f6a62fc06,False,True,True,GREEN,no_op,pending_user_approval
SNDK,SELL,2.0,1745.0,1740.6375,3490.0,8.725,3481.275,45.0,0.1046002282321185,0.0989732045391831,74300.70677468108,78525.0,-4224.293225318921,limit,day,target_rebalance,ready,118989.9356179848,r1k-M-20260702-S-SNDK-1ae112568e15,1ae112568e1596300fc36218d9dbce0efc71b0d7209abf5c11288fd8272e86ab,False,True,True,GREEN,no_op,pending_user_approval
AMD,SELL,4.0,517.8200073242188,516.5254573059083,2071.280029296875,5.178200073242188,2066.1018292236326,74.0,0.0510428873638461,0.0482211401789317,36200.35153410795,38318.68054199219,-2118.32900788424,limit,day,target_rebalance,ready,121056.03744720842,r1k-M-20260702-S-AMD-0517a12aed31,0517a12aed31eeed7469b02bf5d9fd435d3f3b042164bb0d152ec9655a2d7079,False,True,True,GREEN,no_op,pending_user_approval
WDC,SELL,3.0,539.0,537.6525,1617.0,4.0425,1612.9575,88.0,0.0631824008342036,0.0605966485450584,45490.83598977859,47432.0,-1941.164010221408,limit,day,target_rebalance,ready,122668.99494720844,r1k-M-20260702-S-WDC-d9893d3e36ae,d9893d3e36ae9262ce7609e7fdad148589a1ff09d56624bc73d670efaabba227,False,True,True,GREEN,no_op,pending_user_approval
CIEN,BUY,27.0,422.4599914550781,423.5161414337158,11406.41976928711,28.516049423217773,-11434.935818710328,103.0,0.0579625518890725,0.0736186208821332,55266.63089052829,43513.37911987305,11753.251770655246,limit,day,target_rebalance,ready,111234.0591284981,r1k-M-20260702-B-CIEN-5b19e76c0e5d,5b19e76c0e5db3dfc6148a3d739c3cdf655771f3d6e9fe1bfe3d90aecc9d52eb,False,True,True,GREEN,no_op,pending_user_approval
NXT,BUY,100.0,112.83999633789062,113.12209632873534,11283.999633789062,28.209999084472656,-11312.209632873535,447.0,0.0671885507632306,0.0822326743506752,61733.33330647541,50439.47836303711,11293.854943438302,limit,day,target_rebalance,ready,99921.84949562456,r1k-M-20260702-B-NXT-80c74ecdb91c,80c74ecdb91cc6ade6710ec2605784b91eaed308073db1e4c4bc3d4ad0912c93,False,True,True,GREEN,no_op,pending_user_approval
ON,BUY,80.0,91.22000122070312,91.44805122375487,7297.60009765625,18.244000244140626,-7315.844097900391,316.0,0.0383974022446127,0.0482211401789317,36200.35153410795,28825.520385742188,7374.83114836576,limit,day,target_rebalance,ready,92606.00539772418,r1k-M-20260702-B-ON-c62574c8f383,c62574c8f383069e691a0d44d1002bc517bfb78fdad5190fb04d7d4c2639b3ba,False,True,True,GREEN,no_op,pending_user_approval
