portfolio,official_metric_mode,status,valid_for_production,target_pass,cagr,cagr_target,cagr_gap_pp,max_dd,max_dd_target,max_dd_gap_pp,sharpe,start_date,end_date,years,ending_capital_usd,avg_cash_weight,latest_cash_weight,latest_position_count,broker_trade_count,total_fees_usd,order_preview_count,order_preview_buy_count,order_preview_sell_count,journal_trade_count,journal_win_rate,journal_avg_realized_return,journal_avg_holding_days,journal_profit_factor,legacy_cagr,legacy_max_dd,legacy_sharpe
main,broker_ledger_next_close,completed,True,False,0.22904856234936677,0.3,7.0951,-0.29951107086090645,-0.15,14.9511,1.0901035233482108,2019-05-01,2026-05-27,7.0718685831622174,429952.5233847499,0.056698898412911244,0.23626181788068087,41,2817,40441.35979872942,45,15,30,0,,,,,0.2950340022511462,-0.1694495759545973,1.728032562590842
concentrated,broker_ledger_next_close,completed,True,False,0.3285113881461643,0.5,17.1489,-0.378375193551868,-0.18,19.8375,1.1328127390437894,2019-05-01,2026-05-27,7.0718685831622174,745457.7927709355,0.0005481129241437693,7.850278156192659e-05,4,532,71873.0801705587,8,4,4,0,,,,,0.4603239389309919,-0.14765535169590382,1.7344607756121346
