ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,current_shares,current_weight,target_weight,target_value_usd,current_value_usd,trade_value_delta_usd,order_type,time_in_force,reason,status,estimated_cash_after_usd,client_order_id,idempotency_key
ALAB,SELL,29.0,406.4200134277344,405.4039633941651,11786.180389404297,29.46545097351074,11756.714938430787,119.0,0.0644238588138091,0.0482211401789317,36200.35153410795,48363.98159790039,-12163.630063792443,limit,day,target_rebalance,ready,94540.43228001027,r1k-M-20260702-S-ALAB-4ac75ca5ae9d,4ac75ca5ae9d8d9943e6c816d82772a594e87d34f32b893283fd5911435279c9
RVMD,SELL,53.0,189.24000549316406,188.76690547943116,10029.720291137695,25.07430072784424,10004.645990409852,304.0,0.07663218746425501,0.0630953376034442,47366.640293707416,57528.961669921875,-10162.321376214459,limit,day,target_rebalance,ready,104545.07827042011,r1k-M-20260702-S-RVMD-e55a3b8fe077,e55a3b8fe077ff9d6c5faa61372dd412853822baa03c7472ccb6992765d889bd
MRVL,SELL,26.0,245.2899932861328,244.67676830291748,6377.539825439453,15.943849563598633,6361.5959758758545,174.0,0.056853049791231694,0.0482211401789317,36200.35153410795,42680.45883178711,-6480.107297679162,limit,day,target_rebalance,ready,110906.67424629597,r1k-M-20260702-S-MRVL-06e8b0fc77fc,06e8b0fc77fca9bfc85ebea563a4aa84e35444cdfd82cb2d299e8c20accd84bc
UMC,SELL,188.0,24.540000915527344,24.47865091323853,4613.520172119141,11.533800430297852,4601.986371688843,1664.0,0.05439419872792164,0.0482211401789317,36200.35153410795,40834.5615234375,-4634.209989329553,limit,day,target_rebalance,ready,115508.6606179848,r1k-M-20260702-S-UMC-cf90b03cd1fc,cf90b03cd1fcd1bbea58da63aab5d9d1f8f6393905a6d5c273a6d81f6a62fc06
SNDK,SELL,2.0,1745.0,1740.6375,3490.0,8.725,3481.275,45.0,0.1046002282321185,0.0989732045391831,74300.70677468108,78525.0,-4224.293225318921,limit,day,target_rebalance,ready,118989.9356179848,r1k-M-20260702-S-SNDK-1ae112568e15,1ae112568e1596300fc36218d9dbce0efc71b0d7209abf5c11288fd8272e86ab
AMD,SELL,4.0,517.8200073242188,516.5254573059083,2071.280029296875,5.178200073242188,2066.1018292236326,74.0,0.05104288736384617,0.0482211401789317,36200.35153410795,38318.68054199219,-2118.32900788424,limit,day,target_rebalance,ready,121056.03744720842,r1k-M-20260702-S-AMD-0517a12aed31,0517a12aed31eeed7469b02bf5d9fd435d3f3b042164bb0d152ec9655a2d7079
WDC,SELL,3.0,539.0,537.6525,1617.0,4.0425,1612.9575,88.0,0.06318240083420368,0.0605966485450584,45490.83598977859,47432.0,-1941.1640102214078,limit,day,target_rebalance,ready,122668.99494720843,r1k-M-20260702-S-WDC-d9893d3e36ae,d9893d3e36ae9262ce7609e7fdad148589a1ff09d56624bc73d670efaabba227
CIEN,BUY,27.0,422.4599914550781,423.5161414337158,11406.41976928711,28.516049423217773,-11434.935818710328,103.0,0.057962551889072525,0.0736186208821332,55266.63089052829,43513.37911987305,11753.251770655246,limit,day,target_rebalance,ready,111234.0591284981,r1k-M-20260702-B-CIEN-5b19e76c0e5d,5b19e76c0e5db3dfc6148a3d739c3cdf655771f3d6e9fe1bfe3d90aecc9d52eb
NXT,BUY,100.0,112.83999633789062,113.12209632873534,11283.999633789062,28.209999084472656,-11312.209632873535,447.0,0.06718855076323062,0.0822326743506752,61733.33330647541,50439.47836303711,11293.854943438302,limit,day,target_rebalance,ready,99921.84949562457,r1k-M-20260702-B-NXT-80c74ecdb91c,80c74ecdb91cc6ade6710ec2605784b91eaed308073db1e4c4bc3d4ad0912c93
ON,BUY,80.0,91.22000122070312,91.44805122375487,7297.60009765625,18.244000244140626,-7315.844097900391,316.0,0.03839740224461276,0.0482211401789317,36200.35153410795,28825.520385742188,7374.83114836576,limit,day,target_rebalance,ready,92606.00539772418,r1k-M-20260702-B-ON-c62574c8f383,c62574c8f383069e691a0d44d1002bc517bfb78fdad5190fb04d7d4c2639b3ba
QCOM,BUY,39.0,176.25,176.69062499999998,6873.75,17.184375,-6890.934375,166.0,0.03897282620186191,0.0482211401789317,36200.35153410795,29257.5,6942.851534107947,limit,day,target_rebalance,ready,85715.07102272418,r1k-M-20260702-B-QCOM-f97eb4065ad9,f97eb4065ad93842f9d70c636e330b1d5dc05d3271f0ae72869e5b72e170fb89
HPE,BUY,83.0,41.22999954223633,41.33307454109192,3422.0899620056152,8.555224905014038,-3430.6451869106295,1034.0,0.05678825918421413,0.061348850735111,46055.52574210692,42631.81952667236,3423.706215434555,limit,day,target_rebalance,ready,82284.42583581356,r1k-M-20260702-B-HPE-83880d49de49,83880d49de49716855a3ae0a5c5fc844aa155d59acc7c82b234bebca3df5638f
FLEX,BUY,17.0,136.86000061035156,137.20215061187744,2326.6200103759766,5.816550025939941,-2332.4365604019167,610.0,0.11120672719275766,0.1143902775489209,85874.54058509265,83484.60037231445,2389.940212778194,limit,day,target_rebalance,ready,79951.98927541164,r1k-M-20260702-B-FLEX-d0ea099243db,d0ea099243db9cd7268ee715ae7ce66776054b9d7a37789489fdfd552627f7f4
