ticker,shares,price,price_date,market_value_usd,cost_basis,current_weight
ALAB,119.0,406.4200134277344,2026-07-02,48363.98159790039,320.0899963378906,0.0644238588138091
AMD,74.0,517.8200073242188,2026-07-02,38318.68054199219,510.1300048828125,0.05104288736384617
CIEN,103.0,422.4599914550781,2026-07-02,43513.37911987305,368.76287875726587,0.057962551889072525
FLEX,610.0,136.86000061035156,2026-07-02,83484.60037231445,148.00999450683594,0.11120672719275766
HPE,1034.0,41.22999954223633,2026-07-02,42631.81952667236,46.862892150878906,0.05678825918421413
MRVL,174.0,245.2899932861328,2026-07-02,42680.45883178711,164.9499969482422,0.056853049791231694
MU,37.0,975.5599975585938,2026-07-02,36095.71990966797,484.2120444185821,0.04808176428849274
NXT,447.0,112.83999633789062,2026-07-02,50439.47836303711,145.02000427246094,0.06718855076323062
ON,316.0,91.22000122070312,2026-07-02,28825.520385742188,103.02999877929688,0.03839740224461276
QCOM,166.0,176.25,2026-07-02,29257.5,228.14735412597656,0.03897282620186191
RVMD,304.0,189.24000549316406,2026-07-02,57528.961669921875,163.67999267578125,0.07663218746425501
SNDK,45.0,1745.0,2026-07-02,78525.0,727.6529549991383,0.1046002282321185
UMC,1664.0,24.540000915527344,2026-07-02,40834.5615234375,22.889999389648438,0.05439419872792164
WDC,88.0,539.0,2026-07-02,47432.0,320.96348500007633,0.06318240083420368
