portfolio,ticker,target_weight,current_weight,current_position_exists,target_only_new_buy,reference_price,reference_price_date,price_source,price_status,price_lag_days,max_stale_days,stale_price,missing_price_reason
,FLEX,0.1143902775489209,0.11120672719275766,True,False,136.86000061035156,2026-07-02,price_cache,ok,0,5,False,
,CASH,0.1081964045429515,0.0,False,False,1.0,2026-07-02,cash_par,ok,0,5,False,
,SNDK,0.0989732045391831,0.1046002282321185,True,False,1745.0,2026-07-02,price_cache,ok,0,5,False,
,NXT,0.0822326743506752,0.06718855076323062,True,False,112.83999633789062,2026-07-02,price_cache,ok,0,5,False,
,CIEN,0.0736186208821332,0.057962551889072525,True,False,422.4599914550781,2026-07-02,price_cache,ok,0,5,False,
,RVMD,0.0630953376034442,0.07663218746425501,True,False,189.24000549316406,2026-07-02,price_cache,ok,0,5,False,
,HPE,0.061348850735111,0.05678825918421413,True,False,41.22999954223633,2026-07-02,price_cache,ok,0,5,False,
,WDC,0.0605966485450584,0.06318240083420368,True,False,539.0,2026-07-02,price_cache,ok,0,5,False,
,MRVL,0.0482211401789317,0.056853049791231694,True,False,245.2899932861328,2026-07-02,price_cache,ok,0,5,False,
,ALAB,0.0482211401789317,0.0644238588138091,True,False,406.4200134277344,2026-07-02,price_cache,ok,0,5,False,
,AMD,0.0482211401789317,0.05104288736384617,True,False,517.8200073242188,2026-07-02,price_cache,ok,0,5,False,
,QCOM,0.0482211401789317,0.03897282620186191,True,False,176.25,2026-07-02,price_cache,ok,0,5,False,
,ON,0.0482211401789317,0.03839740224461276,True,False,91.22000122070312,2026-07-02,price_cache,ok,0,5,False,
,MU,0.0482211401789317,0.04808176428849274,True,False,975.5599975585938,2026-07-02,price_cache,ok,0,5,False,
,UMC,0.0482211401789317,0.05439419872792164,True,False,24.540000915527344,2026-07-02,price_cache,ok,0,5,False,
