ticker,target_weight,Name,sector,portfolio_sleeve_label
FLEX,0.1143902775489209,FLEX LTD,Information Technology,future_winner
CASH,0.1081964045429515,Cash,Cash,
SNDK,0.0989732045391831,SANDISK CORP,Information Technology,future_winner
NXT,0.0822326743506752,Nextracker,Industrials,future_winner
CIEN,0.0736186208821332,CIENA CORP,Information Technology,future_winner
RVMD,0.0630953376034442,REVOLUTION MEDICINES INC,Health Care,early_scout
HPE,0.061348850735111,HEWLETT PACKARD ENTERPRISE,Information Technology,unassigned
WDC,0.0605966485450584,WESTERN DIGITAL CORP,Information Technology,future_winner
MRVL,0.0482211401789317,MARVELL TECHNOLOGY INC,Information Technology,future_winner
ALAB,0.0482211401789317,ASTERA LABS INC,Information Technology,future_winner
AMD,0.0482211401789317,ADVANCED MICRO DEVICES INC,Information Technology,future_winner
QCOM,0.0482211401789317,QUALCOMM INC,Information Technology,future_winner
ON,0.0482211401789317,ON SEMICONDUCTOR CORP,Information Technology,early_scout
MU,0.0482211401789317,MICRON TECHNOLOGY INC,Information Technology,future_winner
UMC,0.0482211401789317,United Microelectronics,Semiconductors,future_winner
