portfolio,rejection_reason,binding_constraint,count
concentrated,candidate_gate,candidate_gate,844
concentrated,cash,cash_binding,822
concentrated,cap_or_replacement,cap_binding,293
main,candidate_gate,candidate_gate,778
main,cash,cash_binding,663
main,cap_or_replacement,cap_binding,341
