portfolio,mode,status,cagr,max_dd,sharpe,delta_cagr_pp_vs_broker_cash,delta_mdd_pp_vs_broker_cash,average_reserve_weight,latest_reserve_weight,reserve_return_contribution_usd_vs_broker_cash,cash_interest_accrued_usd,trade_count,reserve_trade_count,gross_traded_usd,reserve_turnover_usd,fees_usd,reserve_fees_usd,stress_2020_mdd,stress_2022_mdd,double_count_check,short_history_blocked,adoption_allowed_by_mdd_gate,production_enabled,live_trading_enabled
main,BROKER_CASH_OR_MMF,completed,0.3353522691734745,-0.256526842052752,1.2505731508296258,0.0,0.0,0.2929023681643733,0.1069250093560225,0.0,,1625.0,0.0,16779808.439973757,0.0,41949.52109993439,0.0,-0.22401387103602066,-0.13999563092449152,PASS,False,True,False,False
main,DGS3MO_CARRY,completed,0.3440322188069127,-0.25362940173158566,1.2757089748853234,0.8679949633438211,0.28974403211663446,0.2930746029966048,0.10633891424325585,36720.06665701256,13718.140987429895,1625.0,0.0,17168979.133755714,0.0,42922.447834389284,0.0,-0.22374358474633693,-0.13673897859844886,PASS,False,True,False,False
main,BIL_TOTAL_RETURN,completed,0.33796509043576384,-0.2583775843678293,1.260588064793341,0.26128212622893443,-0.1850742315077314,0.2928653679309166,0.1075626610018921,15325.325172572397,,1711.0,85.0,20190948.441839777,3312484.6982421875,50477.37110459944,8281.21174560547,-0.22385065218984668,-0.14084847479405516,PASS,False,False,False,False
main,SGOV_TOTAL_RETURN,BLOCKED_SHORT_HISTORY,,,,,,,,,,,,,,,,,,NOT_APPLICABLE,True,False,False,False
concentrated,BROKER_CASH_OR_MMF,completed,0.47689756959903273,-0.23221642590645364,1.4677426275787013,0.0,0.0,0.40963796845642797,0.16350143188243912,0.0,,729.0,0.0,24139011.80454003,0.0,60347.529511350076,0.0,-0.2086168833399844,-0.1069825671365201,PASS,False,True,False,False
concentrated,DGS3MO_CARRY,completed,0.4909680440544679,-0.22955985434861514,1.5001888936072352,1.407047445543519,0.2656571557838494,0.40978613830140975,0.1639553579537063,111097.99597472069,26683.372472668292,730.0,0.0,25105632.751390327,0.0,62764.081878475816,0.0,-0.20839499288598906,-0.0961183298201338,PASS,False,True,False,False
concentrated,BIL_TOTAL_RETURN,completed,0.478699510423793,-0.23054904097588513,1.475969873924293,0.1801940824760262,0.1667384930568505,0.4094885618958918,0.16381561063395778,25976.494249294745,,812.0,85.0,30869461.48596943,6636814.0835876465,77173.65371492357,16592.03520896912,-0.20886180060746296,-0.1009286011503413,PASS,False,True,False,False
concentrated,SGOV_TOTAL_RETURN,BLOCKED_SHORT_HISTORY,,,,,,,,,,,,,,,,,,NOT_APPLICABLE,True,False,False,False
