ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
AMD,-10489.500625610352,-0.10464360761620786
PENN,-7423.359670162201,-0.07405568332031398
NOW,-7180.007743835449,-0.07162799639792503
STM,-6127.811465263367,-0.06113125127725591
PCTY,-5640.38981628418,-0.056268716672425265
FTNT,-5398.200051307678,-0.05385262351037467
PAYC,-5013.379089355469,-0.05001363677665916
QRVO,-4867.01993560791,-0.04855355298407074
SHOP,-4586.514999389648,-0.04575522639754411
TSLA,-4527.591751098633,-0.04516740611002888
DXCM,-4054.629722595215,-0.04044912116067291
SE,-2687.520206451416,-0.026810791093133463
RNG,-1944.3337860107422,-0.019396738609413558
PODD,-515.0000000000002,-0.005137657153169891
MA,-456.333251953125,-0.004552395720633495
UI,-439.4830627441406,-0.004384297671853291
