date,SPY_ret_pct,OLD_정석_ret_pct,ML_pred_ret_pct,T5_turn_ret_pct,Hybrid_ret_pct,n_old_valid,n_ml_valid,n_t5_valid,n_hybrid_valid
2024-04-30,2.4604948437438656,10.441782924303768,14.056968829295434,3.8437589352599466,14.056968829295434,6,3,12,3
2024-05-31,4.135014638066625,-8.623566158140928,-9.154484459628618,2.499471528866864,-9.154484459628618,7,5,12,5
2024-07-31,3.9999999999999813,10.52772001500019,2.055208762533672,13.254779991428856,2.055208762533672,3,2,12,2
2024-09-30,1.4943916566048987,3.4702732290388894,-1.962342495070941,-0.7005325223806,-1.962342495070941,2,12,12,12
2024-10-31,3.8861398941397507,0.2428785910908393,14.150996017447392,3.3973882138705114,14.150996017447392,2,2,12,2
2024-12-31,2.859474346333002,2.710243871720997,0.7975381695852491,9.131302885357773,0.7975381695852491,4,6,12,6
2025-01-31,-3.3039137908237537,-4.018730293037913,-13.316709610774856,-13.909664940787478,-13.316709610774856,3,7,12,7
2025-02-28,-5.023502264763691,-10.042803875317352,-4.203787789541971,-9.164304973967239,-4.203787789541971,5,11,12,11
2025-03-31,-0.24115466292335963,4.125725532239492,12.283536431582505,-2.9785028074045408,12.283536431582505,6,8,12,8
2025-04-30,6.326670515225841,25.02920898401756,25.5172300866753,3.22254614330564,25.5172300866753,3,6,12,6
2025-06-30,3.179327055991954,0.4685265014724771,-0.6669812099534657,9.015894532956958,-0.6669812099534657,2,12,12,12
2025-07-31,1.6691359581376242,0.4733856021090832,14.49085525022832,3.1659574129248362,14.49085525022832,2,3,12,3
2025-09-30,2.433401639344268,5.251339383772494,-0.7162015512035212,1.02274694594722,-0.7162015512035212,3,7,12,7
2025-10-31,0.5236603268464091,3.580175322385985,-0.17360018101333097,-2.303342933162725,-0.17360018101333097,3,4,12,4
2025-12-31,0.7219691125311289,-5.732995769865557,10.703541583663338,2.459996760139797,10.703541583663338,3,6,12,6
