ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
NET,65609.5,0.2921903690571042,0.0,0.0,-65609.5
DDOG,47840.60153198242,0.213056996586528,0.0,0.0,-47840.60153198242
DXCM,22694.349060058597,0.1010687511316084,0.0,0.0,-22694.349060058597
PCTY,18975.59912109375,0.0845073855199635,0.0,0.0,-18975.59912109375
TSLA,15349.31964111328,0.0683578349280568,0.0,0.0,-15349.31964111328
