signal,split,status,row_count,spearman,low_quantile_count,high_quantile_count,low_quantile_mean,high_quantile_mean,high_minus_low,high_quantile_positive_rate
actual_results_score,full,ok,47435,0.016841657692803144,9487.0,9487.0,0.011119184949687319,0.014529134934297708,0.0034099499846103887,0.5566564772847054
actual_results_score,is,ok,32992,0.018453222243474114,6599.0,6599.0,0.011271664153007059,0.014835355227809217,0.0035636910748021583,0.5659948477041976
actual_results_score,oos,ok,14443,0.01000544082431877,2889.0,2889.0,0.010977351119242331,0.01333092335363709,0.0023535722343947588,0.5368639667705088
eps_revision_score,full,insufficient_quantiles,47435,,,,,,,
eps_revision_score,is,insufficient_quantiles,32992,,,,,,,
eps_revision_score,oos,insufficient_quantiles,14443,,,,,,,
sales_growth_yoy,full,ok,35468,-0.008404647644469155,22673.0,7089.0,0.01189682520102585,0.012261591635674429,0.0003647664346485783,0.5332204824375794
sales_growth_yoy,is,ok,24756,-0.01394837940874096,15785.0,4951.0,0.01326969524866475,0.010760841859687622,-0.0025088533889771284,0.5314077964047668
sales_growth_yoy,oos,ok,10712,0.004131909538805643,6888.0,2143.0,0.008750664675186709,0.014223996881762683,0.005473332206575974,0.5347643490433971
eps_growth_yoy,full,ok,30078,0.0028260045520953634,25829.0,4249.0,0.011738012375836177,0.015059656086322992,0.0033216437104868143,0.5657801835726053
eps_growth_yoy,is,ok,20693,-0.004502433478256914,17672.0,3021.0,0.013256931228713667,0.012474102102042847,-0.0007828291266708202,0.5614035087719298
eps_growth_yoy,oos,ok,9385,0.022372047522029155,8157.0,1228.0,0.008447300843648977,0.021420371547650616,0.01297307070400164,0.5765472312703583
op_income_growth_yoy,full,ok,2446,-0.049344183684732014,491.0,486.0,0.01466906882550626,0.005335503049637415,-0.009333565775868843,0.4711934156378601
op_income_growth_yoy,is,ok,1651,-0.05917855200532004,333.0,330.0,0.012235441341122985,-0.0008407269801390693,-0.013076168321262054,0.46060606060606063
op_income_growth_yoy,oos,ok,795,-0.021606267729490793,160.0,158.0,0.013399224693722508,0.01739346850207663,0.003994243808354121,0.5126582278481012
ocf_growth_yoy,full,ok,2766,-0.01362154002813415,554.0,553.0,0.01153318369024093,0.010621139811543,-0.0009120438786979299,0.515370705244123
ocf_growth_yoy,is,ok,1866,-0.04291834677219966,374.0,369.0,0.01798786419961952,0.0037367960947335384,-0.014251068104885984,0.4959349593495935
ocf_growth_yoy,oos,ok,900,0.051879271073663524,181.0,180.0,-0.002022525367605166,0.023770114697368675,0.02579264006497384,0.5611111111111111
gross_margins,full,insufficient_rows,0,,,,,,,
gross_margins,is,insufficient_rows,0,,,,,,,
gross_margins,oos,insufficient_rows,0,,,,,,,
operating_margins,full,insufficient_rows,0,,,,,,,
operating_margins,is,insufficient_rows,0,,,,,,,
operating_margins,oos,insufficient_rows,0,,,,,,,
rev_growth_accel_4q,full,ok,24358,0.001146410780433731,23283.0,1075.0,0.012196237996918413,0.013315903520954997,0.0011196655240365838,0.5637209302325581
rev_growth_accel_4q,is,ok,16583,-0.0033232636728162588,15732.0,851.0,0.013139676408955912,0.010336397320700345,-0.0028032790882555666,0.5628672150411281
rev_growth_accel_4q,oos,ok,7775,0.015632410391466033,7551.0,224.0,0.010230647598537543,0.024635366808529586,0.014404719209992043,0.5669642857142857
capital_efficiency_score,full,ok,47435,0.009546089522039208,9487.0,9487.0,0.011198620195955135,0.01336966291085244,0.0021710427148973043,0.5538104774955201
capital_efficiency_score,is,ok,32992,0.017135142232980405,6599.0,6599.0,0.010542690823084502,0.01586729318056945,0.005324602357484947,0.5638733141385058
capital_efficiency_score,oos,ok,14443,-0.008088051212943804,2889.0,2889.0,0.01216213504939533,0.00883983405392476,-0.003322300995470571,0.5340948425060574
profitability_inflection_score,full,ok,47435,0.01952945095042904,9487.0,9487.0,0.008327851219793844,0.01876211727092278,0.010434266051128935,0.5632971434594709
profitability_inflection_score,is,ok,32992,0.009591224254467751,6599.0,6599.0,0.011126084682973584,0.01677971666968605,0.005653631986712466,0.5612971662373086
profitability_inflection_score,oos,ok,14443,0.039866210419009555,2889.0,2889.0,0.002762268017152926,0.02306359642298376,0.020301328405830835,0.5669781931464174
selection_confirmation_score,full,ok,47435,-0.013097467057091463,18314.0,28219.0,0.013047810874169634,0.011561218493968984,-0.0014865923802006506,0.5439951805521103
selection_confirmation_score,is,ok,32992,-0.017822443138522766,12083.0,19560.0,0.015281914164818606,0.011946387938251108,-0.0033355262265674975,0.5476993865030675
selection_confirmation_score,oos,ok,14443,-0.005102935410889267,6231.0,8212.0,0.008715493419361172,0.010918286028081137,0.0022027926087199654,0.534218217243059
