row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,43.0,2184.75,93944.25,0.12059329690379181
equity,WDC,116.0,746.22998046875,86562.677734375,0.1111178033440975
equity,STM,1049.0,78.38999938964844,82231.10935974121,0.10555750443212272
equity,CIEN,168.0,428.2200012207031,71940.96020507812,0.09234836164592146
equity,MRVL,214.0,310.5799865722656,66464.11712646484,0.08531790939924656
equity,LITE,58.0,850.0,49300.0,0.06328486881695193
equity,ON,361.0,121.62000274658203,43904.82099151611,0.056359246184175545
equity,PWR,58.0,702.25,40730.5,0.052284469560828814
equity,FIX,15.0,1931.77001953125,28976.55029296875,0.03719629176588919
equity,MU,23.0,1133.989990234375,26081.769775390625,0.0334803525101326
equity,COHR,50.0,389.57000732421875,19478.500366210938,0.025003941996482947
equity,TER,24.0,437.9200134277344,10510.080322265625,0.013491461550714156
equity,KEYS,25.0,350.70001220703125,8767.500305175781,0.011254566058126476
cash,CASH,0.0,1.0,150124.34285000773,0.19270992583151833
