ticker,target_weight,Name,sector,portfolio_sleeve_label,bridge_reason
CASH,0.1918865593758804,Cash,Cash,,no_op
SNDK,0.12,SANDISK CORP,Information Technology,future_winner,no_op
WDC,0.1105003290937229,WESTERN DIGITAL CORP,Information Technology,future_winner,no_op
STM,0.1056136514089967,STMicroelectronics,Semiconductors,early_scout,no_op
CIEN,0.0927700346951081,CIENA CORP,Information Technology,future_winner,no_op
MRVL,0.0854176755752068,MARVELL TECHNOLOGY INC,Information Technology,future_winner,no_op
LITE,0.0630722737811363,LUMENTUM HOLDINGS INC,Information Technology,future_winner,no_op
ON,0.0565105887188765,ON SEMICONDUCTOR CORP,Information Technology,future_winner,no_op
PWR,0.0528285408637678,QUANTA SERVICES INC,Industrials,future_winner,no_op
FIX,0.0397040791547243,COMFORT SYSTEMS USA INC,Industrials,future_winner,no_op
MU,0.0315455551257625,MICRON TECHNOLOGY INC,Information Technology,future_winner,no_op
COHR,0.0253330290843892,COHERENT CORP,Information Technology,future_winner,no_op
TER,0.0135350772086049,TERADYNE INC,Information Technology,unassigned,no_op
KEYS,0.0112826059138231,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner,no_op
