rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,cash_weight_start,cash_weight_end,stock_weight_start,stock_weight_end,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month,regime_state,style_breakout_preference,style_turnaround_preference,style_quality_compounder_preference,style_cash_defense_preference,style_liquidity_tailwind_score,style_rate_pressure_score,style_inflation_pressure_score,style_overheat_risk_score,market_style_regime_label,regime_state_from_candidates,index_trend_damage_score,liquidity_drain_score,breadth_credit_stress_score,event_shock_score,cash_raise_confirmation_count,confirmed_cash_raise,macro_risk_score,macro_risk_state,macro_style_state,recommended_cash_floor,recommended_target_n,recommended_core_capacity,recommended_future_capacity,recommended_early_capacity,recommended_concentrated_capacity,recommended_tactical_capacity,recommended_monster_exception_capacity,cash_raise_gate,monster_exception_allowed,recommended_new_buy_policy,recommended_trim_policy,recommended_action,research_only,production_activation_allowed
2019-04-30,2019-05-31,balanced,0.25,0.45,0.3,0.0,0.2620595693275108,0.0,0.2620595693275108,1.0,0.7379404306724892,initial_rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.024875016816057,0.9751249831839428,bull,0.2919909087538111,0.21302993642210627,0.4046087393883023,0.0776774263942241,0.08888109408392177,0.1150459149216101,0.1515487442297288,0.1357082175226931,balanced,bull,0.0,0.14861254269742008,0.03495484187740085,0.0,0,False,0.04414410404983519,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-05-31,2019-06-28,risk_off_alert,0.18,0.36,0.18,0.28,0.3039719051049858,0.28,0.3039719051049858,0.72,0.6960280948950142,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.024875016816057,0.0,1.017067187590865,bear,0.041769572522349495,0.2008333470106177,0.41983427532795226,0.5907781509154043,0.3539782801322023,0.0,0.0,0.2379640887106108,cash_defense,bear,0.73,0.1803506199119828,0.8658501679119319,0.0,2,True,0.643257688560382,red,cash_defense,0.28,16,0.35,0.25,0.12,0.05,0.0,0.03,confirmed_long_trend_plus_liquidity_or_breadth,True,no_new_buy_except_confirmed_monster_scout_or_top_quality,half_trim_then_exit_relative_losers,defend_half_trim_stale_leaders_no_tactical_new_buys,True,False
2019-06-28,2019-07-31,balanced,0.25,0.45,0.3,0.0,0.0390162070102584,0.0,0.0390162070102584,1.0,0.9609837929897416,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.029260912631514,neutral,0.3201212673057036,0.2496578833079304,0.34784289004023256,0.028630947181852606,0.13800454754729377,0.0,0.0,0.10568994644488108,balanced,neutral,0.0,0.06306372397061737,0.012883926231833672,0.0,0,False,0.018342716239021076,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-07-31,2019-08-30,balanced,0.25,0.45,0.3,0.0,0.0570133026412094,0.0,0.0570133026412094,1.0,0.9429866973587906,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.0391993562287107,neutral,0.1932044849091866,0.23756048594624626,0.5004754852378354,0.17615846811492372,0.15358613444094021,0.08971171394096468,0.0765662850247865,0.1438787310519234,quality_compounder,neutral,0.0,0.14087559757652213,0.15927131065171568,0.0,0,False,0.06707316152447368,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-08-30,2019-09-30,balanced,0.25,0.45,0.3,0.0,0.0893819475562389,0.0,0.0893819475562389,1.0,0.910618052443761,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0053663180686598,1.033622681946441,neutral,0.14837388820126501,0.15748414706198818,0.5330741052988827,0.41001885227584367,0.1433473009338629,0.0,0.0,0.2319769213268321,quality_compounder,neutral,0.0,0.16406442462714887,0.26450848352412965,0.0,0,False,0.09391780286161315,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-09-30,2019-10-31,balanced,0.25,0.45,0.3,0.0,0.0,0.0,0.0,1.0,1.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0053663180686598,0.0,1.04642376939889,neutral,0.2027201867584245,0.30815326298033885,0.5115549306933599,0.07462196401079799,0.24772298551403293,0.46685664710747954,0.42770550356135373,0.20680095135097215,quality_compounder,neutral,0.0,0.3071103793654653,0.11357988380485909,0.0,0,False,0.09949357160233815,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
2019-10-31,2019-11-29,growth_reentry_alert,0.25,0.45,0.3,0.0,0.0298662093752076,0.0,0.0298662093752076,1.0,0.9701337906247924,rebalance,"core_compounder,early_scout,future_winner",1,20,0.0,0.0,1.0495132729325036,neutral,0.5561564999917465,0.4165406511661772,0.485429058543926,0.011230382130235,0.41354458482294565,0.3249096942471594,0.4148573589770666,0.15552866105030247,breakout_growth,neutral,0.1,0.22244173022337407,0.00505367195860575,0.0,0,False,0.10662116694756467,recovery,breakout_growth,0.05,14,0.25,0.4,0.3,0.1,0.03,0.1,reentry_holdback_only,True,staged_scout_then_confirm,keep_cash_until_confirmation,staged_reentry_scout_then_scale_confirmed_new_leaders,True,False
2019-11-29,2019-12-31,balanced,0.25,0.45,0.3,0.0,0.03669192018672,0.0,0.03669192018672,1.0,0.96330807981328,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,20,0.0,0.0,1.0783235961860191,bull,0.3951685148989253,0.3320409803215018,0.3643104564784335,0.022086472132353204,0.43184803358667634,0.16415224472022058,0.07750073440949559,0.11502440892098066,balanced,bull,0.0,0.09898319314996443,0.009938912459558942,0.0,0,False,0.026733580779402896,green,breakout_growth,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_future_winners_and_monster_breakouts,True,False
2019-12-31,2020-01-31,balanced,0.25,0.45,0.3,0.0,0.0,0.0,0.0,1.0,1.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.1310903796905734,neutral,0.3726231563450397,0.2816501336942659,0.5427088906204753,0.09487595657254969,0.180570637335385,0.5333429542623449,0.735257337096119,0.21537329035550026,quality_compounder,neutral,0.0,0.4010471393499987,0.12269418045764736,0.0,1,False,0.12480062092902915,yellow,quality_compounder,0.05,14,0.35,0.35,0.2,0.1,0.0,0.08,no_big_cash_without_second_confirmation,True,scout_only_top_relative_strength_or_structural_turnaround,half_trim_stale_leaders,slow_new_buys_scout_only_require_confirmation,True,False
2020-01-31,2020-02-28,balanced,0.25,0.45,0.3,0.0,0.278451389525393,0.0,0.278451389525393,1.0,0.721548610474607,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.0349353216551481,1.0915753734550395,neutral,0.2181490313772129,0.1186668167031968,0.5956150546764676,0.5048248423345577,0.1251887998106695,0.0,0.0,0.28299200443465994,quality_compounder,neutral,0.0,0.1950444893727766,0.30717117905055097,0.0,0,False,0.11019535815330435,green,quality_compounder,0.03,12,0.3,0.45,0.25,0.2,0.05,0.15,none,True,normal,winner_hold_stale_watch,favor_core_compounders_long_hold,True,False
