ticker,action,current_weight,target_weight,delta_weight,tactical_rank,tactical_rank_score,tactical_hard_exit,tactical_soft_exit,price_as_of,reason
WDC,INCREASE,0.15091288033309325,0.2626870782504654,0.11177419791737214,1,0.9559136714900537,False,False,2026-04-28,eligible_higher_rank_candidate
MRVL,INCREASE,0.15202015380341485,0.24227387321398536,0.0902537194105705,2,0.9433945001064301,False,False,2026-04-28,eligible_higher_rank_candidate
AMKR,INCREASE,0.14259293250866406,0.21879575546174604,0.07620282295308198,3,0.9283240774283055,False,False,2026-04-28,eligible_higher_rank_candidate
FTI,INCREASE,0.10392234981657372,0.17089658562055784,0.06697423580398412,5,0.894827809081149,False,False,2026-04-28,eligible_higher_rank_candidate
ONTO,INCREASE,0.05819710524451422,0.10534670745324545,0.04714960220873123,11,0.840094225451533,False,False,2026-04-28,eligible_higher_rank_candidate
R,SELL,0.04599518247727561,0.0,-0.04599518247727561,20,0.7833972494338133,False,False,2026-04-28,rank_replaced
MKSI,SELL,0.05612943101173902,0.0,-0.05612943101173902,18,0.7977916388409588,False,False,2026-04-28,rank_replaced
LITE,SELL,0.07424340545225792,0.0,-0.07424340545225792,13,0.818140450952517,False,True,2026-04-28,soft_exit_or_rank_replaced
ETR,SELL,0.08763910161924172,0.0,-0.08763910161924172,53,0.6446845037570836,False,True,2026-04-28,soft_exit_or_rank_replaced
CIEN,SELL,0.12834745773322564,0.0,-0.12834745773322564,6,0.8942987374026587,False,True,2026-04-28,soft_exit_or_rank_replaced
