variant_id,status,cagr,max_dd,sharpe,trade_count,avg_cash_weight,target_distance,valid_for_production,bull_variant,neutral_variant,bear_variant,neutral_multiplier,bear_multiplier,reason
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N3_cap0.25_bm1.0_nm0.9,completed,0.17873499763570644,-0.19497723762967822,0.8842552612114074,324,0.302994757749493,0.3362422399939718,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N3_cap0.25,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N3_cap0.25_bm0.5_nm0.9,completed,0.16109621569521893,-0.16902169054483895,0.9287157039748997,323,0.38733053041189786,0.3389037843047811,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N3_cap0.25,0.9,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N4_cap0.33_bm1.0_nm0.9,completed,0.17619448290885642,-0.2425442128120575,0.8707465018631975,234,0.3207611384801563,0.3863497299032011,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N4_cap0.33,0.9,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N4_cap0.33_bm0.75_nm0.9,completed,0.17597370804056767,-0.2425442128120575,0.8756342256332074,234,0.3253687634253143,0.38657050477148985,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N4_cap0.33,0.9,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N4_cap0.33_bm0.5_nm0.9,completed,0.1757313869595729,-0.2425442128120575,0.8788473673649152,234,0.3300040296251412,0.3868128258524846,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N4_cap0.33,0.9,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N2_cap0.4_bm0.5_nm0.9,completed,0.17193435524960443,-0.2425442128120575,0.8599089725704976,233,0.3320092079735535,0.3906098575624531,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N2_cap0.4,0.9,0.5,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N2_cap0.4_bm0.75_nm0.9,completed,0.17026761708771976,-0.2425442128120575,0.8471344016944399,233,0.32830226631287257,0.39227659572433776,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N2_cap0.4,0.9,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N4_cap0.33_bm1.0_nm1.0,completed,0.1960573602503013,-0.26900403097043424,0.8870695401014562,234,0.24674035086070972,0.39294667072013295,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N4_cap0.33,1.0,1.0,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N4_cap0.33_bm0.75_nm1.0,completed,0.19583428121683588,-0.26900403097043424,0.8908825989858808,234,0.25133398447319344,0.39316974975359836,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N4_cap0.33,1.0,0.75,
dyn_brs_heavy_N2_cap0.5_nrs_heavy_N3_cap0.25_rrs_heavy_N4_cap0.33_bm0.5_nm1.0,completed,0.19559650357488456,-0.26900403097043424,0.8933746679603826,234,0.25597740159346394,0.3934075273955497,True,rs_heavy_N2_cap0.5,rs_heavy_N3_cap0.25,rs_heavy_N4_cap0.33,1.0,0.5,
