ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode,risk_rule_action
CPRT,BUY,242.0,16.502500534057617,3993.6051292419434,9.984012823104859,-4003.5891420650482,95996.41085793496,242.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
EXR,BUY,49.0,81.47631072998047,3992.339225769043,9.980848064422608,-4002.3200738334654,91994.09078410149,49.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
FDS,BUY,15.0,253.6052703857422,3804.079055786133,9.510197639465332,-3813.589253425598,88180.50153067589,15.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
KEYS,BUY,46.0,85.86000061035156,3949.560028076172,9.87390007019043,-3959.433928146362,84221.06760252953,46.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
MKTX,BUY,15.0,263.27496337890625,3949.1244506835938,9.872811126708985,-3958.997261810303,80262.07034071922,15.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
OGE,BUY,130.0,30.686058044433594,3989.187545776367,9.972968864440919,-3999.1605146408083,76262.90982607841,130.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
PAYC,BUY,20.0,196.92335510253906,3938.4671020507812,9.846167755126954,-3948.313269805908,72314.5965562725,20.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
VICI,BUY,255.0,15.683968544006348,3999.4119787216187,9.998529946804046,-4009.4105086684226,68305.18604760407,255.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close,
CDNS,BUY,66.0,68.54000091552734,4523.640060424805,11.309100151062012,-4534.949160575867,63770.23688702821,66.0,2019-05-01,2019-04-30,target_rebalance,0.0452918634267932,next_close,
DG,BUY,40.0,112.40969848632812,4496.387939453125,11.240969848632814,-4507.628909301758,59262.60797772645,40.0,2019-05-01,2019-04-30,target_rebalance,0.0458501857757139,next_close,
MELI,BUY,9.0,484.7300109863281,4362.570098876953,10.906425247192383,-4373.476524124146,54889.131453602306,9.0,2019-05-01,2019-04-30,target_rebalance,0.046027922533183,next_close,
CSX,BUY,193.0,24.0091552734375,4633.7669677734375,11.584417419433594,-4645.351385192871,50243.78006840943,193.0,2019-05-01,2019-04-30,target_rebalance,0.0463670797271877,next_close,
AMT,BUY,31.0,159.76193237304688,4952.619903564453,12.381549758911133,-4965.001453323364,45278.77861508607,31.0,2019-05-01,2019-04-30,target_rebalance,0.0495439377413075,next_close,
DHR,BUY,44.0,112.98955535888672,4971.540435791016,12.42885108947754,-4983.969286880493,40294.80932820558,44.0,2019-05-01,2019-04-30,target_rebalance,0.0503301692409305,next_close,
AVGO,BUY,223.0,26.60116958618164,5932.060817718506,14.830152044296264,-5946.890969762802,34347.918358442774,223.0,2019-05-01,2019-04-30,target_rebalance,0.0595444207774419,next_close,
NOW,BUY,110.0,54.08000183105469,5948.800201416016,14.87200050354004,-5963.672201919556,28384.24615652322,110.0,2019-05-01,2019-04-30,target_rebalance,0.0595444207774419,next_close,
V,BUY,82.0,154.98841857910156,12709.050323486328,31.77262580871582,-12740.822949295043,15643.423207228176,82.0,2019-05-01,2019-04-30,target_rebalance,0.1282829760799901,next_close,
HD,BUY,89.0,167.51451110839844,14908.791488647461,37.27197872161865,-14946.06346736908,697.3597398590955,89.0,2019-05-01,2019-04-30,target_rebalance,0.1492170239200098,next_close,
AVGO,SELL,223.0,25.191450119018555,5617.693376541138,14.044233441352844,5603.649143099785,6301.00888295888,0.0,2019-05-14,2019-05-13,daily_hard_stop_exit,,next_close,daily_hard_stop_exit
KEYS,SELL,46.0,75.36000061035156,3466.560028076172,8.66640007019043,3457.8936280059816,9758.902510964861,0.0,2019-05-21,2019-05-20,daily_hard_stop_exit,,next_close,daily_hard_stop_exit
CDNS,SELL,66.0,61.70000076293945,4072.200050354004,10.18050012588501,4062.019550228119,13820.92206119298,0.0,2019-06-03,2019-05-31,target_exit,,next_close,
CPRT,SELL,242.0,17.825000762939453,4313.650184631348,10.78412546157837,4302.866059169769,18123.788120362748,0.0,2019-06-03,2019-05-31,target_exit,,next_close,
CSX,SELL,193.0,22.68403434753418,4378.018629074097,10.945046572685241,4367.073582501412,22490.86170286416,0.0,2019-06-03,2019-05-31,target_exit,,next_close,
DG,SELL,40.0,117.11234283447266,4684.493713378906,11.711234283447267,4672.782479095459,27163.64418195962,0.0,2019-06-03,2019-05-31,target_exit,,next_close,
EXR,SELL,49.0,82.2911605834961,4032.2668685913086,10.080667171478272,4022.1862014198305,31185.83038337945,0.0,2019-06-03,2019-05-31,target_exit,,next_close,
MELI,SELL,9.0,568.77001953125,5118.93017578125,12.797325439453125,5106.132850341797,36291.963233721246,0.0,2019-06-03,2019-05-31,target_exit,,next_close,
MKTX,SELL,15.0,275.1277770996094,4126.916656494141,10.317291641235352,4116.599364852906,40408.56259857415,0.0,2019-06-03,2019-05-31,target_exit,,next_close,
OGE,SELL,130.0,31.05416488647461,4037.041435241699,10.092603588104248,4026.948831653595,44435.51143022774,0.0,2019-06-03,2019-05-31,target_exit,,next_close,
VICI,SELL,255.0,15.182465553283691,3871.5287160873413,9.678821790218354,3861.849894297123,48297.36132452486,0.0,2019-06-03,2019-05-31,target_exit,,next_close,
AMT,SELL,3.0,173.32736206054688,519.9820861816406,1.2999552154541016,518.6821309661865,48816.04345549105,28.0,2019-06-03,2019-05-31,target_rebalance,0.0478365013931909,next_close,
PAYC,SELL,3.0,192.89613342285156,578.6884002685547,1.4467210006713866,577.2416792678833,49393.28513475894,17.0,2019-06-03,2019-05-31,target_rebalance,0.0318380327472047,next_close,
V,SELL,41.0,151.23153686523438,6200.493011474609,15.501232528686524,6184.991778945923,55578.27691370486,41.0,2019-06-03,2019-05-31,target_rebalance,0.0619869804905915,next_close,
