ticker,position_pnl_usd,avg_weight,max_weight,days_held,sector,industry_group,primary_lane
AMD,-10253.460613250732,0.08888184555899845,0.1315739715668266,20,Information Technology,Semiconductors,MARKET_LEADER
PENN,-7274.959676265717,0.03818210846251928,0.0671727851300945,20,Consumer Discretionary,Hotels Restaurants & Leisure,MARKET_LEADER
NOW,-7005.095748901367,0.08968840444213272,0.1185408388169211,20,Information Technology,Software - Application,QUALITY_COMPOUNDER
STM,-6038.030202865601,0.02900383688348902,0.0570333672157643,20,Semiconductors,Semiconductors,MARKET_LEADER
PCTY,-5490.659820556641,0.027930608405682726,0.0530085443693255,20,Industrials,Software - Application,MARKET_LEADER
FTNT,-5285.768050193787,0.027484663289072626,0.052316976981669,20,Information Technology,Software - Infrastructure,QUALITY_COMPOUNDER
PAYC,-5013.378692626953,0.02766637876823571,0.0507928093121348,20,Industrials,Software - Application,MARKET_LEADER
QRVO,-4762.779937744141,0.028077189018811684,0.0542014716714154,20,Information Technology,Semiconductors,MARKET_LEADER
SHOP,-4490.917999267578,0.04267865578045692,0.058784932949125,20,Software,Software - Application,MARKET_LEADER
TSLA,-4477.513088226318,0.05218727520633225,0.0618341077925836,20,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER
DXCM,-3956.5797271728516,0.0558835950621545,0.0703714229768227,20,Health Care,Medical Devices,MARKET_LEADER
PODD,-3623.509963989258,0.014204131862734715,0.0151450978844279,13,Health Care,Medical Devices,MARKET_LEADER
SE,-2659.8002014160156,0.050870761314462484,0.0594019529323209,20,Internet,Internet Content & Information,MARKET_LEADER
RNG,-2108.408950805664,0.06403763261147716,0.0718296652811419,20,Information Technology,Software - Application,MARKET_LEADER
MA,-456.3327941894531,0.014918043947041531,0.0156936302948293,13,Financials,Consumer Finance,QUALITY_COMPOUNDER
UI,-429.0185546875,0.04636943636917137,0.0480674852041696,7,Information Technology,Communication Equipment,MARKET_LEADER
