rank,ticker,Name,sector,weight,score,score_model_core,score_total,score_focus_bonus,portfolio_seed_score,ensemble_weight_linear,ensemble_weight_catboost,ensemble_weight_ranker,adaptive_ensemble_active,adaptive_ensemble_history_months,adaptive_quality_linear,adaptive_quality_catboost,adaptive_quality_ranker,anticipatory_growth_score,profitability_inflection_score,dominant_archetype_label,archetype_alignment_score,portfolio_sleeve_label,portfolio_sleeve_confidence,portfolio_core_compounder_engine_score,portfolio_future_winner_engine_score,portfolio_early_scout_engine_score,sage_sector,sage_composite_score,sage_g_score,sage_v_score,sage_q_score,sage_c_score,sleeve_target_core_compounder_weight,sleeve_target_future_winner_weight,sleeve_target_early_scout_weight,sleeve_invested_share,sleeve_growth_signal,sleeve_risk_signal,future_winner_regime_strength,early_scout_regime_strength,future_winner_scout_score,long_hold_compounder_score,score_future_winner_model,pred_future_winner_ret,pred_future_winner_p,strategy_blueprint_score,stagflation_score,growth_liquidity_reentry_score,m2_yoy_lag1m,fed_assets_bil,reverse_repo_bil,tga_bil,net_liquidity_bil,net_liquidity_change_1m_bil,liquidity_impulse_score,liquidity_drain_score,fear_greed_score,fear_greed_delta_1w,fear_greed_risk_off_score,fear_greed_risk_on_score,fund_join_status,fundamental_reliability_score,core_fundamental_fields_present,sector_adjusted_fields_present,partial_scout_confirmation_score,fundamental_lane_label,latest_statement_repair_used,revenues_ttm,gross_profit_ttm,op_income_ttm,net_income_ttm,op_margin_ttm,gross_margins,operating_margins,roe_proxy,roa_proxy,asset_turnover_ttm,book_to_market_proxy,capital_efficiency_score,sector_adjusted_quality_score,market_cap_live,current_price_live,return_on_equity_effective,revenue_growth_final,earnings_growth_final,forward_pe_final,peg_final,sales_growth_yoy,net_income_growth_yoy,op_income_growth_yoy,ocf_growth_yoy,sales_cagr_3y,sales_cagr_5y,net_income_cagr_3y,net_income_cagr_5y,op_income_cagr_3y,op_income_cagr_5y,ocf_cagr_3y,ocf_cagr_5y,ep_ttm,sp_ttm,fcfy_ttm,price_above_ma20,ma20_above_ma50,golden_cross_fresh_20d,death_cross_recent_20d,breakout_fresh_20d,breakout_volume_z,volume_dryup_20d,post_breakout_hold_score,held_from_prev_rebalance,prev_weight,portfolio_hold_policy_seed_bonus,portfolio_hold_policy_bonus,portfolio_hold_policy_support,portfolio_hold_policy_exit_risk,target_n,weight_cap,cash_target,prev_holdings_applied,prev_holdings_count,rebalance_action,active_rebalance_interval_months,sleeve_rebalance_interval_months,scheduled_rebalance_due,recommended_rebalance_interval_months,next_scheduled_rebalance_date,recommended_next_run_date,recommended_next_run_mode,atr14_pct,event_regime_label,live_event_alert_label,applied_regime_sleeve_policy_label,applied_regime_sleeve_live_label,applied_regime_sleeve_source_label,backtest_usable,research_only_backtest,research_only_output,entry_date,last_trade_date,thesis_status,entry_price,reference_price,shares_held,held_days,unrealized_return,manual_lock
1,GOOGL,ALPHABET INC CLASS A,Communication,0.18200666443616886,7.560242004834769,5.757162801261804,7.520601414853894,0.7125751820309785,8.654822572109907,0.2695135185360293,0.4206434731770714,0.30984300828689937,True,12.0,-0.25369670322411764,-0.18449235004875356,-0.26943190086610164,1.0985972259974666,0.24201239525577253,emerging_growth,0.9453013858766615,core_compounder,0.012210023875459664,0.8950761498976954,0.8584460782713164,0.7599131603938554,Software,0.7349663197667703,0.6145867016877917,1.286171446155941,0.3151969807828279,0.7967924496090076,0.5599999999999999,0.28,0.16,1.0,0.5976146183416498,0.3917538918218659,0.20586072651978388,0.12738095238095237,1.1517278629470167,0.5749765741631858,0.10077010049641111,0.7598797768011774,0.5976852825899042,1.101783257534179,0.11422114182309624,0.40354307254518795,0.04276578366036121,6.0,0.082,6.0,6.0,-6.0,0.06366570340880776,0.3212013383528002,6.0,-1.942857142857207,0.07481627391144441,0.22057142857142792,matched_with_ttm,1.0,5.0,0.0,1.0,full_ttm,False,402836000000.0,240301000000.0,129039000000.0,132170000000.0,0.32032638592380025,0.5965231508603998,0.32032638592380025,0.3182786895115167,0.22202959610671263,0.6767157023321759,0.415265,0.8382048850772051,1.5611754631948525,1000000000000.0,344.3999938964844,0.3182786895115167,0.1509008108154437,0.3201422321660441,31.498124583647602,0.983879083073016,0.1509008108154437,0.3201422321660441,0.14813595515615274,0.3145595735001876,0.12508720166050935,0.17157378629634956,0.3012738193363951,0.2683716977978945,0.199058982674154,0.2563994618754688,0.21644018367632145,0.2039498490742797,0.13217,0.402836,0.149623,1.0,1.0,0.0,0.0,1.0,0.08114716056032471,0.1984685175049724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.20339782549753843,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.023052519160420244,balanced,growth_reentry_alert,core_only_guardrailed,growth_reentry_alert,growth_reentry_alert,True,False,False,,,,,,,,,False
2,NVDA,NVIDIA CORP,Information Technology,0.12077551776718733,6.2933550027796885,3.6519054828666904,6.225814687049799,1.1664009791823042,7.520459016679602,0.2695135185360293,0.4206434731770714,0.30984300828689937,True,12.0,-0.25369670322411764,-0.18449235004875356,-0.26943190086610164,1.5503434601035573,0.19153438756731578,compounder,1.4766920571717332,core_compounder,0.06590467890339875,0.8950761498976954,0.6973621131874991,0.5838262478707761,Semiconductor,0.9170146163300111,2.632130583190027,0.0,0.0,-0.028207251909988823,0.5599999999999999,0.28,0.16,1.0,0.5976146183416498,0.3917538918218659,0.20586072651978388,0.12738095238095237,1.3589270105195708,1.525634244874167,-0.09106224838441467,-0.26633018046907986,0.07515391530744084,2.1394286591978124,0.11422114182309624,0.40354307254518795,0.04276578366036121,6.0,0.082,6.0,6.0,-6.0,0.06366570340880776,0.3212013383528002,6.0,-1.942857142857207,0.07481627391144441,0.22057142857142792,matched_with_ttm_fallback,0.925,5.0,0.0,0.8571428571428571,full_ttm,False,215938000000.0,153463000000.0,130387000000.0,120067000000.0,0.6038168363141272,0.7106808435754708,0.6038168363141272,0.7633333969089534,0.5805863551302447,1.0441724733200195,0.157293,2.9557849073501155,2.815642918566064,1000000000000.0,208.27000427246094,0.7633333969089534,0.6547353579009478,2.0294308588944108,42.458168310835,0.20921219426990123,0.6547353579009478,,,,1.0052198737118174,0.6719241211603657,2.0294308588944108,0.9477711634965376,2.1492597803874185,0.9624152069870582,1.6396081372638758,0.7789798723371184,0.120067,0.215938,0.101898,1.0,1.0,0.0,0.0,1.0,1.7357183263167437,0.1312922302154963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.20339782549753843,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.02536198372773353,balanced,growth_reentry_alert,core_only_guardrailed,growth_reentry_alert,growth_reentry_alert,True,False,False,,,,,,,,,False
3,GEV,GE VERNOVA INC,Industrials,0.08766179116253185,6.57437145322499,3.8283471935431788,6.565083159114941,1.2127356243572167,8.608464373913037,0.2695135185360293,0.4206434731770714,0.30984300828689937,True,12.0,-0.25369670322411764,-0.18449235004875356,-0.26943190086610164,1.8480563344066043,0.884005356801796,emerging_growth,1.2876716168402649,core_compounder,0.011736369143415137,0.5970383558129783,1.063070249152742,1.0278611417224965,Industrial,1.3390529389268777,3.1111934562175247,-0.7200226938110874,-0.2893261396606334,3.349816250791163,0.5599999999999999,0.28,0.16,1.0,0.5976146183416498,0.3917538918218659,0.20586072651978388,0.12738095238095237,2.1694421361253204,0.7208988622583965,0.09752814611300488,0.7119460751680976,0.5508781911384696,1.5009712278004173,0.11422114182309624,0.40354307254518795,0.04276578366036121,6.0,0.082,6.0,6.0,-6.0,0.06366570340880776,0.3212013383528002,6.0,-1.942857142857207,0.07481627391144441,0.22057142857142792,matched_with_ttm,0.92839,5.0,0.0,0.8571428571428571,full_ttm,False,39375000000.0,7846000000.0,1524000000.0,9365000000.0,0.0387047619047619,0.19926349206349206,0.0387047619047619,0.62163956189844,0.12385600169285299,0.5207506744961117,0.04878399215692823,1.003415885665925,-0.3406109879204267,308810315308.7378,1149.18994140625,0.62163956189844,0.12709317303563772,1.5666830823148947,32.97494023585027,0.21047613654656472,0.12709317303563772,,,,,,,,,,,,0.030326059512089807,0.12750545577026548,,1.0,1.0,0.0,0.0,0.95,0.0,0.1282262190388822,0.99,0.0,0.0,0.0,0.0,0.0,0.0,18,0.20339782549753843,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.03647008456012209,balanced,growth_reentry_alert,core_only_guardrailed,growth_reentry_alert,growth_reentry_alert,True,False,False,,,,,,,,,False
4,CASH,Cash,Cash,0.0752830074241435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5599999999999999,0.28,0.16,1.0,0.5976146183416498,0.3917538918218659,0.20586072651978388,0.12738095238095237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.20339782549753843,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,,,,core_only_guardrailed,growth_reentry_alert,growth_reentry_alert,True,False,False,,,,,,,,,False
5,MRVL,MARVELL TECHNOLOGY INC,Information Technology,0.06283338931372677,6.257952992634418,3.3201681741736015,6.2427870735829885,1.2989189107448846,7.623828469905794,0.2695135185360293,0.4206434731770714,0.30984300828689937,True,12.0,-0.25369670322411764,-0.18449235004875356,-0.26943190086610164,2.5287999037582645,1.00181739467139,emerging_growth,1.1733013698654564,future_winner,0.0022399461962700298,0.6693012924759275,1.0703841156685578,1.077103954257368,Semiconductor,0.5604771007176446,0.24285048649761495,0.0,0.0,3.1698628696231954,0.5599999999999999,0.28,0.16,1.0,0.5976146183416498,0.3917538918218659,0.20586072651978388,0.12738095238095237,2.591493309142473,0.377837904707059,0.1381283637690863,0.90983309084419,0.6237856488539757,1.225525221377649,0.11422114182309624,0.40354307254518795,0.04276578366036121,6.0,0.082,6.0,6.0,-6.0,0.06366570340880776,0.3212013383528002,6.0,-1.942857142857207,0.07481627391144441,0.22057142857142792,matched_with_ttm_fallback,0.925,5.0,0.0,0.8571428571428571,full_ttm,False,8194600000.0,4180700000.0,1322900000.0,2670100000.0,0.16143557952798185,0.5101774339198984,0.16143557952798185,0.1866106622683179,0.13215372812987206,0.4055829146972209,0.08593287502151732,0.18026793554321155,-0.16158142900364206,142292457885.7422,164.30999755859375,0.1866106622683179,0.42087285211450776,0.7684075318831849,53.29105946808816,0.6935259905311494,0.42087285211450776,,,,0.11413865909605314,,,,0.7684075318831849,,0.1071193676736204,,0.018764873695161225,0.057589840823328034,0.01120298309331355,1.0,1.0,0.0,0.0,0.95,0.0,-0.40392653672195156,0.99,0.0,0.0,0.0,0.0,0.0,0.0,18,0.20339782549753843,0.0,False,0,full_rebalance,1,2,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.04588538906947613,balanced,growth_reentry_alert,core_only_guardrailed,growth_reentry_alert,growth_reentry_alert,True,False,False,,,,,,,,,False
6,FTI,TECHNIPFMC PLC,Energy,0.06283338931372677,3.911771547742521,1.3626906523151676,3.8840910092835124,1.2989189107448846,6.294753607614011,0.2695135185360293,0.4206434731770714,0.30984300828689937,True,12.0,-0.25369670322411764,-0.18449235004875356,-0.26943190086610164,1.8992060227195713,0.48871227026822306,emerging_growth,1.2998288851182391,future_winner,0.0022399461962700298,0.7505923919613932,1.0703841156685578,1.077103954257368,Energy,1.66546648345608,3.7391867691035827,-0.06110636577590246,-0.0727209672755363,2.6013863168845726,0.5599999999999999,0.28,0.16,1.0,0.5976146183416498,0.3917538918218659,0.20586072651978388,0.12738095238095237,2.5029340384039442,0.8458482904664131,0.048159878285526904,0.32855230549656156,0.549667524326631,1.3232217870471716,0.11422114182309624,0.40354307254518795,0.04276578366036121,6.0,0.082,6.0,6.0,-6.0,0.06366570340880776,0.3212013383528002,6.0,-1.942857142857207,0.07481627391144441,0.22057142857142792,matched_with_ttm_backfill,0.9550000000000001,5.0,7.0,1.0,full_ttm,False,9932600000.0,,1436100000.0,967100000.0,0.1445844995268107,,0.1445844995268107,0.28399847296860775,0.09558024154493883,0.9816568164297997,0.11386160531511406,0.583339820888091,0.2953854480010768,29907359821.38817,74.76000213623047,0.28399847296860775,0.09350126055508468,0.5631231381933035,30.924785256321133,0.5491655937907061,0.09350126055508468,,,,0.14018259311077697,0.2372721575288066,,,0.5631231381933035,,0.7110926571390204,0.2185438260942596,0.03233652203924671,0.33211223121396116,0.04839611415531557,1.0,1.0,0.0,0.0,0.55,0.0,0.1818977569004243,0.9099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,18,0.20339782549753843,0.0,False,0,full_rebalance,1,2,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.030593132049329928,balanced,growth_reentry_alert,core_only_guardrailed,growth_reentry_alert,growth_reentry_alert,True,False,False,,,,,,,,,False
7,LRCX,LAM RESEARCH CORP,Information Technology,0.06042906873829015,6.8011545287567055,5.034475440509855,6.793638582235701,0.8219450522827779,7.84895740507906,0.2695135185360293,0.4206434731770714,0.30984300828689937,True,12.0,-0.25369670322411764,-0.18449235004875356,-0.26943190086610164,1.3313268485472751,0.7152489450468369,emerging_growth,0.6771263241781025,core_compounder,0.007059960214082765,0.6112847433218925,0.7631089265292188,0.7419290458869705,Semiconductor,0.21340691579068455,-0.5002050661105877,0.0,0.18601194903495738,2.279838011137673,0.5599999999999999,0.28,0.16,1.0,0.5976146183416498,0.3917538918218659,0.20586072651978388,0.12738095238095237,1.9332704373442866,0.9161624060977045,0.11848857942482409,0.7996714396558814,0.6353909249110026,0.6418111745267043,0.11422114182309624,0.40354307254518795,0.04276578366036121,6.0,0.082,6.0,6.0,-6.0,0.06366570340880776,0.3212013383528002,6.0,-1.942857142857207,0.07481627391144441,0.22057142857142792,matched_with_ttm_fallback,0.9165850000000001,5.0,0.0,0.8571428571428571,full_ttm,False,18435591000.0,8979059000.0,5900968000.0,5358217000.0,0.32008564303688447,0.48705023885591736,0.32008564303688447,0.5433405001754783,0.257706819623594,0.8866713543873554,0.0316078755063415,1.5492574865063877,0.8657687439870709,334877900853.4241,267.7799987792969,0.5433405001754783,0.0,0.05161410945491629,62.49801022493566,12.108706492267624,0.0,,,,0.022789943557689707,0.12907308762404734,0.05161410945491629,0.189238603578461,0.031078868201760423,0.1714683970487525,0.2572973770596889,0.237467758501531,0.01600050939863389,0.055051679889946664,0.018193093615534426,1.0,1.0,0.0,0.0,0.6,0.0,0.14115308284030004,0.9199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,18,0.20339782549753843,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.043068421968208453,balanced,growth_reentry_alert,core_only_guardrailed,growth_reentry_alert,growth_reentry_alert,True,False,False,,,,,,,,,False
8,VRT,VERTIV HOLDINGS CLASS A,Industrials,0.04000000000000001,6.315917848608402,3.2383169866175616,6.301405285247274,1.2244572571653125,8.594747162771377,0.2695135185360293,0.4206434731770714,0.30984300828689937,True,12.0,-0.25369670322411764,-0.18449235004875356,-0.26943190086610164,2.5430418539773356,1.2410942834932697,emerging_growth,1.5497271003118864,core_compounder,0.0022399461962700298,0.8491081222888205,1.0703841156685578,1.077103954257368,Industrial,1.388538948129752,3.594368227944948,-1.3738859037160194,-0.06328155450971541,3.265346219369694,0.5599999999999999,0.28,0.16,1.0,0.5976146183416498,0.3917538918218659,0.20586072651978388,0.12738095238095237,2.6200019560873464,1.5527247043484675,0.044854884523018966,0.19725324891119256,0.6517518287134977,1.593384988090234,0.11422114182309624,0.40354307254518795,0.04276578366036121,6.0,0.082,6.0,6.0,-6.0,0.06366570340880776,0.3212013383528002,6.0,-1.942857142857207,0.07481627391144441,0.22057142857142792,matched_with_ttm_fallback,0.925,5.0,0.0,0.8571428571428571,full_ttm,False,10229900000.0,3715200000.0,1829700000.0,1332800000.0,0.1788580533534052,0.363170705480992,0.1788580533534052,0.3381625352041205,0.0994619443138484,0.7634196759725673,0.034165880524447426,0.5439105748710825,-0.19955418809605727,124243834341.18018,323.4599914550781,0.3381625352041205,0.2768541401432887,1.0114235914207654,93.22016382141369,0.9216728244440651,0.2768541401432887,,,,0.21580013629307948,0.5095356874012973,,1.0114235914207654,1.0154071645889724,,,0.5887392073654256,0.010727292883927425,0.08233728501897447,0.015242607490682592,1.0,1.0,0.0,0.0,1.0,-0.14186132023852005,0.299207000999662,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.20339782549753843,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.04110753477921295,balanced,growth_reentry_alert,core_only_guardrailed,growth_reentry_alert,growth_reentry_alert,True,False,False,,,,,,,,,False
9,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.04000000000000001,4.704319376927142,3.9075414506759873,4.693826605944925,0.13744701825527164,4.548421122215216,0.2695135185360293,0.4206434731770714,0.30984300828689937,True,12.0,-0.25369670322411764,-0.18449235004875356,-0.26943190086610164,0.012811750185235178,0.3034958752403962,cyclical_recovery,0.5337327975236701,early_scout,0.1090374512059427,0.5092619201329397,0.18214956651511163,0.06701021473107238,Consumer,1.5860172351378274,0.8165725816602554,5.461769231866977,0.02999163909717872,-0.48482257456200395,0.5599999999999999,0.28,0.16,1.0,0.5976146183416498,0.3917538918218659,0.20586072651978388,0.12738095238095237,-0.044435268001808796,-0.09465803656194548,0.06940801322479465,0.4443453298065943,0.8890704994068899,0.3217355739763534,0.11422114182309624,0.40354307254518795,0.04276578366036121,6.0,0.082,6.0,6.0,-6.0,0.06366570340880776,0.3212013383528002,6.0,-1.942857142857207,0.07481627391144441,0.22057142857142792,matched_with_ttm_fallback,0.91939,5.0,0.0,0.42857142857142855,full_ttm,False,26917000000.0,,8825000000.0,5404000000.0,0.3278597169075306,,0.3278597169075306,-0.9688060236643958,0.18466375068343358,0.9197990705303445,0.7440674695088254,-1.0114062538196082,0.938828614994407,11544652000.0,180.25,-0.9688060236643958,0.0,0.2089466928402819,2.136316062176166,0.10224215722855007,0.0,,,,0.16344680216047802,0.316955272172627,0.2089466928402819,1.4684616589441761,0.20034657914244924,,0.12806399280105296,1.563780743906476,0.46809553029402706,2.3315557714515776,0.8098121970242151,1.0,1.0,0.0,0.0,0.0,0.0,0.3094315661797229,0.4,0.0,0.0,0.0,0.0,0.0,0.0,18,0.20339782549753843,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.03902516177037411,balanced,growth_reentry_alert,core_only_guardrailed,growth_reentry_alert,growth_reentry_alert,True,False,False,,,,,,,,,False
10,ETR,ENTERGY CORP,Utilities,0.04000000000000001,4.243705306898925,1.9050647391089475,4.201846589326546,1.179477428421356,5.351327256234475,0.2695135185360293,0.4206434731770714,0.30984300828689937,True,12.0,-0.25369670322411764,-0.18449235004875356,-0.26943190086610164,0.810203509762408,0.4976055981930435,cyclical_recovery,1.2866809809341206,early_scout,0.03132935966199361,0.876899820463246,0.7829117414772652,0.6528565161083066,General,1.5892963667498547,0.21976881037014712,5.6125760584757725,0.0,0.7282217900090675,0.5599999999999999,0.28,0.16,1.0,0.5976146183416498,0.3917538918218659,0.20586072651978388,0.12738095238095237,1.115005539969122,0.41525335481923636,0.08731598102190175,0.518596722104162,0.747302648924326,0.964118315040236,0.11422114182309624,0.40354307254518795,0.04276578366036121,6.0,0.082,6.0,6.0,-6.0,0.06366570340880776,0.3212013383528002,6.0,-1.942857142857207,0.07481627391144441,0.22057142857142792,matched_with_ttm_fallback,0.8791666666666667,4.0,0.0,1.0,full_ttm,False,12946686000.0,,3202278000.0,1758272000.0,0.24734345144386757,,0.24734345144386757,,0.057935947516438185,0.42659982107876654,,-0.16600773139905972,1.5574836706302009,5287100971.603394,113.63999938964844,,0.08982021612920854,0.1680631899438465,3.0069869574237624,0.17892002159595216,0.08982021612920854,,,,-0.020199824174463643,0.40442497435479496,0.1680631899438465,0.3529321013993676,0.16010942918949755,0.839481167241801,0.2582018768163268,0.13876476516479985,0.3325588085878332,2.4487306123971604,0.8228713662490568,0.0,1.0,0.0,0.0,0.44999999999999996,0.0,-0.09894094721680924,0.49000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,18,0.20339782549753843,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.019774219102961284,balanced,growth_reentry_alert,core_only_guardrailed,growth_reentry_alert,growth_reentry_alert,True,False,False,,,,,,,,,False
