rebalance_date,portfolio_sleeve_label,candidate_count,gate_pass_count,adr_candidate_count,adr_gate_pass_count,adr_candidate_share,source_mix,latest_core_selected_count,latest_concentrated_selected_count,top10_gate_tickers,avg_score,gate_avg_score,avg_portfolio_core_compounder_engine_score,gate_avg_portfolio_core_compounder_engine_score,avg_portfolio_future_winner_engine_score,gate_avg_portfolio_future_winner_engine_score,avg_portfolio_early_scout_engine_score,gate_avg_portfolio_early_scout_engine_score,avg_selection_confirmation_score,gate_avg_selection_confirmation_score,avg_sage_g_score,gate_avg_sage_g_score,avg_sage_q_score,gate_avg_sage_q_score,avg_sage_v_score,gate_avg_sage_v_score,avg_sales_growth_yoy,gate_avg_sales_growth_yoy,avg_eps_growth_yoy,gate_avg_eps_growth_yoy,avg_sales_cagr_3y,gate_avg_sales_cagr_3y,avg_sales_cagr_5y,gate_avg_sales_cagr_5y,avg_mom_6m,gate_avg_mom_6m,avg_mom_12m,gate_avg_mom_12m,avg_mom_24m,gate_avg_mom_24m,avg_mom_36m,gate_avg_mom_36m,avg_multi_year_winner_score,gate_avg_multi_year_winner_score
2019-04-30,core_compounder,14,8,0,0,0.0,current_constituents_proxy,0,0,"UNH,HD,V,AAPL,INTC,BAC,KO,SIRI",3.0680463957408044,3.2354092839212942,0.14967309441417984,0.33137552445698737,0.007987460810579026,0.04594625150400061,-0.08558484107792157,-0.05211200735518781,0.6313894047619046,0.905839609375,0.2669378585164881,0.4671412524038543,0.47503998110745727,0.6488607725061868,0.018597742233260488,-0.21826448642565482,0.043074484813988054,0.04922798264455778,0.682590558151817,0.8532381976897713,0.23964895062569558,0.23964895062569555,0.24450143757146608,0.24450143757146608,0.10740943232960166,0.06802827442923849,0.19153452234525226,0.09982784898452239,0.41096820853698723,0.39624907222233396,0.7374102298447465,0.790665725627191,0.4520567510510199,0.2824534305064481
2019-04-30,early_scout,219,210,6,5,0.0273972602739726,adr_whitelist+current_constituents_proxy,0,0,"CPRT,OKTA,PAYC,AXON,IR,FDS,HUBS,NXST,ENTG,PEG",-0.13528492593597438,-0.12125805505579193,0.09619707426630307,0.09999985446773638,0.09870112468600148,0.09955603259822927,0.021000278443351776,0.023199011297304683,0.8379957602739726,0.8656126371031746,0.2731950820709784,0.28490344273116325,0.03872631520790891,0.03809794089606034,0.07931187287787067,0.06982653517669783,0.3759486350781924,0.3843359071004017,-7.863921042717647,-8.041034127891223,0.1491502956992194,0.1491502956992194,0.1158936674514522,0.11589366745145221,0.2219158399338743,0.22014307680391962,0.21802401351236358,0.21820330283484227,0.4468904066833587,0.4461713252708941,0.8363687737664406,0.8128509906693971,0.5187486711962545,0.5178025606307851
2019-04-30,future_winner,49,44,4,3,0.08163265306122448,adr_whitelist+current_constituents_proxy,0,0,"NOW,W,UI,MELI,EPAM,AMD,ON,CDNS,AVGO,SSNC",1.815489734691448,1.9890468999642656,0.24228011609395694,0.26602092186531445,0.27303285351112583,0.2943496632061601,0.17307214495826764,0.19246331295917266,0.8714051343537416,0.943768577651515,0.35523106987967057,0.39559823691145135,0.011864989190603883,-0.02302190562936465,-0.04662296287669912,-0.12458881970263373,0.7049470034937771,0.7401943536684662,-0.07312011374006369,-0.076602023918162,0.3411593084723676,0.34115930847236764,0.2283958017272624,0.22839580172726245,0.3067144159298581,0.31867867483306234,0.41492797398914516,0.437620895978272,0.8857131770946679,0.9063918944508874,1.5540162577365522,1.5452880631862964,2.5453002850156152,2.591321954622866
2019-04-30,unassigned,221,0,8,0,0.03619909502262444,adr_whitelist+current_constituents_proxy,0,0,,0.31694035876420906,,-0.03853393710277896,,-0.11957635709015316,,-0.19054134550950538,,0.8476399786953243,,0.10893493064049482,,-0.052318134596779454,,0.2412347164321518,,2.0596653186676273,,0.18708452470634823,,0.12722488790209222,,0.09842543620793084,,0.10374653889749633,,0.12614229673655372,,0.30803478326307465,,0.6112904155010809,,-0.2346637848086332,
2019-05-31,core_compounder,14,8,0,0,0.0,current_constituents_proxy,0,0,"HD,UNH,V,AAPL,INTC,KO,BAC,SIRI",3.071751923099336,3.3592818962478157,0.18364725961094258,0.3114274018798513,0.010559317572114467,0.040109376763542426,-0.06113452053879461,-0.05141937155453752,0.6313894047619046,0.905839609375,0.4123662447857401,0.7216409283750453,0.3876568229363641,0.5702686787305098,0.05514889238333019,0.011486458059852989,0.05672436129516713,0.06482784148019101,0.7587487536910263,0.9484359421137829,0.3544574059719555,0.35445740597195546,0.3059984688169463,0.30599846881694626,0.03979581569764577,-0.0005811377503300991,0.09941630434705614,-0.014228498097080114,0.3170998285785993,0.28318790298028373,0.6094539973116382,0.660160788124925,0.36513277040685427,0.12142370537390573
2019-05-31,early_scout,102,99,8,8,0.0784313725490196,adr_whitelist+current_constituents_proxy,0,0,"MELI,SHOP,MA,TSCO,PODD,FDS,WRB,VEEV,PEG,CBOE",0.622001444242469,0.6300421610344575,0.14762128778567551,0.14973020120537722,0.1554310950497115,0.1578091031984408,0.09376792438765741,0.09641004195187174,0.7874110049019609,0.8049867529461279,0.25915143698292686,0.2670045108308943,0.04746016186884219,0.06049476431871785,0.24802405897517152,0.24460118586340887,0.20233310785750117,0.20233310785750114,-0.3041702754545537,-0.3101343985026822,0.19023785157480202,0.19023785157480202,0.17524463062059856,0.17524463062059853,0.18271552932719362,0.18340144336850248,0.20387978283380023,0.205690020866601,0.4068040781511652,0.4084134106950989,0.8829832207317506,0.8865721696273346,0.8386600517619736,0.8421753132163613
2019-05-31,future_winner,45,42,0,0,0.0,current_constituents_proxy,0,0,"PAYC,HEI,NOW,MSCI,MKTX,AMT,DHR,TWLO,PYPL,DG",1.7596754640228573,1.8306042399964528,0.2469832935288822,0.252874218720165,0.2081416291155237,0.20988211686724367,0.15024004996195342,0.15154040809385827,0.9021008648148149,0.9502748214285714,0.45590910041509985,0.48847403615903556,0.011420828654496031,-0.004335995062817106,-0.37061631207618173,-0.4172633506828171,0.4929797820764791,0.5112411799332819,0.5220258066754615,0.5250763571419168,0.2533834241309223,0.2533834241309223,0.16758425764295398,0.16758425764295404,0.24329393199682842,0.2491570193154499,0.34127668886207274,0.34745709245388373,0.8554773103981852,0.8735012182365428,1.288584912797399,1.3148179799258775,2.523877853864229,2.5835068045160807
2019-05-31,unassigned,334,0,8,0,0.023952095808383235,adr_whitelist+current_constituents_proxy+cycle_play_whitelist,0,0,,0.15203370596808702,,0.004686801532681284,,-0.07610590549136105,,-0.14699900417075681,,0.8312541858782434,,0.20843791947483115,,-0.06178406884293071,,0.1548278477447872,,1.5239258234223279,,-4.576480945025908,,0.19175499664058346,,0.12146996575777419,,0.04820707277868555,,0.026194765586872216,,0.2589470735092755,,0.5751553123134667,,-0.060565226476889396,
2019-06-28,core_compounder,14,9,0,0,0.0,current_constituents_proxy,0,0,"HD,AAPL,UNH,V,ORCL,INTC,BAC,KO,SIRI",3.469051131011287,3.5378342840077512,0.2355852392918394,0.3501068249020847,0.03673446136812012,0.06822487054015143,-0.02795454762292126,-0.006110947555013303,0.6729530654761905,0.916301875,0.5021446286235012,0.7811138667476685,0.3915545273656261,0.5207750748223875,0.1738468587013353,0.10870421996036492,1.2326386387051125,1.3867184685432519,0.7587487536910263,0.9484359421137829,0.4687357320000014,0.4687357320000014,0.3434436718461261,0.3434436718461261,0.19382694034497208,0.158706870527702,0.17849305053533568,0.10790803189237824,0.4180266160060686,0.3668198986469607,0.8592372565364064,0.8755453469897999,0.4829682164464729,0.23077232031734476
2019-06-28,early_scout,182,177,9,8,0.04945054945054945,adr_whitelist+current_constituents_proxy+cycle_play_whitelist,0,0,"VEEV,SHOP,BRKR,RGEN,KBR,CHDN,MA,WING,OLED,CASY",0.39525278024156885,0.41093155349109195,0.13292886717467708,0.13978420700234953,0.10879689747086524,0.11248410075145823,0.04669562424718533,0.04911369482469648,0.8321543035714286,0.8503575736817326,0.18387507185715493,0.18906928292656608,-0.0005498983392545632,0.012636710226368142,0.12176706649369677,0.12171777954959973,0.3377956049844563,0.3402084307343453,-0.0988718984681827,-0.0988718984681827,0.1791879283915347,0.1791879283915347,0.11837926966371508,0.11837926966371508,0.339798378116454,0.34236918206096817,0.24735325395806373,0.2500411595300829,0.4210438675521343,0.4243213377239525,0.8909914888430543,0.9012006306387513,0.4948488067857311,0.511702203324464
