portfolio,subset,group_field,group_value,observations,completed_63d_count,completed_126d_count,avg_63d_excess_spy,avg_126d_excess_spy,positive_126d_count,positive_rate_126d_excess_spy,max_126d_excess_spy,min_126d_excess_spy,used_forward_return_in_ranking,segment_review_candidate,policy_eligible
concentrated,high_signal,candidate_regime_state,bear,7,7,7,0.0166443333880797,0.0813018415912755,5,0.7142857142857143,0.4242819378114963,-0.0661862267138426,False,True,False
main,high_signal,candidate_regime_state,bear,6,6,6,0.0027628262811663,0.0884044015816248,5,0.8333333333333334,0.3452809794860438,-0.0661862267138426,False,True,False
main,high_signal,candidate_sector,Internet,5,5,5,0.083032560645996,0.0971604395614703,3,0.6,0.6566020999139812,-0.2680342312870279,False,True,False
main,high_signal,candidate_industry_group,Consumer Finance,5,5,5,0.0172039116057492,0.0562431263049903,4,0.8,0.1115412683288166,-0.0158524655009802,False,True,False
main,high_signal,candidate_industry_group,Capital Goods - Machinery,4,4,4,0.0481513616524661,0.29958643855571,3,0.75,0.95141401665431,-0.2899428915652671,False,True,False
concentrated,high_signal,candidate_industry_group,Capital Goods - Machinery,4,3,3,-0.1217220909141854,0.195691623658755,3,1.0,0.3767387875177967,0.0385523946297976,False,True,False
concentrated,high_signal,candidate_industry_group,Internet Content & Information,4,4,4,0.1243452734788482,0.1907509728194833,3,0.75,0.6566020999139812,-0.6549570719415886,False,True,False
main,high_signal,candidate_sector,Utilities,4,4,4,0.2297943512521857,0.1894048895307915,3,0.75,0.4725567972155302,-0.0013896015722016,False,True,False
main,high_signal,candidate_industry_group,Utilities,4,4,4,0.2297943512521857,0.1894048895307915,3,0.75,0.4725567972155302,-0.0013896015722016,False,True,False
concentrated,high_signal,candidate_sector,Financials,4,4,4,0.0086529851397985,0.0548733232577418,3,0.75,0.1347366852657754,-0.0227365392268203,False,True,False
concentrated,high_signal,candidate_industry_group,Biotechnology,3,3,3,0.0007301606431315,0.7238644114309117,2,0.6666666666666666,1.2650250007667387,-0.0002411333501617,False,True,False
