ticker,target_weight,Name,sector,portfolio_sleeve_label,bridge_reason
CASH,0.1880077022716685,Cash,Cash,,no_op
SNDK,0.1215808088681418,SANDISK CORP,Information Technology,future_winner,no_op
WDC,0.111729133898428,WESTERN DIGITAL CORP,Information Technology,future_winner,no_op
STM,0.1074262101410119,STMicroelectronics,Semiconductors,early_scout,no_op
CIEN,0.0936777770248297,CIENA CORP,Information Technology,future_winner,no_op
MRVL,0.0862774628742756,MARVELL TECHNOLOGY INC,Information Technology,future_winner,no_op
LITE,0.0645012514635407,LUMENTUM HOLDINGS INC,Information Technology,future_winner,no_op
ON,0.0572038170400792,ON SEMICONDUCTOR CORP,Information Technology,future_winner,no_op
PWR,0.0533379469051217,QUANTA SERVICES INC,Industrials,future_winner,no_op
FIX,0.0348247881785043,COMFORT SYSTEMS USA INC,Industrials,future_winner,no_op
MU,0.0320243536934063,MICRON TECHNOLOGY INC,Information Technology,future_winner,no_op
COHR,0.0256392603663189,COHERENT CORP,Information Technology,future_winner,no_op
TER,0.0138729802920905,TERADYNE INC,Information Technology,unassigned,no_op
KEYS,0.009896506982582,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner,no_op
