horizon,status,start_date,end_date,period_return,cagr,max_dd,sharpe,realized_volatility,start_equity_usd,end_equity_usd,avg_cash_weight,end_cash_weight,series,series_type
1M,completed,2026-05-05,2026-06-05,0.08177443085043512,1.5246870451256842,-0.1136654042418066,1.7746314856761787,0.6166785912433044,670614.3675997115,725453.4758303023,0.06587472272119257,0.0645775717620884,main,portfolio
3M,completed,2026-03-05,2026-06-05,0.3214489867318642,2.024010220585496,-0.1225024017149492,2.431613635283546,0.5054166032277938,548983.3380738022,725453.4758303023,0.23298593566894285,0.0645775717620884,main,portfolio
6M,completed,2025-12-05,2026-06-05,0.6227293633805207,1.64202052714159,-0.14146208180939746,2.4539492304025816,0.44174092593967884,447057.5884071112,725453.4758303023,0.22637891138273483,0.0645775717620884,main,portfolio
YTD,completed,2026-01-02,2026-06-05,0.5864579968203258,1.98790738042536,-0.14146208180939746,2.5597453387158366,0.47372068794434574,457278.71603553306,725453.4758303023,0.1610558193987538,0.0645775717620884,main,portfolio
1Y,completed,2025-06-05,2026-06-05,1.4415726108297076,1.443065841988581,-0.14146208180939746,2.5327718132632406,0.38362499529146393,297125.4971539737,725453.4758303023,0.15500131562593505,0.0645775717620884,main,portfolio
2Y,completed,2024-06-05,2026-06-05,1.7757205449299591,0.6666319799192153,-0.27203570581406544,1.7122745567184086,0.33265839997193,261356.813154477,725453.4758303023,0.16835360408772163,0.0645775717620884,main,portfolio
FULL,completed,2019-06-03,2026-06-05,6.263102371921721,0.327117234545504,-0.2844980835986508,1.1918905381974936,0.268382131687817,99882.03920060636,725453.4758303023,0.23346246957326547,0.0645775717620884,main,portfolio
1M,completed,2026-05-05,2026-06-05,0.0072813267086202504,0.08923938858120173,-0.11841491448255514,0.4463918263963441,0.6182242165041693,980252.9550356684,987390.4970583736,0.11467208895987596,0.1172577348052012,concentrated,portfolio
3M,completed,2026-03-05,2026-06-05,0.1628438627590978,0.8202334882198878,-0.11841491448255514,1.650778384915997,0.41210467271031065,849117.0041656124,987390.4970583736,0.510310504522974,0.1172577348052012,concentrated,portfolio
6M,completed,2025-12-05,2026-06-05,0.8867436031157305,2.575356935925398,-0.11841491448255514,3.057097122516134,0.4573062611982342,523330.5126503764,987390.4970583736,0.3326696242955547,0.1172577348052012,concentrated,portfolio
