current_book,ticker,name,sector,current_weight,history_status,first_seen,last_seen,total_months_held,run_count,current_run_months,current_run_return,current_run_recent_3m_return,current_run_tag,historical_weighted_contribution
current_concentrated,GLW,nan,nan,0.5,new_unseen,nan,nan,nan,nan,nan,nan,nan,nan,nan
current_concentrated,WDC,WESTERN DIGITAL CORP,Information Technology,0.3,open_history,2025-08-29,2026-03-31,14.0,3.0,8.0,3.6944852292068475,0.46264674646838877,open_winner_hold,0.45441499655197964
current_concentrated,SNDK,nan,nan,0.2,new_unseen,nan,nan,nan,nan,nan,nan,nan,nan,nan
current_main,GEV,GE VERNOVA INC,Industrials,0.1388055961636909,returning_after_gap,2025-07-31,2025-08-29,2.0,1.0,2.0,-0.060390487406886906,-0.060390487406886906,normal,-0.0039703136107124
current_main,FTI,nan,nan,0.0654178958170816,new_unseen,nan,nan,nan,nan,nan,nan,nan,nan,nan
current_main,NXPI,nan,nan,0.0649924591580521,new_unseen,nan,nan,nan,nan,nan,nan,nan,nan,nan
current_main,STM,nan,nan,0.0649493335935852,new_unseen,nan,nan,nan,nan,nan,nan,nan,nan,nan
current_main,VRT,VERTIV HOLDINGS CLASS A,Industrials,0.0649007980523797,returning_after_gap,2024-02-29,2025-09-30,17.0,6.0,1.0,0.3000269603325465,0.3000269603325465,short_big_win_review,0.06698268448193133
current_main,UMC,nan,nan,0.0646403114312809,new_unseen,nan,nan,nan,nan,nan,nan,nan,nan,nan
current_main,FIX,nan,nan,0.0587360943390982,new_unseen,nan,nan,nan,nan,nan,nan,nan,nan,nan
current_main,RKLB,nan,nan,0.05856220041464,new_unseen,nan,nan,nan,nan,nan,nan,nan,nan,nan
current_main,MRVL,MARVELL TECHNOLOGY INC,Information Technology,0.0524702762595232,open_history,2023-06-30,2026-03-31,9.0,3.0,5.0,0.7450635705843149,0.9777906274099908,normal,0.047651810826288304
current_main,GLW,nan,nan,0.0524702762595232,new_unseen,nan,nan,nan,nan,nan,nan,nan,nan,nan
current_main,LRCX,LAM RESEARCH CORP,Information Technology,0.0512294464063068,open_history,2019-08-30,2026-02-27,159.0,33.0,7.0,1.2605190047640442,0.21286542156086252,open_winner_hold,1.5035784314871536
current_main,PR,PERMIAN RESOURCES CORP CLASS A,Energy,0.04,open_history,2024-02-29,2026-02-27,10.0,7.0,1.0,0.10912313315133249,0.10912313315133249,normal,0.0638197584502468
current_main,MLI,MUELLER INDUSTRIES INC,Industrials,0.0394976555150955,returning_after_gap,2023-02-28,2026-01-30,14.0,5.0,4.0,0.18145590541490964,0.14318400183269064,normal,0.02116423979212939
current_main,TKR,nan,nan,0.0394976555150955,new_unseen,nan,nan,nan,nan,nan,nan,nan,nan,nan
current_main,ON,ON SEMICONDUCTOR CORP,Information Technology,0.0359575002686616,returning_after_gap,2022-06-30,2023-09-29,17.0,6.0,3.0,-0.42876321593330136,-0.42876321593330136,normal,-0.014188128654204504
current_main,AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,0.0359575002686616,returning_after_gap,2025-11-28,2025-11-28,1.0,1.0,1.0,-0.023380650544367776,-0.023380650544367776,normal,-0.0008149366320608
current_main,ENTG,ENTEGRIS INC,Information Technology,0.0359575002686616,returning_after_gap,2019-04-30,2022-01-31,17.0,5.0,12.0,0.1781474653087065,-0.07710402473324618,normal,0.005256473776832162
current_main,HPE,nan,nan,0.0359575002686616,new_unseen,nan,nan,nan,nan,nan,nan,nan,nan,nan
