rebalance_date,policy,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,monster_count,winner_count,scout_count,equity,drawdown
2019-04-30,concentrated,-0.014236651136965758,0.00037500000000000006,0.07500000000000001,-0.014611651136965758,0.85,3,"NOW,ALGN,CDNS",0,0,3,0.9853883488630343,-0.01461165113696572
2019-05-31,concentrated,0.026541235225960032,0.0006125,0.1225,0.025928735225960033,0.655,6,"NOW,ALGN,CDNS,SBAC,BR,SHOP",0,0,5,1.01093822245545,0.0
2019-06-28,concentrated,0.008158498343211322,0.000775,0.155,0.007383498343211323,0.345,8,"NOW,ALGN,CDNS,SBAC,BR,SHOP,ADBE,HEI",0,0,4,1.0184024831460388,0.0
2019-07-31,concentrated,0.028221604845175385,0.0007124999999999999,0.1425,0.027509104845175384,0.10999999999999999,8,"NOW,CDNS,SBAC,BR,SHOP,ADBE,HEI,CTAS",0,0,1,1.0464178238294901,0.0
2019-08-30,concentrated,-0.09797870889614949,0.001017857142857143,0.2035714285714286,-0.09899656603900663,1.1102230246251565e-16,8,"NOW,CDNS,SBAC,SHOP,ADBE,HEI,CTAS,MU",0,1,1,0.9428260526283604,-0.09899656603900664
2019-09-30,concentrated,5.1403091534957086e-05,0.0012042723631508678,0.24085447263017354,-0.0011528692716159107,0.0,8,"SBAC,SHOP,ADBE,HEI,CTAS,MU,GMED,SYY",0,2,3,0.9417390974438062,-0.10003530521164061
2019-10-31,concentrated,-0.011953543890933654,0.002138551401869159,0.4277102803738318,-0.014092095292802812,0.20999999999999996,7,"ADBE,CTAS,MU,SYY,AAPL,VST,NRG",0,1,3,0.92846802034167,-0.11271769345075644
2019-11-29,concentrated,0.05532403222116154,0.0003,0.06,0.05502403222116154,0.08999999999999997,8,"ADBE,CTAS,MU,SYY,AAPL,VST,NRG,DPZ",0,1,3,0.9795560746092681,-0.06389584322592434
2019-12-31,concentrated,-0.00898098979647646,0.0017362149532710283,0.34724299065420566,-0.010717204749747487,0.0,8,"ADBE,MU,SYY,AAPL,VST,NRG,DPZ,UNH",0,2,3,0.9690579715938217,-0.07392826314116185
2020-01-31,concentrated,0.0005895794948287793,0.0007807157510827447,0.15614315021654893,-0.00019113625625396537,0.0,8,"ADBE,MU,SYY,AAPL,NRG,DPZ,UNH,AMD",0,3,3,0.9688727494810382,-0.07410526902596759
2020-02-28,concentrated,-0.12013827114163152,0.0009061345158906135,0.1812269031781227,-0.12104440565752213,0.0,8,"ADBE,MU,AAPL,NRG,DPZ,AMD,XYZ,NOW",0,3,4,0.8515961233623366,-0.18617964643815066
2020-03-31,concentrated,0.14020643289030194,0.001325,0.265,0.13888143289030194,0.06999999999999995,8,"ADBE,MU,DPZ,AMD,XYZ,NOW,QGEN,MASI",0,2,5,0.9698670132187241,-0.07315510962018901
2020-04-30,concentrated,0.07342420384768461,0.0011812043795620438,0.23624087591240875,0.07224299946812257,0.0,8,"ADBE,MU,DPZ,AMD,NOW,QGEN,MASI,AMZN",0,3,1,1.039933115338834,-0.0061970546974482454
2020-05-29,concentrated,0.01654332922976714,0.001434631405969351,0.2869262811938702,0.015108697823797788,0.0,8,"ADBE,DPZ,AMD,NOW,QGEN,MASI,AMZN,CDNS",1,4,1,1.0556451505354492,0.0
2020-06-30,concentrated,0.09429293382626429,0.0007287691898127608,0.14575383796255215,0.09356416463645152,1.1102230246251565e-16,8,"ADBE,DPZ,AMD,NOW,QGEN,MASI,AMZN,CDNS",2,4,0,1.1544157071978196,0.0
2020-07-31,concentrated,0.08618168984102416,0.0007364233829124869,0.1472846765824974,0.08544526645811167,1.1102230246251565e-16,8,"ADBE,AMD,NOW,QGEN,MASI,AMZN,CDNS,MELI",2,5,1,1.2530550649027665,0.0
2020-08-31,concentrated,-0.040573366037270193,0.0010141819439640262,0.20283638879280524,-0.04158754798123422,0.0,8,"ADBE,AMD,NOW,QGEN,AMZN,CDNS,MELI,WDAY",5,1,1,1.2009435772679942,-0.04158754798123421
2020-09-30,concentrated,-0.025661262011416934,0.00011392973397687702,0.022785946795375406,-0.025775191745393812,0.0,8,"ADBE,AMD,NOW,QGEN,AMZN,CDNS,MELI,WDAY",5,1,0,1.1699890262885124,-0.06629081270319093
2020-10-30,concentrated,0.09016906475057308,0.0008278145695364235,0.1655629139072847,0.08934125018103665,1.1102230246251565e-16,8,"ADBE,AMD,NOW,QGEN,AMZN,MELI,WDAY,PWR",4,2,1,1.274517308595222,0.0
2020-11-30,concentrated,0.03872493362385263,0.0014285714285714288,0.28571428571428575,0.0372963621952812,0.0,8,"ADBE,AMD,NOW,MELI,WDAY,PWR,ROKU,LRCX",3,2,3,1.3220521677607442,0.0
2020-12-31,concentrated,0.08664685200726055,0.0033521493212669683,0.6704298642533937,0.08329470268599358,0.27,7,"MELI,PWR,ROKU,LRCX,MU,HPQ,AMAT",0,1,3,1.4321721100097486,0.0
2021-01-29,concentrated,0.079258355952616,0.0008450934579439253,0.16901869158878505,0.07841326249467208,0.0,8,"MELI,PWR,ROKU,LRCX,MU,HPQ,AMAT,KLAC",0,2,1,1.5444733976094913,0.0
2021-02-26,concentrated,-0.0024837220021908307,0.002034971359662346,0.4069942719324692,-0.004518693361853177,0.0,8,"PWR,LRCX,MU,HPQ,AMAT,KLAC,INTC,FTNT",0,5,3,1.5374943959201546,-0.004518693361853066
2021-03-31,concentrated,0.008953272427550011,0.00037292277614858245,0.07458455522971649,0.008580349651401429,0.0,8,"PWR,LRCX,MU,HPQ,AMAT,KLAC,INTC,FTNT",4,1,0,1.5506866354242197,0.0
2021-04-30,concentrated,-0.015318259323737874,0.0002727272727272727,0.054545454545454536,-0.015590986596465147,0.0,8,"PWR,LRCX,MU,HPQ,AMAT,KLAC,INTC,FTNT",4,2,0,1.526509900876003,-0.015590986596465184
2021-05-28,concentrated,0.01605231122013549,0.0003278145695364237,0.06556291390728475,0.015724496650599065,0.0,8,"PWR,LRCX,MU,HPQ,AMAT,KLAC,INTC,FTNT",5,1,0,1.5505135006994342,-0.0001116503623816989
2021-06-30,concentrated,0.041719399324738886,0.0020529801324503313,0.41059602649006627,0.039666419192288555,0.0,7,"PWR,LRCX,AMAT,FTNT,NVDA,MSCI,POOL",3,1,3,1.6120168191814808,0.0
2021-07-30,concentrated,0.03733323611553522,0.0007848683514856723,0.15697367029713444,0.036548367764049544,0.0,8,"LRCX,AMAT,FTNT,NVDA,MSCI,POOL,DXCM,RMD",3,0,2,1.6709334027307587,0.0
2021-08-31,concentrated,-0.06510057606755239,0.0009660338238881211,0.19320676477762422,-0.0660666098914405,0.0,8,"LRCX,AMAT,FTNT,NVDA,MSCI,POOL,DXCM,DOCU",3,3,1,1.5605404974579684,-0.06606660989144053
