row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,197.0,1980.0999755859375,390079.6951904297,0.2859702872480384
equity,BE,1416.0,274.5,388692.0,0.28495295771996293
equity,WDC,402.0,562.9299926757812,226297.85705566406,0.165900619754718
equity,CIEN,373.0,445.9800109863281,166350.5440979004,0.12195280468602862
equity,LITE,91.0,957.239990234375,87108.83911132812,0.06386012922397512
cash,CASH,0.0,1.0,105527.79555775401,0.07736320136727684
