row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,48.0,1958.800048828125,94022.40234375,0.12203073732855341
equity,WDC,120.0,712.1300048828125,85455.6005859375,0.11091197085382187
equity,STM,1111.0,73.36000061035156,81502.96067810059,0.10578187897865222
equity,CIEN,163.0,436.7200012207031,71185.36019897461,0.09239076832264086
equity,MRVL,227.0,289.5400085449219,65725.58193969727,0.08530457662766436
equity,LITE,55.0,869.97998046875,47848.89892578125,0.062102608215909454
equity,ON,384.0,112.91999816894531,43361.279296875,0.056278171501738194
equity,PWR,57.0,714.8499755859375,40746.44860839844,0.05288440885634739
equity,FIX,15.0,1931.77001953125,28976.55029296875,0.03760837533762441
equity,MU,24.0,1043.18994140625,25036.55859375,0.032494699446146774
equity,COHR,51.0,378.8500061035156,19321.350311279297,0.025076987674155282
equity,TER,25.0,408.55999755859375,10213.999938964844,0.013256648549233047
equity,KEYS,24.0,350.70001220703125,8416.80029296875,0.01092408107105164
cash,CASH,0.0,1.0,148667.51788258363,0.19295408723646107
