as_of_date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd
2026-05-12,ETR,1333.0,112.95500183105469,150569.0174407959,0.3998994509311365,106.05122375488281,9202.73617553711,-10609.852799472808
2026-05-12,PR,7437.0,20.155000686645508,149892.74010658264,0.3981033115976551,18.6336612701416,11314.20124053955,0.0
