ticker,side,reason,risk_rule_action,signal_date,fill_date,fill_price,sell_fraction,portfolio_kind,price_return,drawdown_from_peak,benchmark_return,relative_return,protected,quantity,gross_value,fee_usd,cash_after,shares_after
ORLY,SELL,weekly_relative_trim,weekly_relative_trim,2019-06-21,2019-06-24,25.03266716003418,0.5,concentrated,0.0054780844892448055,-0.030131963538845508,0.07597311186603051,-0.06551746191364216,False,311.0,7785.15948677063,19.462898716926574,7844.99665835382,311.0
AVGO,SELL,weekly_relative_trim,weekly_relative_trim,2019-07-05,2019-07-08,23.155799865722656,0.5,concentrated,-0.05889798281532943,-0.05889798281532943,0.009470343118921365,-0.06772692868124863,False,310.0,7178.297958374023,17.94574489593506,7248.98266003611,311.0
AVGO,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-07-08,2019-07-09,23.203800201416016,1.0,concentrated,-0.08453480692846294,-0.08453480692846294,0.003923646142534709,-0.08811272989822427,False,311.0,7216.381862640381,18.040954656600952,14447.32356801989,0.0
TSCO,SELL,weekly_relative_trim,weekly_relative_trim,2019-08-16,2019-08-19,18.21296501159668,0.5,concentrated,-0.018440085038715526,-0.10994051145791262,0.057125039027251745,-0.07148172758777993,False,481.0,8760.436170578003,21.90109042644501,8850.772315864588,482.0
BKNG,SELL,weekly_relative_trim,weekly_relative_trim,2019-11-08,2019-11-11,74.45076751708984,0.5,concentrated,-0.039238794627575846,-0.09543023210463941,0.06750607174310197,-0.09999462222859024,False,224.0,16676.971923828125,41.692429809570314,16731.590878109957,224.0
BKNG,SELL,weekly_relative_exit,weekly_relative_exit,2019-11-15,2019-11-18,72.17292785644531,1.0,concentrated,-0.05476584026500153,-0.110049157171355,0.07735432599738057,-0.12263390332615909,False,224.0,16166.73583984375,40.416839599609375,32857.9098783541,0.0
JKHY,SELL,weekly_relative_trim,weekly_relative_trim,2019-12-27,2019-12-30,134.75425720214844,0.5,concentrated,-0.025458847568647913,-0.029715547601347647,0.041096996734323765,-0.06392857198872126,False,60.0,8085.255432128906,20.213138580322266,8087.734088268306,61.0
RNG,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-06,2020-03-09,209.10610961914062,1.0,concentrated,-0.0969193997210287,-0.0969193997210287,-0.03762674768463625,-0.061610868645549766,False,103.0,21537.929290771484,53.84482322692871,21624.374674527677,0.0
LRCX,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-09,2020-03-10,26.75555419921875,1.0,concentrated,-0.10930367548551301,-0.21658169597609345,-0.15587782739522382,0.05517465767543239,False,729.0,19504.79901123047,48.76199752807617,41080.41168823007,0.0
MA,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-09,2020-03-10,270.7638244628906,1.0,concentrated,-0.09303929318283188,-0.23958080658594838,-0.11571576695904884,0.025643874366316766,False,142.0,38448.46307373047,96.12115768432618,79432.75360427622,0.0
NVDA,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-09,2020-03-10,6.501508712768555,1.0,concentrated,-0.1121078892153039,-0.13732375123332075,-0.11278257550409254,0.0007604520269335335,False,3011.0,19576.042734146118,48.9401068353653,98959.85623158698,0.0
NOW,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-04-03,2020-04-06,53.9900016784668,1.0,concentrated,-0.08605846641538029,-0.08605846641538029,0.008287660175249512,-0.09357064488345679,False,236.0,12741.640396118164,31.85410099029541,12917.851869404356,0.0
VEEV,SELL,weekly_relative_trim,weekly_relative_trim,2020-06-05,2020-06-08,218.36000061035156,0.5,concentrated,-0.07380344887926027,-0.07654477260541204,0.04513170049477999,-0.11379919805105398,False,92.0,20089.120056152344,50.22280014038086,20155.468539093778,92.0
ETSY,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-07-15,2020-07-16,103.33999633789062,1.0,concentrated,-0.08308603488748378,-0.10951009240754994,0.036486895435449807,-0.11536366822341593,False,161.0,16637.73941040039,41.59434852600098,16989.68387877351,0.0
SE,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-09-03,2020-09-04,144.14999389648438,1.0,concentrated,-0.08800992104189798,-0.08800992104189798,-0.02044807985862307,-0.06897219003309574,False,173.0,24937.948944091797,62.344872360229495,24954.013051079575,0.0
META,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-09-08,2020-09-09,271.5887145996094,1.0,concentrated,-0.08218248544416651,-0.10360321292866326,-0.05499167014447037,-0.028773095898374734,False,208.0,56490.45263671875,141.22613159179687,81303.23955620652,0.0
JD,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-09-10,2020-09-11,64.99420928955078,1.0,concentrated,-0.09649654590594081,-0.10431422984773342,-0.053063223284749106,-0.04586718320504346,False,395.0,25672.71266937256,64.1817816734314,106911.77044390564,0.0
CBRE,SELL,weekly_relative_trim,weekly_relative_trim,2020-11-06,2020-11-09,58.150001525878906,0.5,concentrated,-0.007594412855276733,-0.012282648028568377,0.0604483933310096,-0.06416418433390692,False,349.0,20294.35053253174,50.735876331329344,20293.430031675187,349.0
CPRT,SELL,weekly_relative_trim,weekly_relative_trim,2021-01-22,2021-01-25,28.225000381469727,0.5,concentrated,0.057646294630546935,-0.09948922327787324,0.14084990067118497,-0.07293124712697763,False,742.0,20942.950283050537,52.357375707626346,20934.79172722231,742.0
DXCM,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2021-03-04,2021-03-05,91.02249908447266,1.0,concentrated,-0.1018479417310999,-0.1018479417310999,-0.03306121013342389,-0.07113866184556272,False,548.0,49880.329498291016,124.70082374572755,50181.1458386792,0.0
LRCX,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2021-03-04,2021-03-05,51.79898452758789,1.0,concentrated,-0.11689853935764505,-0.11689853935764505,-0.03306121013342389,-0.08670386388758855,False,1496.0,77491.28085327148,193.7282021331787,127478.6984898175,0.0
NVDA,SELL,weekly_relative_trim,weekly_relative_trim,2021-03-05,2021-03-08,11.560113906860352,0.5,concentrated,-0.05858589055216823,-0.1871300530177018,0.019668920975352444,-0.07674531401100948,False,1939.0,22415.06086540222,56.037652163505555,149837.72170305622,1940.0
NVDA,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2021-03-08,2021-03-09,12.48877239227295,1.0,concentrated,-0.1241784787052389,-0.243766386719659,0.014592260916487687,-0.13677488481567368,False,1940.0,24228.21844100952,60.57054610252381,174005.3695979632,0.0
WSM,SELL,weekly_relative_trim,weekly_relative_trim,2021-04-16,2021-04-19,76.55992126464844,0.5,concentrated,-0.042673640695436554,-0.06731232197103831,0.04156160426785993,-0.08087399210775204,False,242.0,18527.500946044922,46.3187523651123,18534.058804649234,243.0
WSM,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2021-05-19,2021-05-20,74.2596664428711,1.0,concentrated,-0.08464391662481818,-0.1253207084626311,0.02558592091673373,-0.10747986618519634,False,439.0,32599.99356842041,81.49998392105103,32526.263501609705,0.0
CRWD,SELL,weekly_relative_trim,weekly_relative_trim,2021-06-04,2021-06-07,215.41000366210938,0.5,concentrated,-0.0681316899347102,-0.0681316899347102,0.006981602704910772,-0.0745925173189409,False,147.0,31665.270538330078,79.16317634582519,31772.57432072057,147.0
MA,SELL,weekly_relative_trim,weekly_relative_trim,2021-08-20,2021-08-23,351.07623291015625,0.5,concentrated,-0.05401600246191718,-0.05401600246191718,0.013185847610490686,-0.06632726881341411,False,159.0,55821.121032714844,139.55280258178712,55924.344287175096,159.0
PANW,SELL,weekly_relative_trim,weekly_relative_trim,2022-01-14,2022-01-18,83.72833251953125,0.5,concentrated,-0.004758558036592753,-0.12181093154188483,0.07395138891640496,-0.07329004623981583,False,401.0,33575.06134033203,83.93765335083008,33596.78471039668,402.0
EXP,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-01-19,2022-01-20,144.87918090820312,1.0,concentrated,-0.08446399045014197,-0.0949926855834291,-0.054342681585893504,-0.031852245287714465,False,349.0,50562.83413696289,126.40708534240723,84033.21176201716,0.0
V,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-01-24,2022-01-25,195.59963989257812,1.0,concentrated,-0.08842509975208934,-0.09264577961635456,-0.07927408644724487,-0.009938911428629127,False,339.0,66308.27792358398,165.77069480895997,150175.71899079217,0.0
COO,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-01-26,2022-01-27,94.84024810791016,1.0,concentrated,-0.0930057209291818,-0.09448774726021869,-0.09279686202424009,-0.0002302228643165094,False,573.0,54343.46216583252,135.8586554145813,204383.32250121012,0.0
MA,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-03-07,2022-03-08,306.4685363769531,1.0,concentrated,-0.09161638321117738,-0.09161638321117738,-0.024535952507923953,-0.06876771201944099,False,269.0,82440.03628540039,206.10009071350098,82485.90854731448,0.0
FCX,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-04-21,2022-04-22,39.54703140258789,1.0,concentrated,-0.1151706298162668,-0.1151706298162668,-0.032809502817554015,-0.08515502089675375,False,951.0,37609.226863861084,94.02306715965271,37519.19391708738,0.0
FDS,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-05-18,2022-05-19,345.7960205078125,1.0,concentrated,-0.09804739864638135,-0.10830118596335891,-0.054574366949979525,-0.045982497381792276,False,138.0,47719.850830078125,119.29962707519532,47623.936472877314,0.0
MKC,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-05-19,2022-05-20,82.31379699707031,1.0,concentrated,-0.08678787876715743,-0.11454300649295968,-0.06036475607738756,-0.02812061686773648,False,491.0,40416.07432556152,101.0401858139038,87938.97061262494,0.0
AEE,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-06-13,2022-06-14,74.33146667480469,1.0,concentrated,-0.08736341943564552,-0.08736341943564552,-0.08445042747600418,-0.00318168676722852,False,736.0,54707.95947265625,136.76989868164063,54601.49543218022,0.0
ETR,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-06-13,2022-06-14,46.573081970214844,1.0,concentrated,-0.08720253507585674,-0.09592874092576975,-0.08445042747600418,-0.0030059624103865312,False,1200.0,55887.69836425781,139.71924591064453,110349.47455052739,0.0
NFG,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-06-16,2022-06-17,57.67131042480469,1.0,concentrated,-0.08023523091477835,-0.10803290165914048,-0.10483653930494263,0.027482476073210638,False,646.0,37255.66653442383,93.13916633605957,147512.00191861516,0.0
VLO,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-06-16,2022-06-17,100.3261489868164,1.0,concentrated,-0.10418706748649254,-0.1815550970506431,-0.10483653930494263,0.0007255343263741221,False,281.0,28191.64786529541,70.47911966323852,175633.17066424733,0.0
AEE,SELL,weekly_relative_trim,weekly_relative_trim,2022-07-08,2022-07-11,78.45405578613281,0.5,concentrated,-0.04816134814900408,-0.04816134814900408,0.019489297917297366,-0.06635738717856499,False,235.0,18436.70310974121,46.09175777435303,18401.308482774533,235.0
NOW,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-07-12,2022-07-13,84.55400085449219,1.0,concentrated,-0.11648364872684203,-0.13904039549748315,-0.0010754389059228764,-0.11553245792106437,False,584.0,49379.53649902344,123.44884124755859,67657.39614055041,0.0
WCC,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-09-23,2022-09-26,108.85710906982422,1.0,concentrated,-0.10420789784897211,-0.19863103359458845,-0.1005636269813307,-0.004051727256048743,False,361.0,39297.41637420654,98.24354093551636,39294.97433738116,0.0
WCC,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-11-03,2022-11-04,116.40596008300781,1.0,concentrated,-0.0825903127503772,-0.16985019526322065,0.012001749528204764,-0.09347025568155465,False,369.0,42953.79927062988,107.38449817657471,42889.31328912142,0.0
DKS,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-11-16,2022-11-17,94.10635375976562,1.0,concentrated,-0.08587566637952437,-0.15912370844395995,0.0016509397663362346,-0.08738234316066107,False,396.0,37266.11608886719,93.16529022216797,80062.26408776644,0.0
CPRT,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2022-12-15,2022-12-16,30.19499969482422,1.0,concentrated,-0.1049209201453678,-0.1049209201453678,-0.04357116979490938,-0.06414460586398563,False,1041.0,31432.99468231201,78.58248670578003,31564.566176694672,0.0
AEE,SELL,weekly_relative_trim,weekly_relative_trim,2023-01-27,2023-01-30,78.57967376708984,0.5,concentrated,-0.01480360711276496,-0.03796079507869443,0.06528027164481531,-0.07517634644066873,False,177.0,13908.602256774902,34.77150564193726,13880.96615184192,178.0
NOW,SELL,weekly_relative_trim,weekly_relative_trim,2023-02-17,2023-02-21,86.37200164794922,0.5,concentrated,-0.07344715189911633,-0.10637730864238182,-0.008617265279661113,-0.06539339888518758,False,326.0,28157.272537231445,70.39318134307861,28090.2689398802,327.0
LRCX,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2023-02-21,2023-02-22,46.1955451965332,1.0,concentrated,-0.09800860734209682,-0.11598063079215726,-0.028505378225575306,-0.0715425773429137,False,884.0,40836.86195373535,102.09215488433838,68825.03873873121,0.0
NOW,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2023-02-21,2023-02-22,87.96800231933594,1.0,concentrated,-0.08853759204936618,-0.12093142691904268,-0.028505378225575306,-0.061793665634651385,False,327.0,28765.53675842285,71.91384189605714,97518.66165525801,0.0
ORLY,SELL,weekly_relative_trim,weekly_relative_trim,2023-07-28,2023-07-31,61.71933364868164,0.5,concentrated,0.0057845441558384,-0.04172382926916529,0.10374554340484976,-0.08875324555949726,False,453.0,27958.858142852783,69.89714535713196,27940.12161777385,453.0
ON,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2023-08-09,2023-08-10,97.7300033569336,1.0,concentrated,-0.08326394953207228,-0.08326394953207228,-0.023505872713224463,-0.06119655525721168,False,281.0,27462.13094329834,68.65532735824586,27604.21095821271,0.0
LRCX,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2023-09-15,2023-09-18,62.10989761352539,1.0,concentrated,-0.10964524234019335,-0.10964524234019335,-0.013865748767940334,-0.09712622135635962,False,795.0,49377.368602752686,123.44342150688172,49321.814559382314,0.0
ANET,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2023-09-21,2023-09-22,45.084999084472656,1.0,concentrated,-0.09880421534097428,-0.09962535863446731,-0.040511473547340415,-0.0607539748381869,False,739.0,33317.81432342529,83.29453580856324,82556.33434699904,0.0
EXE,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2023-09-21,2023-09-22,76.33661651611328,1.0,concentrated,-0.08375819843565313,-0.08375819843565313,-0.040511473547340415,-0.04507268580709445,False,621.0,47405.03885650635,118.51259714126587,129842.86060636412,0.0
MA,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2023-10-26,2023-10-27,358.7618103027344,1.0,concentrated,-0.08046796530666145,-0.12468882350618737,-0.09304858716486863,0.013871329467231464,False,188.0,67447.22033691406,168.61805084228516,67288.94808647048,0.0
DINO,SELL,weekly_relative_trim,weekly_relative_trim,2023-11-10,2023-11-13,48.677581787109375,0.5,concentrated,-0.035323654546358996,-0.0683982818370199,0.042469051047781425,-0.07462351569665426,False,374.0,18205.415588378906,45.513538970947266,18259.753518980855,374.0
SMCI,SELL,daily_trailing_stop_exit,daily_trailing_stop_exit,2024-02-16,2024-02-20,78.75700378417969,1.0,concentrated,0.37672669808294956,-0.1998804829528249,0.021075359190419807,0.34831056855050835,False,1386.0,109157.20724487305,272.89301811218263,108898.16638767133,0.0
PANW,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2024-02-21,2024-02-22,133.91000366210938,1.0,concentrated,-0.22943200788284746,-0.3049349815254887,0.01637367059514605,-0.2418457754164961,False,175.0,23434.25064086914,58.58562660217285,132273.83140193828,0.0
SMCI,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2024-04-19,2024-04-22,71.7020034790039,1.0,concentrated,-0.2305411179942195,-0.3993199193617938,-0.031493519039823004,-0.20552015176714233,False,976.0,69981.15539550781,174.95288848876953,70116.44386968498,0.0
DKS,SELL,weekly_relative_trim,weekly_relative_trim,2024-05-17,2024-05-20,185.21424865722656,0.5,concentrated,-0.018069792797346218,-0.05397772892465125,0.05815930516769585,-0.07203934000557821,False,128.0,23707.423828125,59.268559570312505,23655.49918765909,128.0
