ticker,Name,sector,industry_group,source_universe,selected_main_current,selected_concentrated_current,current_main_weight,current_concentrated_weight,decision_bucket,selection_pressure_score,score,concentrated_score,portfolio_monster_early_score,portfolio_future_winner_engine_score,portfolio_early_scout_engine_score,relative_strength_composite,oneil_leadership_score,portfolio_candidate_minimum_pass,portfolio_candidate_gate_label,portfolio_risk_entry_block_score,portfolio_stale_mega_leader_score,portfolio_stale_leader_reason,portfolio_defensive_rotation_action,entry_quality_score,concentrated_entry_quality_gate_pass,selection_confirmation_score,trend_template_full,breakout_setup_quality_score,price_above_ma50,price_above_ma200,market_cap_live,dollar_vol_20d,sales_growth_yoy,eps_growth_yoy,revenues_ttm,months_held_main,first_held_main,last_held_main,months_held_concentrated,first_held_concentrated,last_held_concentrated
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Software - Infrastructure,current_constituents_proxy,True,True,0.04,0.2420188983853265,selected_both,0.5606270627062706,1.6290262301784502,,0.5117656303642262,0.6127765611430684,0.6286346268847552,,-0.3938331759399386,True,early_relaxed,0.1083333333333333,0.0,,neutral,0.0,,1.0,1.0,0.3991288855653021,1.0,1.0,,509139016.1545181,0.0,0.0,4208175000.0,0,,,0,,
PR,PERMIAN RESOURCES CORP CLASS A,Energy,Oil Gas & Consumable Fuels,current_constituents_proxy,True,False,0.04,0.0,selected_main,0.6588531353135314,3.0970925286852973,,0.5830581155051267,0.6823083274775883,0.6286346268847552,,0.8900228195271487,True,early_relaxed,0.325,0.0,,promote_monster_early,0.0,,1.0,1.0,0.5718814465065881,1.0,1.0,,296382456.2846565,0.6023407402945247,0.0,5000734000.0,3,2024-02-29,2026-02-27,7,2024-04-30,2026-02-27
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,True,False,0.0644445886409671,0.0,selected_main,0.6316996699669967,3.0453433037146214,,0.5508963899718851,0.4646527510201646,0.41813238646934,,0.0979312544673422,False,rejected,0.1333333333333333,0.0,,neutral,0.3191642851666152,,1.0,1.0,0.1627933568218159,1.0,1.0,,2304153608.8679886,0.4208728521145077,,8194600000.0,0,,,0,,
VRT,VERTIV HOLDINGS CLASS A,Industrials,Capital Goods - Machinery,current_constituents_proxy+strategic_global_hardware,True,False,0.0640226510349211,0.0,selected_main,0.6303960396039604,3.4122815492602427,,0.4727323351779379,0.4810525162999421,0.3985878313930672,,0.2109440353064322,True,future_relaxed,0.3333333333333333,0.0,,neutral,0.0,,1.0,1.0,-0.097752935827328,1.0,1.0,,3012276945.3608704,0.2768541401432887,0.0,10229900000.0,11,2024-02-29,2026-02-27,0,,
SU,Suncor Energy,Energy,Oil Gas & Consumable Fuels,adr_whitelist,True,False,0.0395797715612499,0.0,selected_main,0.6302227722772277,1.905450339712753,,0.6116713032228606,0.6823083274775883,0.6286346268847552,,0.5340136917162892,True,adr_global_alpha_fallback,0.1083333333333333,0.0,,promote_monster_early,0.0,,1.0,1.0,0.6140479301812759,1.0,1.0,,367127802.8251457,,,52377000000.0,0,,,0,,
GEV,GE VERNOVA INC,Industrials,Capital Goods - Machinery,current_constituents_proxy,True,False,0.1518924155735219,0.0,selected_main,0.6219966996699671,4.310033449166631,,0.4688125049919452,0.2934791814178351,0.2644595931166843,,0.2751443938779551,False,rejected,0.2416666666666667,0.0,,neutral,0.0,,1.0,1.0,0.1764965719407489,1.0,1.0,,2282230685.8380127,,,34935000000.0,1,2025-07-31,2025-07-31,0,,
LRCX,LAM RESEARCH CORP,Information Technology,Semiconductors,current_constituents_proxy+strategic_global_hardware,True,False,0.0556082277394521,0.0,selected_main_stale_review,0.616996699669967,4.733224586941137,,0.3886803836286996,0.4831789905226964,0.3310168428807495,,0.2285062604237986,True,core_strict,0.346875,0.6781906302710505,broad_relative_breakdown,rotate_out_stale_core,0.0,,1.0,0.0,-0.2282932040527316,0.0,1.0,,2423913649.033966,0.2368408976459919,,18435591000.0,37,2019-08-30,2026-02-27,39,2019-08-30,2026-02-27
FTI,TECHNIPFMC PLC,Energy,Oil Gas & Consumable Fuels,current_constituents_proxy,True,False,0.0422443532162626,0.0,selected_main,0.6158250825082509,1.538383674940027,,0.5801569509671727,0.6823083274775883,0.6286346268847552,,1.3350342292907231,True,future_relaxed,0.1083333333333333,0.0,,promote_monster_early,0.0,,1.0,1.0,0.4220336387197362,1.0,1.0,,300120034.188385,0.0935012605550846,0.1936415727054996,9932600000.0,1,2026-02-27,2026-02-27,0,,
GOOG,ALPHABET INC CLASS C,Communication,Internet Content & Information,current_constituents_proxy,True,False,0.1131492364584661,0.0,selected_main_stale_review,0.5705280528052805,6.227688640430278,,0.306320527923953,0.3794116326620699,0.2885296706432571,,0.0025983986709137,True,core_strict,0.1875,0.689006778892763,broad_relative_breakdown,rotate_out_stale_core,0.8533172075387252,,1.0,0.0,-0.0052341044397843,0.0,1.0,,6119035801.204834,0.1386624332290156,0.3843695538221552,350018000000.0,20,2020-11-30,2026-01-30,13,2020-08-31,2021-12-31
CBOE,CBOE GLOBAL MARKETS INC,Financials,Capital Markets,current_constituents_proxy,True,False,0.0399666158727048,0.0,selected_main,0.47016501650165016,1.563641692442744,,0.3349601072542965,0.1308491861911461,0.1260722539229061,,-0.3008541885690615,True,future_relaxed,0.0135416666666666,0.0,,neutral,0.7629247872845262,,1.0,0.0,0.2928402467997296,0.0,1.0,,261258374.6627808,0.0,0.0,4714200000.0,3,2023-11-30,2024-02-29,4,2019-05-31,2019-09-30
PWR,QUANTA SERVICES INC,Industrials,Construction & Engineering,current_constituents_proxy,True,False,0.0418794698948066,0.0,selected_main,0.421023102310231,0.8719875221722229,,0.4189000726116848,0.0028492041912476,-0.0041263745290711,,-0.2939206759460208,False,rejected,0.1333333333333333,0.0,,neutral,0.2337068307161549,,1.0,1.0,0.3597603054100368,1.0,1.0,,686894391.0913086,0.0,0.0,28479697000.0,6,2021-04-30,2023-05-31,0,,
