ticker,name,sector,weight,score,stale_winner_score,mom_3m,mom_6m,mom_12m,rs_benchmark_3m,rs_benchmark_6m,relative_strength_composite,portfolio_sleeve_label,diagnosis,policy_probe,production_activation_allowed
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,0.05183450476086839,6.156972407313528,0.866967,0.019633222427179575,-0.27246561967030836,0.029267268641440136,-0.06408763296407027,-0.3538532289257077,-0.6625461603602794,core_compounder,"weak_3m_absolute_momentum,negative_6m_absolute_momentum,under_benchmark_3m,under_benchmark_6m,high_weight_low_relative_strength,broken_momentum_penalty",trim_or_replace_replay,False
APP,APPLOVIN CORP CLASS A,Information Technology,0.10481729932937059,5.43505261025944,0.509014,0.2828063389047677,-0.14338472019273774,0.33053590224325347,0.19908548351351785,-0.22477232944813708,-0.02166873680783099,core_compounder,"negative_6m_absolute_momentum,under_benchmark_6m,high_weight_low_relative_strength,broken_momentum_penalty",trim_or_replace_replay,False
AMZN,AMAZON.COM INC,Consumer Discretionary,0.07804421710200898,4.820141265031225,0.117066,0.32873898872888274,0.0816544551571865,0.2563139816810345,0.2450181333376329,0.0002668459017871605,0.382390557063675,core_compounder,high_weight_low_relative_strength,trim_or_replace_replay,False
