etf,theme,label,price_status,price_date,ret_1d,ret_5d,ret_21d,ret_63d,volume_z_20d,dollar_volume_20d,holdings,attention_score
DRAM,memory_semiconductors,Roundhill Memory ETF,ok,2026-05-08,0.13426423420914024,0.3066072614806481,0.6306361178305517,,2.3355052558089273,689068485.4957199,"MU,SNDK,WDC,STX",2.0486217172680994
SOXX,semiconductors_broad,iShares Semiconductor ETF,ok,2026-05-08,0.056747102267979965,0.11712289381206387,0.3741647019073506,0.49384668023897427,0.47652159514996484,3033084728.944092,"NVDA,AVGO,AMD,MU,INTC,QCOM,MRVL,LRCX,AMAT,KLAC,MCHP,ON,MPWR",1.6174523820699274
XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,ok,2026-05-08,0.05802045116931409,0.11180880385960057,0.5212330009369983,0.5453717334215671,0.4194698514719586,50521049.407196045,"AMD,INTC,MU,MRVL,ON,MCHP,LSCC,MPWR,TER,ALAB,CRUS,ONTO",1.361222382951446
SMH,semiconductors_broad,VanEck Semiconductor ETF,ok,2026-05-08,0.04895390415954437,0.11125489366495978,0.316585673680984,0.410531524054637,-0.007604779486331178,4199547552.9171753,"NVDA,TSM,AVGO,ASML,AMD,MU,INTC,QCOM,LRCX,AMAT,KLAC,ARM",1.3566412107297516
XBI,biotech_small,SPDR Biotech ETF,ok,2026-05-08,0.007855776021166383,0.03289379393614644,0.02192382968497575,0.07330096742131276,2.3392811149968615,1099409074.2643738,"EXEL,INSM,CRSP,BEAM,EDIT",0.3451685256112704
ARKK,innovation_beta,ARK Innovation ETF,ok,2026-05-08,0.015270145473452734,0.028601204238261735,0.1479977488193367,0.12370399987864045,-0.8017345539491499,639682819.6120453,"TSLA,COIN,ROKU,HOOD,CRSP,PATH,PLTR",0.0437199595861077
URA,nuclear_uranium,Global X Uranium ETF,ok,2026-05-08,-0.019196552587596782,-0.011819481475798699,0.0834478691249505,0.05789878195165499,0.8042487324188086,232753832.33963013,"CCJ,UEC,UUUU,LEU,NXE,DNN",-0.16985910191817455
XME,metals_mining,SPDR Metals & Mining ETF,ok,2026-05-08,0.003651106167223528,0.02015856476774358,0.07310795786267299,-0.012041223513645671,-0.9551497016520414,259809497.20851898,"MP,FCX,CLF,X,NUE,STLD,AA",-0.4351563991948371
ITA,aerospace_defense,iShares U.S. Aerospace & Defense ETF,ok,2026-05-08,0.00440434591938299,0.03338420066615999,-0.03568341909599049,-0.04400859949929803,-0.6794474856330337,218133813.81195068,"RTX,LMT,NOC,GD,RKLB,KTOS,HWM",-0.5704245440189551
NLR,nuclear_power,VanEck Uranium and Nuclear ETF,ok,2026-05-08,-0.022616862221730094,-0.02166663275824654,0.031785643841250044,-0.013238070554663417,0.35591151971537005,66270527.03414917,"CEG,BWXT,CCJ,LEU,SMR,OKLO",-0.6095018430802369
