portfolio_kind,window_id,window_start,window_end,base_window_max_dd,governed_window_max_dd,window_mdd_delta_pp,base_window_return,governed_window_return,base_observations,governed_observations
main,covid_2020,2020-02-19,2020-05-31,-0.32218674313616336,-0.32932341705779644,-0.7136673921633085,-0.08606157431636119,-0.0036882958559685264,71,71
main,bear_2022,2021-11-01,2022-12-31,-0.2936220647458525,-0.3007613839194142,-0.7139319173561698,-0.21957948534987592,-0.17272315399304927,294,294
concentrated,covid_2020,2020-02-19,2020-05-31,-0.3140492933351692,-0.3268354954262358,-1.2786202091066623,-0.0381842847389392,0.15966385308681286,71,71
concentrated,bear_2022,2021-11-01,2022-12-31,-0.38185020498987765,-0.4178192030852307,-3.5968998095353033,-0.2875885931454789,-0.2734663391658496,294,294
