portfolio,metric_source,cagr,cagr_target,cagr_pass,cagr_gap_pp,max_dd,max_dd_target,max_dd_pass,max_dd_improvement_needed_pp,sharpe,avg_turnover_monthly,target_pass
main,broker_ledger_next_close,0.23490497714939118,0.3,False,6.5095,-0.34796147804286615,-0.15,False,19.7961,1.0654864641786266,0.0,False
concentrated,broker_ledger_next_close,0.3264308372132292,0.5,False,17.3569,-0.37796626437954295,-0.18,False,19.7966,1.1169690498216993,0.0,False
