signal,ic_all,n_all,ic_deep_bear,n_deep_bear,ic_bear,n_bear,ic_neutral,n_neutral,ic_bull,n_bull,ic_strong_bull,n_strong_bull
rs_acceleration_score,0.05850562138298511,755,,6,0.07963916863494472,138,0.10677852746516601,284,-0.023037897895836466,145,,6
h1_oversold_value_score,0.00468132328792558,755,,6,0.007517805645134669,138,,284,,145,,6
h6_dynamic_leader_score,0.013505676520396871,755,,6,-0.042201839564504434,138,0.09288863691292448,284,0.0036276908993790108,145,,6
stage2_overext_penalty,,755,,6,,138,,284,,145,,6
theme_phase_multiplier_primary,-0.05744999245891732,755,,6,-0.14030584734463605,138,0.04204751509976115,284,-0.11836203201367786,145,,6
theme_phase_multiplier_max,-0.05079393939228232,755,,6,-0.0902174160082412,138,0.03989006968924107,284,-0.08320629476120733,145,,6
explosion_entry_score,,755,,6,,138,,284,,145,,6
explosion_exit_score,,755,,6,,138,,284,,145,,6
explosion_net_score,,755,,6,,138,,284,,145,,6
portfolio_monster_early_score,0.05042849624484344,755,,6,,138,,284,,145,,6
entry_quality_score,0.052570593146626175,755,,6,0.036281931491691635,138,0.07890545036686943,284,0.22374406845314762,145,,6
breakout_setup_quality_score,,755,,6,,138,,284,,145,,6
selection_confirmation_score,0.020658415191600228,755,,6,0.08683822172920347,138,0.12596174340598307,284,0.15163641012560783,145,,6
portfolio_risk_entry_block_score,0.030791271371723532,755,,6,,138,,284,,145,,6
portfolio_hold_policy_exit_risk,,755,,6,,138,,284,,145,,6
broken_momentum_penalty,,755,,6,,138,,284,,145,,6
relative_strength_composite,,755,,6,,138,,284,,145,,6
