book,holding_run_count,unique_tickers,avg_run_months,median_run_months,runs_ge_6m,runs_ge_12m,long_winner_count,open_winner_hold_count,open_stale_watch_count,quick_loss_count,short_big_win_review_count,avg_total_return,total_weighted_contribution
concentrated_grid_presence,451,230,2.731707317073171,2.0,39,2,7,1,0,7,25,0.07886783170960508,13.444334082144767
production_main,714,336,2.8739495798319328,2.0,89,8,17,1,2,6,39,0.07035085020650865,2.0556514607213368
main_v2_research,510,232,1.7529411764705882,1.0,15,1,7,1,0,77,31,0.0473526533725164,1.7347025774191696
lifecycle_review_overlay_main,173,126,5.364161849710983,4.0,53,14,15,0,4,7,1,0.12436122012312127,1.5379197789619798
monster_lifecycle_main,201,150,4.358208955223881,3.0,49,8,7,1,0,32,3,0.055684381547373415,1.1946595096987822
monster_lifecycle_concentrated,142,109,3.908450704225352,3.0,32,1,6,0,0,27,3,0.0527637337215775,1.121919279022328
