rebalance_date,net_return,drawdown,regime_state
2019-04-30,-0.1857168544222338,-0.18571685442223385,
2022-05-31,-0.1546336042686219,-0.23445620198868256,
2025-01-31,-0.14979105569740556,-0.19927532835916606,
2020-02-28,-0.13099232177297457,-0.2017931491234537,
2025-03-31,-0.11325404306759775,-0.3073194278897865,
2022-11-30,-0.1033224158306785,-0.2073463474182493,
2023-07-31,-0.10153896460157576,-0.22599648058493094,
2021-08-31,-0.09912401307541896,-0.14367708114599176,
2020-08-31,-0.09859300873048367,-0.09859300873048371,
2025-10-31,-0.0894953978347427,-0.0894953978347427,
