rebalance_date,selected_theme,selected_tickers,n_positions,invested_weight,cash_weight,gross_return,turnover,cost,net_return
2019-04-30,ai_compute_semiconductors,"QCOM,AVGO,AMAT",3,1.0,0.0,-0.1832168544222338,0.5,0.0025,-0.1857168544222338
2019-05-31,financials,"PYPL,V,MKTX",3,1.0,0.0,0.05917768380271354,1.0,0.005,0.054177683802713546
2019-06-28,ai_compute_semiconductors,"QCOM,AMAT,TER",3,1.0,0.0,0.01203943290069389,1.0,0.005,0.00703943290069389
2019-07-31,health_care,"MDT,EW,HUM",3,1.0,0.0,0.029312060220042145,1.0,0.005,0.024312060220042144
2019-08-30,consumer_staples,"TGT,COST,DG",3,1.0,0.0,-0.020250962465965673,1.0,0.005,-0.025250962465965674
2019-09-30,information_technology,"DOCU,TYL,AAPL",3,1.0,0.0,0.05478111325877955,1.0,0.005,0.049781113258779555
2019-10-31,consumer_discretionary,"BKNG,HD,LULU",3,1.0,0.0,-0.05953088807831777,1.0,0.005,-0.06453088807831778
2019-11-29,information_technology,"AAPL,QRVO,UI",3,1.0,0.0,0.10354236208331599,1.0,0.005,0.09854236208331599
2019-12-31,ai_compute_semiconductors,"AMD,INTC,AMAT",3,1.0,0.0,0.002223633683425189,1.0,0.005,-0.0027763663165748112
2020-01-31,information_technology,"ADBE,AAPL,NOW",3,1.0,0.0,-0.005778796160658642,1.0,0.005,-0.010778796160658643
2020-02-28,information_technology,"ADBE,NOW,ENPH",3,1.0,0.0,-0.12973211663515305,0.25204102756430363,0.0012602051378215182,-0.13099232177297457
2020-03-31,health_care,"GILD,QGEN,VRTX",3,1.0,0.0,0.06688183280789736,1.0,0.005,0.061881832807897365
2020-04-30,consumer_discretionary,"AMZN,ETSY,EBAY",3,1.0,0.0,0.14351572018836098,1.0,0.005,0.13851572018836097
2020-05-29,internet,"MELI,SE,PDD",3,1.0,0.0,0.2549728584561698,1.0,0.005,0.2499728584561698
2020-06-30,internet,"SE,PDD,MELI",3,1.0,0.0,0.11201008869699867,0.30607294451813716,0.0015303647225906858,0.11047972397440799
2020-07-31,consumer_discretionary,"ETSY,TSLA,AMZN",3,1.0,0.0,0.25688165885165276,1.0,0.005,0.25188165885165276
2020-08-31,consumer_discretionary,"TSLA,AMZN,ETSY",3,1.0,0.0,-0.0963379118147582,0.45101938314509205,0.00225509691572546,-0.09859300873048367
2020-09-30,consumer_discretionary,"HD,TSLA,NKE",3,1.0,0.0,-0.04923596015483217,0.6818838291961387,0.003409419145980693,-0.05264537930081287
2020-10-30,information_technology,"ZM,ENPH,OLED",3,1.0,0.0,0.057861857378377984,1.0,0.005,0.05286185737837799
2020-11-30,ai_compute_semiconductors,"LRCX,QCOM,AMAT",3,1.0,0.0,0.036969004653371974,1.0,0.005,0.03196900465337198
2020-12-31,information_technology,"ENPH,AAPL,PANW",3,1.0,0.0,0.06283585934219342,1.0,0.005,0.05783585934219342
2021-01-29,ai_compute_semiconductors,"AMAT,INTC,QCOM",3,1.0,0.0,0.11951544563886689,1.0,0.005,0.11451544563886688
2021-02-26,ai_compute_semiconductors,"AMAT,INTC,LRCX",3,1.0,0.0,0.029794156050838596,0.107505630747799,0.000537528153738995,0.0292566278970996
2021-03-31,ai_compute_semiconductors,"AMAT,INTC,LRCX",3,1.0,0.0,-0.055444705352414816,0.0503440657019609,0.0002517203285098045,-0.05569642568092462
2021-04-30,financials,"V,MA,MSCI",3,1.0,0.0,-0.03714739383972356,1.0,0.005,-0.04214739383972356
2021-05-28,financials,"BAC,NDAQ,TROW",3,1.0,0.0,0.004247583502230433,1.0,0.005,-0.0007524164977695674
2021-06-30,software_ai_platforms,"SHOP,MDB,CRWD",3,1.0,0.0,0.01663854222774496,1.0,0.005,0.01163854222774496
2021-07-30,health_care,"MRNA,DXCM,RMD",3,1.0,0.0,0.044594000132865505,1.0,0.005,0.03959400013286551
2021-08-31,information_technology,"ADBE,MSFT,BILL",3,1.0,0.0,-0.09412401307541896,1.0,0.005,-0.09912401307541896
2021-09-30,software_ai_platforms,"MDB,DDOG,SNOW",3,1.0,0.0,0.13954234605813717,1.0,0.005,0.13454234605813717
2021-10-29,software_ai_platforms,"NET,DDOG,SNOW",3,1.0,0.0,0.018241187189009325,0.5021189526775502,0.002510594763387751,0.015730592425621574
2021-11-30,ai_compute_semiconductors,"AMD,QCOM,NVDA",3,0.9999999999999999,1.1102230246251565e-16,-0.04349512842624713,1.0,0.005,-0.048495128426247126
2021-12-31,ai_compute_semiconductors,"AVGO,QCOM,LRCX",3,1.0,0.0,-0.06770027358395508,0.573733905230974,0.00286866952615487,-0.07056894311010996
2022-01-31,energy,"XOM,LNG,BKR",3,1.0,0.0,0.11875933172832799,1.0,0.005,0.11375933172832799
2022-02-28,energy,"XOM,FANG,WMB",3,1.0,0.0,0.04925833561383397,0.5,0.0025,0.04675833561383397
2022-03-31,utilities,"ATO,SRE,NI",3,1.0,0.0,-0.05938540726661313,1.0,0.005,-0.06438540726661313
2022-04-29,materials,"STLD,FCX,RGLD",3,1.0,0.0,-0.027105380925867936,1.0,0.005,-0.032105380925867934
2022-05-31,energy,"VLO,XOM,DVN",3,1.0,0.0,-0.1496336042686219,1.0,0.005,-0.1546336042686219
2022-06-30,consumer_staples,"MNST,GIS,KO",3,1.0,0.0,0.03692683196037817,1.0,0.005,0.031926831960378176
2022-07-29,information_technology,"ENPH,FSLR,CDNS",3,1.0,0.0,0.12230668050583299,1.0,0.005,0.11730668050583298
2022-08-31,information_technology,"FSLR,ENPH,ANET",3,1.0,0.0,0.0308048037249336,0.08446208535930731,0.00042231042679653655,0.030382493298137064
2022-09-30,health_care,"BIIB,SRPT,APLS",3,1.0,0.0,0.041905418626584194,1.0,0.005,0.0369054186265842
2022-10-31,energy,"FANG,DVN,XOM",3,1.0,0.0,-0.057614580610720806,1.0,0.005,-0.06261458061072081
2022-11-30,ai_compute_semiconductors,"MCHP,LSCC,LRCX",3,1.0,0.0,-0.0983224158306785,1.0,0.005,-0.1033224158306785
2022-12-30,health_care,"GILD,ISRG,A",3,0.9999999999999999,1.1102230246251565e-16,-0.03879925284841926,1.0,0.005,-0.043799252848419255
2023-01-31,ai_compute_semiconductors,"LRCX,AVGO,AMAT",3,1.0,0.0,0.02411179540254338,1.0,0.005,0.019111795402543378
2023-02-28,consumer_discretionary,"BKNG,ABNB,MGM",3,1.0,0.0,0.009168174618066209,1.0,0.005,0.004168174618066209
2023-03-31,information_technology,"AAPL,MSFT,ANET",3,1.0,0.0,-0.012173555684988298,1.0,0.005,-0.0171735556849883
2023-04-28,health_care,"ISRG,SYK,WST",3,1.0,0.0,-0.03533121119330489,1.0,0.005,-0.040331211193304885
2023-05-31,information_technology,"ADBE,NOW,AAPL",3,1.0,0.0,0.12422413294208019,1.0,0.005,0.11922413294208019
2023-06-30,information_technology,"ADBE,AAPL,PANW",3,1.0,0.0,0.05342823197802308,0.26052379165556916,0.001302618958277846,0.052125613019745234
2023-07-31,ai_compute_semiconductors,"ON,MRVL,AVGO",3,1.0,0.0,-0.09653896460157575,1.0,0.005,-0.10153896460157576
2023-08-31,information_technology,"ADBE,INTU,ANET",3,1.0,0.0,-0.07180066173294053,1.0,0.005,-0.07680066173294053
