rebalance_date,theme_rank,leadership_theme,member_count,top3_mean_member_score,median_mom_1m,breadth_mom_1m_positive,total_dollar_vol_20d,top_tickers,theme_attention_score
2019-04-30,1,ai_compute_semiconductors,10,1.5354750541236262,0.11612268323725636,0.9,6242090458.79343,"QCOM,TER,AVGO,MCHP,AMAT,ON,AMD,KLAC",1.7450052044801863
2019-04-30,2,information_technology,52,1.4287910006714402,0.054153009041966,0.8653846153846154,16096564164.143387,"NOW,CDNS,ADBE,TXN,MSFT,AAPL,ADI,UI",1.454813469580806
2019-04-30,3,financials,66,1.1182833566179655,0.07949906794183209,0.9848484848484849,11330014787.53306,"V,MSCI,PYPL,CPAY,MKTX,MCO,FDS,GPN",1.1171969887924174
2019-04-30,4,consumer_discretionary,47,0.8457800719469905,0.0471435672655704,0.8936170212765957,15128053370.839348,"AMZN,HD,MAR,WYNN,EBAY,SBUX,LVS,POOL",0.631318504644254
2019-04-30,5,industrials,55,0.8582402093232894,0.0588512822589626,0.8909090909090909,6379295881.610148,"SSNC,CSL,IR,TTC,CSX,TT,HON,LDOS",0.5710505273532515
2019-04-30,6,software_ai_platforms,4,0.9328197554015368,0.08349049305500085,1.0,746623261.1889076,"SHOP,PAYC,GWRE,TTWO",0.47713324507511734
2019-04-30,7,communication,12,0.8182207069947754,0.042311927912845854,0.9166666666666666,6054375758.193466,"CHTR,CMCSA,GOOGL,GOOG,LBRDK,TMUS,LYV,T",0.43722387007745833
2019-04-30,8,internet,5,0.8178925493105909,0.017100544271543,0.8,3067921552.2747803,"JD,NTES,MELI,BABA,SE",0.20107875964856523
2019-04-30,9,health_care,46,0.8411638115819849,-0.0309157414849768,0.34782608695652173,10719967195.104351,"ALGN,DHR,ABT,SYK,MTD,ZTS,DGX,LH",0.13334087736219843
2019-04-30,10,consumer_staples,18,0.5635869926550846,0.041410135933691555,0.8888888888888888,3378865694.4283485,"EL,DLTR,COST,DG,PG,PPC,MNST,SYY",-0.0025058413048815037
2019-04-30,11,materials,17,0.5275114524947073,0.0427097679480332,0.6470588235294118,1884763929.7313054,"MLM,VMC,SHW,ECL,CE,RS,AVY,AXTA",-0.16958620501761795
2019-04-30,12,real_estate,29,0.5678986397850508,0.00252965213799,0.5517241379310345,2172840281.9575615,"EQIX,AMT,PLD,SBAC,SUI,CBRE,GLPI,BXP",-0.2921719522736591
2019-04-30,13,utilities,19,0.4826792273647351,0.007776386912764,0.631578947368421,1961200460.5723488,"SO,D,PEG,ED,AWK,XEL,SRE,DUK",-0.3865307340495065
2019-04-30,14,memory_semiconductors,4,0.36570114164725775,0.01756455954485435,1.0,1435394160.4783788,"MU,WDC,EXR,PSA",-0.4912559590297866
2019-04-30,15,power_grid_gas_turbine,3,0.4234497494436298,0.0280533750406821,1.0,326694973.6103821,"MPWR,ETN,AEP",-0.5887182480479929
2019-04-30,16,optical_networking_ai_infra,2,0.023387823020730725,0.08926111816144905,1.0,164013897.5691223,"IPGP,CIEN",-0.9516124987540118
2019-04-30,17,energy,8,-0.4219697915374934,-0.00794634576933695,0.375,1812189598.0650377,"KMI,XOM,LNG,OKE,ENB,PSX,FANG,OXY",-1.729005937355197
2019-04-30,18,financial,2,-0.6588310087605229,-0.068919380984038,0.0,123912091.84650421,"HDB,PAGS",-2.7891830024090525
2019-05-31,1,financials,60,1.2235405657529375,-0.0239103997718636,0.35,9943350208.43817,"PYPL,MKTX,V,GPN,FDS,MSCI,CPAY,RNR",0.8306735934853176
2019-05-31,2,real_estate,30,1.1944322557180413,0.0129553479981335,0.6333333333333333,2602425318.0860305,"AMT,SBAC,EQIX,SUI,CCI,Z,INVH,GLPI",0.7775616394532345
2019-05-31,3,software_ai_platforms,4,1.057040356882432,0.0723436319486675,0.75,948561628.2172203,"SHOP,TTWO,PAYC,GWRE",0.717695679517916
2019-05-31,4,information_technology,44,1.0670773315061572,-0.06616889055844855,0.18181818181818182,18203690286.438427,"FICO,NOW,ADBE,MSFT,WDAY,SNPS,ROP,CDNS",0.5887915913029733
2019-05-31,5,industrials,47,1.0495167353044967,-0.032387288363662,0.3191489361702128,6234740054.623363,"HEI,BR,PAYX,VRSK,LHX,LDOS,NOC,BAH",0.5537651648156986
2019-05-31,6,consumer_discretionary,44,0.8656142836246449,-0.051062472141157694,0.20454545454545456,16930091368.768606,"ARMK,HD,AMZN,DPZ,KMX,POOL,SBUX,YUM",0.43220150617053077
2019-05-31,7,health_care,50,0.7743650321046655,-0.01468802695428895,0.4,9296945457.43479,"PODD,DGX,IDXX,ALGN,STE,UNH,RMD,LH",0.40973861019885244
2019-05-31,8,financial,2,0.5609691363263526,0.1507318869516991,1.0,145884019.5622635,"HDB,PAGS",0.25852320350453495
2019-05-31,9,consumer_staples,18,0.7674973292328335,-0.015866957131857352,0.2777777777777778,3830060846.4092445,"KO,TGT,COST,MDLZ,DG,DLTR,EL,SJM",0.25124198288170896
2019-05-31,10,utilities,18,0.6233980940828697,0.01350001974774675,0.6111111111111112,1933314950.8270855,"SO,AWK,XEL,ES,ED,WEC,SRE,PEG",0.15965623075109636
2019-05-31,11,communication,14,0.6869759954605735,-0.038667229846394244,0.07142857142857142,7297309935.918081,"DIS,CHTR,GOOG,GOOGL,T,CMCSA,EA,TMUS",0.1536703873782227
2019-05-31,12,memory_semiconductors,3,0.44820700210537634,0.0110388724463237,0.6666666666666666,1144486227.993288,"PSA,EXR,MU",-0.09281729036298565
2019-05-31,13,internet,5,0.6034374202889458,-0.1263889693385202,0.4,5108084946.671486,"MELI,NTES,SE,JD,BABA",-0.23937993182657075
2019-05-31,14,materials,14,0.47934965524572465,-0.0392194402597546,0.35714285714285715,1400413727.7815645,"VMC,MLM,NEM,ECL,RGLD,IFF,AEM,AVY",-0.2542182799995419
2019-05-31,15,ai_compute_semiconductors,10,0.22426154639211346,-0.17776675004630244,0.1,6433951316.24897,"QCOM,AMD,AMAT,AVGO,TER,INTC,MCHP,KLAC",-0.8109164522566983
2019-05-31,16,energy,8,-0.1851373371602817,-0.0447491282476416,0.25,2046155997.388029,"LNG,KMI,ENB,OKE,XOM,FANG,OXY,BKR",-0.9013860307552495
2019-05-31,17,power_grid_gas_turbine,3,-0.1599326684127082,-0.0826354333605164,0.3333333333333333,399700859.6261692,"AEP,ETN,VST",-1.2337991603922818
2019-05-31,18,optical_networking_ai_infra,2,-1.2219671129317229,-0.17835945666821312,0.0,175491895.13914108,"CIEN,IPGP",-2.804221506824129
2019-06-28,1,ai_compute_semiconductors,10,1.1539195433551928,0.12789028296823965,1.0,5850980509.652228,"QCOM,AMAT,TER,AMD,AVGO,ON,KLAC,MCHP",0.9441012147952894
2019-06-28,2,information_technology,45,1.1402964405846017,0.0675787819565758,0.8666666666666667,18539223601.04554,"ADBE,ORCL,NOW,MSI,MSFT,FICO,AAPL,CDNS",0.7277975832681174
2019-06-28,3,industrials,52,1.2943340820053273,0.0675805508104341,0.9423076923076923,6305409944.8717575,"HEI,ACM,OC,ALLE,TT,URI,LDOS,JCI",0.6797900475455153
