rebalance_date,selected_theme,selected_tickers,n_positions,invested_weight,cash_weight,gross_return,turnover,cost,net_return,equity,drawdown
2019-04-30,ai_compute_semiconductors,"QCOM,AVGO,AMAT",3,1.0,0.0,-0.1835633223458605,0.5,0.0025,-0.1860633223458605,0.8139366776541395,-0.18606332234586054
2019-05-31,financials,"PYPL,V,MKTX",3,1.0,0.0,0.059217958717624475,1.0,0.005,0.05421795871762448,0.8580666628419521,-0.1419333371580479
2019-06-28,ai_compute_semiconductors,"QCOM,AMAT,TER",3,1.0,0.0,0.010975410542063408,1.0,0.005,0.005975410542063408,0.863193963424891,-0.13680603657510904
2019-07-31,health_care,"MDT,EW,HUM",3,1.0,0.0,0.026525121647070868,1.0,0.005,0.021525121647070867,0.881774318492629,-0.118225681507371
2019-08-30,consumer_staples,"TGT,COST,DG",3,1.0,0.0,-0.02026291157991806,1.0,0.005,-0.02526291157991806,0.8594981318511071,-0.14050186814889287
2019-09-30,information_technology,"DOCU,AAPL,TYL",3,1.0,0.0,0.060967747335984146,1.0,0.005,0.05596774733598415,0.9076023061303002,-0.09239769386969976
2019-10-31,consumer_discretionary,"BKNG,HD,LULU",3,1.0,0.0,-0.062953056934104,1.0,0.005,-0.067953056934104,0.8459279549483039,-0.15407204505169614
2019-11-29,information_technology,"QRVO,AAPL,UI",3,1.0,0.0,0.08199449005434997,1.0,0.005,0.07699449005434997,0.9110597464622677,-0.08894025353773227
2019-12-31,ai_compute_semiconductors,"AMD,AMAT,INTC",3,1.0,0.0,-0.0067225279718718875,1.0,0.005,-0.011722527971871888,0.9003798231003173,-0.09962017689968272
2020-01-31,information_technology,"ADBE,AAPL,NOW",3,1.0,0.0,-0.006266007416425135,1.0,0.005,-0.011266007416425135,0.8902361373356695,-0.10976386266433047
2020-02-28,information_technology,"ADBE,NOW,ENPH",3,1.0,0.0,-0.1275357448845301,0.27826001465974415,0.0013913000732987209,-0.1289270449578288,0.7754606228343098,-0.22453937716569017
2020-03-31,health_care,"QGEN,GILD,VRTX",3,1.0,0.0,0.06377740253565836,1.0,0.005,0.058777402535658364,0.8210401840131945,-0.17895981598680555
2020-04-30,consumer_discretionary,"AMZN,ETSY,EBAY",3,1.0,0.0,0.1429519126127633,1.0,0.005,0.1379519126127633,0.9343042477297497,-0.06569575227025026
2020-05-29,internet,"MELI,SE,PDD",3,1.0,0.0,0.25513574549155976,1.0,0.005,0.25013574549155976,1.1680071372515617,0.0
2020-06-30,internet,"SE,PDD,MELI",3,1.0,0.0,0.114113317257064,0.2813509478529296,0.0014067547392646478,0.11270656251779936,1.2996492066874408,0.0
2020-07-31,consumer_discretionary,"ETSY,TSLA,AMZN",3,1.0,0.0,0.24703692094580984,1.0,0.005,0.24203692094580984,1.6142122989837333,0.0
2020-08-31,consumer_discretionary,"TSLA,AMZN,HD",3,1.0,0.0,-0.09847288312190113,0.5,0.0025,-0.10097288312190113,1.4512206291845136,-0.10097288312190111
2020-09-30,consumer_discretionary,"HD,TSLA,NKE",3,1.0,0.0,-0.04992279685670257,0.623703770731556,0.00311851885365778,-0.053041315710360346,1.37424597762655,-0.1486584642604073
2020-10-30,information_technology,"ZM,ENPH,OLED",3,1.0,0.0,0.06096002835057898,1.0,0.005,0.055960028350578984,1.451148821495201,-0.10101736778439419
2020-11-30,ai_compute_semiconductors,"LRCX,QCOM,AMAT",3,1.0,0.0,0.03742184562963788,1.0,0.005,0.03242184562963788,1.4981977445713495,-0.0718706916589742
2020-12-31,information_technology,"ENPH,AAPL,PANW",3,1.0,0.0,0.06263338016094065,1.0,0.005,0.057633380160940655,1.5845439447404936,-0.01837946239284516
2021-01-29,ai_compute_semiconductors,"AMAT,INTC,QCOM",3,1.0,0.0,0.11991967921095115,1.0,0.005,0.11491967921095114,1.766639226565726,0.0
2021-02-26,ai_compute_semiconductors,"AMAT,INTC,LRCX",3,1.0,0.0,0.029738597280730344,0.10768211936912579,0.0005384105968456289,0.029200186683884716,1.8182254217845188,0.0
2021-03-31,ai_compute_semiconductors,"AMAT,INTC,LRCX",3,1.0,0.0,-0.05577748284966936,0.04866924701511173,0.00024334623507555865,-0.05602082908474492,1.71636692619319,-0.05602082908474493
2021-04-30,financials,"V,MA,MSCI",3,1.0,0.0,-0.037053110304473315,1.0,0.005,-0.04205311030447331,1.644188358523038,-0.09571808928436953
2021-05-28,financials,"BAC,NDAQ,TROW",3,1.0,0.0,0.0026877412774660046,1.0,0.005,-0.0023122587225339955,1.640386569649554,-0.09780902302005146
2021-06-30,software_ai_platforms,"SHOP,CRWD,MDB",3,1.0,0.0,0.017119489850837527,1.0,0.005,0.012119489850837526,1.6602672180318718,-0.08687492863102586
2021-07-30,health_care,"MRNA,DXCM,RMD",3,1.0,0.0,0.042396348999788246,1.0,0.005,0.03739634899978825,1.7223551503502992,-0.05272738478165517
2021-08-31,information_technology,"ADBE,MSFT,NOW",3,1.0,0.0,-0.09572642531742129,1.0,0.005,-0.10072642531742129,1.5488684729284639,-0.14814276911368418
2021-09-30,software_ai_platforms,"MDB,DDOG,SNOW",3,1.0,0.0,0.13950885833800555,1.0,0.005,0.13450885833800555,1.7572050029378017,-0.033560425520191006
2021-10-29,software_ai_platforms,"NET,DDOG,SNOW",3,1.0,0.0,0.01298375937262922,0.5391584706649726,0.002695792353324863,0.010287967019304357,1.7752830700541824,-0.023617727051792214
2021-11-30,ai_compute_semiconductors,"AMD,QCOM,NVDA",3,1.0,0.0,-0.0453606978786694,1.0,0.005,-0.0503606978786694,1.685878575714067,-0.07278901971382534
2021-12-31,ai_compute_semiconductors,"AVGO,QCOM,LRCX",3,1.0,0.0,-0.0674526099317046,0.572186821844433,0.002860934109222165,-0.07031354404092677,1.567338478232941,-0.1379845098114083
2022-01-31,energy,"XOM,LNG,BKR",3,1.0,0.0,0.11902691276343688,1.0,0.005,0.11402691276343688,1.7460572461611863,-0.039691544710942495
2022-02-28,energy,"XOM,FANG,WMB",3,1.0,0.0,0.04984723761741949,0.49999999999999994,0.0024999999999999996,0.04734723761741949,1.828728233488797,0.0
2022-03-31,utilities,"ATO,SRE,NI",3,1.0,0.0,-0.059297159651479754,1.0,0.005,-0.06429715965147975,1.7111462023009993,-0.06429715965147975
2022-04-29,materials,"STLD,RGLD,RS",3,1.0,0.0,-0.039070737621687474,1.0,0.005,-0.04407073762168747,1.635734726987045,-0.1055342740203471
2022-05-31,energy,"VLO,XOM,DVN",3,1.0,0.0,-0.15122474368883942,1.0,0.005,-0.15622474368883943,1.38019248852056,-0.24527195279997016
2022-06-30,consumer_staples,"MNST,GIS,KO",3,1.0,0.0,0.03694148609287895,1.0,0.005,0.03194148609287895,1.4242778876981357,-0.22116481737642457
2022-07-29,information_technology,"ENPH,FSLR,CDNS",3,1.0,0.0,0.12172383770713324,1.0,0.005,0.11672383770713324,1.5905250687116717,-0.1302561859192648
2022-08-31,information_technology,"FSLR,ENPH,ANET",3,1.0,0.0,0.030739292293282903,0.08853435156196593,0.00044267175780982965,0.030296620535473072,1.6387126031705865,-0.10390588762098563
2022-09-30,health_care,"BIIB,SRPT,APLS",3,1.0,0.0,0.04175245041042808,1.0,0.005,0.03675245041042808,1.6989393068555572,-0.0709722331926993
2022-10-31,energy,"FANG,DVN,XOM",3,1.0,0.0,-0.06289100676898142,1.0,0.005,-0.06789100676898142,1.583596606873738,-0.13404486359758538
2022-11-30,ai_compute_semiconductors,"MCHP,LSCC,AMAT",3,1.0,0.0,-0.09729988978653996,1.0,0.005,-0.10229988978653996,1.421594848524216,-0.22263197861164052
2022-12-30,health_care,"GILD,ISRG,A",3,1.0,0.0,-0.03786869810251786,1.0,0.005,-0.04286869810251786,1.360652928138737,-0.25595673363508964
2023-01-31,ai_compute_semiconductors,"AVGO,LRCX,AMAT",3,1.0,0.0,0.03465342780107385,1.0,0.005,0.029653427801073846,1.4010009515056188,-0.23389330035506262
2023-02-28,consumer_discretionary,"BKNG,MGM,ABNB",3,1.0,0.0,0.012406810412774366,1.0,0.005,0.007406810412774366,1.4113778999415376,-0.22821889327483613
2023-03-31,information_technology,"AAPL,MSFT,ANET",3,0.9999999999999999,1.1102230246251565e-16,0.0009489852415095618,1.0,0.005,-0.004051014758490438,1.4056603872390672,-0.23134538992850395
2023-04-28,health_care,"ISRG,SYK,WST",3,1.0,0.0,-0.03546420724950707,1.0,0.005,-0.04046420724950707,1.3487814540074032,-0.26244838937372594
2023-05-31,information_technology,"ADBE,AAPL,NOW",3,1.0,0.0,0.12620657786251502,1.0,0.005,0.12120657786251501,1.5122626383320679,-0.1730522826527291
2023-06-30,information_technology,"ADBE,AAPL,PANW",3,1.0,0.0,0.05390824205054849,0.21307443524842098,0.0010653721762421049,0.052842869874306385,1.5921749361452247,-0.12935399203209252
