signal_date,effective_next_trading_day,portfolio,crisis_state,prior_cash_weight,target_cash_weight,policy_cash_floor,equity_drawdown,equity_drawdown_cash_floor,base_cash_floor,turnover_from_cash_action,estimated_cost_usd,cash_action
2019-06-19,2019-06-20,main,GREEN,0.5275995550842227,0.4973825595848819,0.03,0.0,0.0,0.4973825595848819,0.030216995499340815,7.9930784075793575,RELEASE_CASH
2019-07-01,2019-07-02,main,GREEN,0.4973825595848819,0.3973825595848819,0.03,-0.018804878594012364,0.0,0.0385192947692726,0.10000000000000003,25.9952615299972,RELEASE_CASH
2019-07-02,2019-07-03,main,GREEN,0.3973825595848819,0.2973825595848819,0.03,-0.01452576792844018,0.0,0.0382379051474178,0.09999999999999998,26.10863001139358,RELEASE_CASH
2019-07-03,2019-07-05,main,GREEN,0.2973825595848819,0.1973825595848819,0.03,-0.008244756037506518,0.0,0.0378942488754005,0.1,26.275035798800968,RELEASE_CASH
2019-07-05,2019-07-08,main,GREEN,0.1973825595848819,0.0973825595848819,0.03,-0.006164016960681251,0.0,0.0377878639575894,0.1,26.330161792905233,RELEASE_CASH
2019-07-08,2019-07-09,main,GREEN,0.0973825595848819,0.0377811998614954,0.03,-0.00624807492997681,0.0,0.0377811998614954,0.0596013597233865,15.691807131335986,RELEASE_CASH
2019-08-01,2019-08-02,main,WATCH,0.0377811998614954,0.0849969928216355,0.03,-0.021062740969239657,0.0,0.0849969928216355,0.047215792960140106,12.627435077915429,RAISE_CASH
2019-08-02,2019-08-05,main,WATCH,0.0849969928216355,0.15,0.15,-0.029303509583019416,0.0,0.085708460184495,0.06500300717836449,17.23812025570144,RAISE_CASH
2019-11-01,2019-11-04,main,GREEN,0.15,0.082557758780884,0.03,-0.03348837805769178,0.0,0.082557758780884,0.06744224121911599,17.807873952569654,RELEASE_CASH
2019-12-02,2019-12-03,main,GREEN,0.082557758780884,0.034052670843579,0.03,-0.04578607653274236,0.0,0.034052670843579,0.04850508793730501,12.64462761131958,RELEASE_CASH
2020-02-04,2020-02-05,main,WATCH,0.034052670843579,0.15,0.15,0.0,0.0,0.0302858907887669,0.115947329156421,35.05731564295608,RAISE_CASH
2020-02-06,2020-02-07,main,GREEN,0.15,0.04999999999999999,0.03,-0.020874698852313855,0.0,0.0310143609880574,0.1,29.604394500567896,RELEASE_CASH
2020-02-25,2020-02-26,main,WATCH,0.04999999999999999,0.35,0.03,-0.10047531030706103,0.35,0.0316210577608378,0.3,87.13085665371082,RAISE_CASH
