ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
TSLA,25394.339263916016,0.1056212162129422,0.0,0.0,-25394.339263916016
NET,24902.719207763672,0.1035764491604965,0.0,0.0,-24902.719207763672
SAIA,22941.439453125,0.0954190109666581,0.0,0.0,-22941.439453125
NVDA,21698.892288208008,0.0902509559368917,0.0,0.0,-21698.892288208008
ENPH,20615.979248046875,0.0857468579500935,0.0,0.0,-20615.979248046875
DDOG,20223.00064086914,0.084112364608707,0.0,0.0,-20223.00064086914
U,16887.75,0.0702402482522813,0.0,0.0,-16887.75
BE,16382.65041732788,0.0681394165796776,0.0,0.0,-16382.65041732788
FSLR,13004.400329589844,0.0540884550945176,0.0,0.0,-13004.400329589844
SNOW,12940.949798583984,0.0538245489465943,0.0,0.0,-12940.949798583984
DXCM,10258.8798828125,0.042669169650136,0.0,0.0,-10258.8798828125
MDB,9686.09033203125,0.0402867989824516,0.0,0.0,-9686.09033203125
PCTY,8976.659637451172,0.0373361046563813,0.0,0.0,-8976.659637451172
BILL,7954.250335693359,0.0330836563923491,0.0,0.0,-7954.250335693359
PAYC,2752.0365600585938,0.0114463875399546,0.0,0.0,-2752.0365600585938
